Site,Longitude,Latitude,dis_CPAD_meter
1,-118.288463,34.017621,90
3,-118.2805172,34.0341412,234.3074951
4,-118.284067,34.1176992,150
5,-118.2740974,34.0929895,630
6,-118.2793312,34.1159417,394.5883789
7,-118.2565928,34.1020904,456.9463806
8,-118.3270964,34.0304411,816.0882568
9,-118.2431614,34.1027473,30
10,-118.320794,34.0140216,874.6428223
11,-118.2908511,34.072703,513.5172729
12,-118.333545,34.0469748,335.4101868
13,-118.2173961,34.1492313,593.9697266
14,-118.2339117,34.0781045,42.42640686
15,-118.2878827,33.8761482,366.1966553
16,-118.3336793,34.0953148,94.86833191
17,-118.246415,34.1589085,852.7601929
18,-118.3200474,34.0772105,351.1409912
19,-118.3687266,34.0592503,94.86833191
20,-118.2926182,34.1124214,192.0937347
21,-118.307901,34.1699028,362.491394
22,-118.2643292,34.0739163,270
23,-118.2507833,34.1143028,484.664856
24,-118.1938739,34.1359399,600.7495117
25,-118.275738,34.0463147,474.3416443
26,-118.3279235,34.0575591,182.4828796
27,-118.2296195,34.1113541,161.5549469
28,-118.2154951,34.1288006,692.6037598
29,-118.1926685,34.1228732,937.2299805
30,-118.1893877,34.1253635,918.3137207
31,-118.2156462,34.1027376,216.3330688
