Date Time	Voltage (V)  #10348620	Current (mA)  #10348620	Temp (°F)  #10359300	RH (%)  #10359300	Inside Temp (°F)	Outside Temp (°F)	Water Content (m³/m³)  #10374525	Wetness (%)  #10374902	Solar Radiation (W/m²)  #10375652	Batt (V) c:5
06/05/15 11:30:00.0	-0.2039	0.0000	72.178	47.200	69.901	68.400	0.1366	1.18	178.1	4.345
06/05/15 11:35:00.0	-0.2039	0.0000	73.645	46.600	70.243	68.527	0.1382	1.76	388.1	4.345
06/05/15 11:40:00.0	-0.2039	0.0000	72.739	47.400	70.673	68.698	0.1382	1.76	383.1	4.339
06/05/15 11:45:00.0	-0.2039	0.0000	75.508	46.700	70.930	68.913	0.1375	2.35	1,084.4	4.363
06/05/15 11:50:00.0	-0.2039	0.0000	77.990	42.400	71.361	69.129	0.1375	2.35	1,064.4	4.339
06/05/15 11:55:00.0	-0.2039	0.0000	76.332	43.600	72.050	69.386	0.1382	1.76	1,063.1	4.339
06/05/15 12:00:00.0	-0.2039	0.0000	77.203	44.200	72.826	69.728	0.1375	2.35	1,011.9	4.381
06/05/15 12:05:00.0	-0.2039	0.0000	78.602	42.000	73.861	70.158	0.1375	2.94	811.9	4.339
06/05/15 12:10:00.0	-0.2039	0.0000	77.727	42.900	75.074	70.673	0.1375	2.94	1,040.6	4.339
06/05/15 12:15:00.0	-0.2039	0.0000	77.378	43.400	76.289	71.274	0.1375	2.94	1,006.9	4.351
06/05/15 12:20:00.0	-0.2039	0.0000	77.117	43.800	77.509	71.964	0.1375	2.94	1,014.4	4.339
06/05/15 12:25:00.0	-0.2039	0.0000	77.072	43.900	78.645	72.610	0.1370	2.94	1,013.1	4.339
06/05/15 12:30:00.0	-0.2039	0.0000	77.509	44.200	79.743	73.299	0.1370	2.94	1,005.6	4.333
06/05/15 12:35:00.0	-0.2039	0.0000	77.945	43.300	80.713	73.990	0.1370	2.94	1,008.1	4.490
06/05/15 12:40:00.0	-0.2039	0.0000	77.509	44.200	81.597	74.640	0.1370	2.94	960.6	4.363
06/05/15 12:45:00.0	-0.2039	0.0000	78.865	41.800	82.396	75.247	0.1370	2.94	969.4	4.351
06/05/15 12:50:00.0	-0.2039	0.0000	77.335	44.000	83.064	75.853	0.1375	2.94	989.4	4.345
06/05/15 12:55:00.0	-0.2039	0.0000	78.033	43.400	83.691	76.375	0.1370	2.94	913.1	4.339
06/05/15 13:00:00.0	-0.2039	0.0000	79.173	43.300	84.317	76.942	0.1370	2.94	970.6	4.333
06/05/15 13:05:00.0	-0.2039	0.0000	77.990	44.500	84.857	77.421	0.1375	2.94	941.9	4.327
06/05/15 13:10:00.0	-0.2039	0.0000	79.480	43.700	85.397	77.945	0.1370	2.94	941.9	4.369
06/05/15 13:15:00.0	-0.2039	0.0000	79.876	43.900	85.894	78.382	0.1375	2.94	1,021.9	4.351
06/05/15 13:20:00.0	-0.2039	0.0000	78.208	45.900	86.301	78.822	0.1375	2.94	918.1	4.345
06/05/15 13:25:00.0	-0.2039	0.0000	78.602	47.400	86.482	79.216	0.1375	2.94	909.4	4.339
06/05/15 13:30:00.0	-0.2039	0.0000	79.920	45.600	86.799	79.567	0.1375	2.94	903.1	4.333
06/05/15 13:35:00.0	-0.2039	0.0000	80.096	46.100	87.255	79.920	0.1375	2.94	249.4	4.327
06/05/15 13:40:00.0	-0.2039	0.0000	76.114	49.300	87.620	80.272	0.1382	2.35	571.9	4.339
06/05/15 13:45:00.0	-0.2039	0.0000	76.158	50.400	87.436	80.537	0.1382	2.35	380.6	4.333
06/05/15 13:50:00.0	-0.2039	0.0000	77.945	48.200	87.300	80.713	0.1375	2.35	850.6	4.321
06/05/15 13:55:00.0	-0.2039	0.0000	76.593	49.700	87.391	80.845	0.1382	1.76	200.6	4.339
06/05/15 14:00:00.0	-0.2039	0.0000	74.381	52.800	87.255	80.978	0.1382	1.76	323.1	4.393
06/05/15 14:05:00.0	-0.2039	0.0000	75.551	52.200	86.981	81.023	0.1382	2.35	783.1	4.351
06/05/15 14:10:00.0	-0.2039	0.0000	77.815	50.500	87.073	81.023	0.1375	2.35	461.9	4.339
06/05/15 14:15:00.0	-0.2039	0.0000	76.768	50.800	87.300	81.154	0.1375	2.35	790.6	4.339
06/05/15 14:20:00.0	-0.2039	0.0000	78.251	49.100	87.346	81.288	0.1375	2.35	743.1	4.333
06/05/15 14:25:00.0	-0.2039	0.0000	76.375	49.700	87.528	81.376	0.1375	2.35	713.1	4.321
06/05/15 14:30:00.0	-0.2039	0.0000	74.986	52.100	87.757	81.554	0.1375	2.35	195.6	4.351
06/05/15 14:35:00.0	-0.2039	0.0000	76.028	51.600	87.939	81.730	0.1375	2.35	663.1	4.339
06/05/15 14:40:00.0	-0.2039	0.0000	74.943	52.600	88.030	81.864	0.1375	2.35	706.9	4.339
06/05/15 14:45:00.0	-0.2039	0.0000	73.731	54.200	87.894	81.952	0.1375	2.35	669.4	4.333
