"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10374984, SEN S/N: 10200133)","Wetness, % (LGR S/N: 10374984, SEN S/N: 10205911)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10213634)","RH, % (LGR S/N: 10374984, SEN S/N: 10213634)","DewPt, °C (LGR S/N: 10374984, SEN S/N: 10213634)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10222770, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10222771, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374984, SEN S/N: 10222874)","Voltage, V (LGR S/N: 10374984, SEN S/N: 10348610)","Current, mA (LGR S/N: 10374984, SEN S/N: 10348610)","Batt, V (LGR S/N: 10374984)"
1,2014-09-12 15:00:00,50.6,4.12,29.991,44.800,16.7,21.772,22.082,0.2139,-0.1988,0.0000,4.291
2,2014-09-12 15:05:00,49.4,4.12,29.840,45.700,16.9,21.772,22.082,0.2143,-0.1988,0.0000,4.291
3,2014-09-12 15:10:00,46.9,3.53,29.615,46.000,16.8,21.795,22.106,0.2139,-0.1988,0.0000,4.291
4,2014-09-12 15:15:00,48.1,3.53,29.790,46.800,17.2,21.795,22.130,0.2143,-0.1988,0.0000,4.291
5,2014-09-12 15:20:00,46.9,4.12,29.790,46.900,17.3,21.795,22.130,0.2139,-0.1988,0.0000,4.291
6,2014-09-12 15:25:00,46.9,4.12,29.490,47.100,17.0,21.819,22.154,0.2143,-0.1988,0.0000,4.291
7,2014-09-12 15:30:00,45.6,3.53,29.540,46.600,16.9,21.819,22.154,0.2139,-0.1988,0.0000,4.291
8,2014-09-12 15:35:00,48.1,3.53,29.439,46.500,16.8,21.843,22.154,0.2143,-0.1988,0.0000,4.291
9,2014-09-12 15:40:00,49.4,3.53,29.340,46.200,16.6,21.843,22.154,0.2139,-0.1988,0.0000,4.291
10,2014-09-12 15:45:00,50.6,3.53,29.640,45.200,16.5,21.867,22.154,0.2143,-0.1988,0.0000,4.291
11,2014-09-12 15:50:00,50.6,3.53,29.540,45.800,16.7,21.867,22.178,0.2139,-0.1988,0.0000,4.291
12,2014-09-12 15:55:00,51.9,3.53,29.640,44.200,16.2,21.867,22.178,0.2143,-0.1988,0.0000,4.291
13,2014-09-12 16:00:00,50.6,3.53,29.540,43.400,15.8,21.891,22.178,0.2139,-0.1988,0.0000,4.291
14,2014-09-12 16:05:00,49.4,3.53,29.365,44.200,15.9,21.891,22.178,0.2143,-0.1988,0.0000,4.291
15,2014-09-12 16:10:00,61.9,3.53,29.340,44.100,15.9,21.891,22.178,0.2139,-0.1988,0.0000,4.291
16,2014-09-12 16:15:00,104.4,3.53,29.340,44.100,15.9,21.891,22.178,0.2143,-0.1988,0.0000,4.291
17,2014-09-12 16:20:00,49.4,3.53,28.965,44.100,15.5,21.891,22.178,0.2139,-0.1988,0.0000,4.291
18,2014-09-12 16:25:00,45.6,3.53,29.140,43.700,15.6,21.915,22.178,0.2143,-0.1988,0.0000,4.291
19,2014-09-12 16:30:00,61.9,3.53,28.742,45.400,15.8,21.915,22.178,0.2139,-0.1988,0.0000,4.291
20,2014-09-12 16:35:00,136.9,3.53,28.667,46.700,16.2,21.915,22.178,0.2143,-0.1988,0.0000,4.291
21,2014-09-12 16:40:00,234.4,3.53,28.097,49.600,16.6,21.915,22.178,0.2139,-0.1988,0.0000,4.291
22,2014-09-12 16:45:00,164.4,3.53,28.270,50.200,16.9,21.939,22.178,0.2139,-0.1988,0.0000,4.291
23,2014-09-12 16:50:00,220.6,3.53,27.825,51.600,17.0,21.939,22.178,0.2139,-0.1988,0.0000,4.291
24,2014-09-12 16:55:00,114.4,3.53,27.628,52.300,17.0,21.939,22.154,0.2139,-0.1988,0.0000,4.291
25,2014-09-12 17:00:00,136.9,3.53,27.677,52.800,17.2,21.939,22.154,0.2139,-0.1988,0.0000,4.291
26,2014-09-12 17:05:00,36.9,3.53,27.628,53.200,17.3,21.939,22.154,0.2139,-0.1988,0.0000,4.291
27,2014-09-12 17:10:00,36.9,3.53,27.653,53.200,17.3,21.939,22.154,0.2139,-0.1988,0.0000,4.291
28,2014-09-12 17:15:00,35.6,3.53,27.677,53.100,17.3,21.939,22.130,0.2139,-0.1988,0.0000,4.291
29,2014-09-12 17:20:00,33.1,3.53,27.554,53.100,17.2,21.939,22.130,0.2139,-0.1988,0.0000,4.291
30,2014-09-12 17:25:00,31.9,3.53,27.554,53.300,17.2,21.939,22.130,0.2139,-0.1988,0.0000,4.291
31,2014-09-12 17:30:00,36.9,3.53,27.456,53.400,17.2,21.939,22.130,0.2139,-0.1988,0.0000,4.291
32,2014-09-12 17:35:00,29.4,3.53,27.554,53.300,17.2,21.939,22.130,0.2139,-0.1988,0.0000,4.285
33,2014-09-12 17:40:00,29.4,3.53,27.333,53.300,17.0,21.939,22.130,0.2139,-0.1988,0.0000,4.291
34,2014-09-12 17:45:00,28.1,3.53,27.161,53.900,17.0,21.939,22.130,0.2139,-0.1988,0.0000,4.291
35,2014-09-12 17:50:00,25.6,3.53,27.087,54.200,17.1,21.939,22.130,0.2139,-0.1988,0.0000,4.291
36,2014-09-12 17:55:00,24.4,3.53,26.940,55.100,17.2,21.939,22.130,0.2139,-0.1988,0.0000,4.285
37,2014-09-12 18:00:00,29.4,3.53,26.891,55.800,17.3,21.939,22.130,0.2139,-0.1988,0.0000,4.285
38,2014-09-12 18:05:00,21.9,4.12,26.475,57.400,17.4,21.939,22.130,0.2139,-0.1988,0.0000,4.285
