"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10374984, SEN S/N: 10200133)","Wetness, % (LGR S/N: 10374984, SEN S/N: 10205911)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10213634)","RH, % (LGR S/N: 10374984, SEN S/N: 10213634)","DewPt, °C (LGR S/N: 10374984, SEN S/N: 10213634)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10222770, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374984, SEN S/N: 10222771, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374984, SEN S/N: 10222874)","Voltage, V (LGR S/N: 10374984, SEN S/N: 10348610)","Current, mA (LGR S/N: 10374984, SEN S/N: 10348610)","Batt, V (LGR S/N: 10374984)"
1,2014-08-01 11:40:00,60.6,4.12,27.949,58.700,19.1,22.034,22.226,0.2315,-0.1988,0.0000,4.339
2,2014-08-01 11:45:00,60.6,4.12,27.899,58.000,18.9,22.082,22.250,0.2311,-0.1988,0.0000,4.339
3,2014-08-01 11:50:00,60.6,4.12,28.245,57.600,19.1,22.082,22.274,0.2315,-0.1988,0.0000,4.345
4,2014-08-01 11:55:00,60.6,4.12,28.617,56.600,19.2,22.130,22.298,0.2315,-0.1988,0.0000,4.345
5,2014-08-01 12:00:00,60.6,4.12,28.617,54.900,18.7,22.154,22.321,0.2315,-0.1988,0.0000,4.345
6,2014-08-01 12:05:00,60.6,4.12,28.692,55.800,19.0,22.154,22.369,0.2315,-0.1988,0.0000,4.345
7,2014-08-01 12:10:00,60.6,3.53,29.015,54.800,19.0,22.178,22.393,0.2315,-0.1988,0.0000,4.345
8,2014-08-01 12:15:00,60.6,3.53,28.891,54.300,18.8,22.202,22.417,0.2315,-0.1988,0.0000,4.345
9,2014-08-01 12:20:00,61.9,3.53,28.941,55.000,19.0,22.226,22.441,0.2315,-0.1988,0.0000,4.345
10,2014-08-01 12:25:00,61.9,3.53,28.394,57.000,19.1,22.250,22.441,0.2315,-0.1988,0.0000,4.345
11,2014-08-01 12:30:00,61.9,4.12,28.320,57.900,19.3,22.274,22.465,0.2315,-0.1988,0.0000,4.345
12,2014-08-01 12:35:00,61.9,4.12,27.899,59.100,19.2,22.274,22.489,0.2315,-0.1988,0.0000,4.345
13,2014-08-01 12:40:00,61.9,4.12,28.147,58.400,19.2,22.298,22.513,0.2315,-0.1988,0.0000,4.345
14,2014-08-01 12:45:00,61.9,4.12,27.825,59.800,19.3,22.321,22.513,0.2315,-0.1988,0.0000,4.345
15,2014-08-01 12:50:00,61.9,3.53,27.899,59.800,19.4,22.345,22.537,0.2318,-0.1988,0.0000,4.345
16,2014-08-01 12:55:00,61.9,4.12,27.628,59.600,19.1,22.345,22.537,0.2315,-0.1988,0.0000,4.345
17,2014-08-01 13:00:00,63.1,4.12,28.072,59.200,19.4,22.369,22.561,0.2318,-0.1988,0.0000,4.345
18,2014-08-01 13:05:00,63.1,4.12,27.702,60.100,19.3,22.393,22.561,0.2315,-0.1988,0.0000,4.339
19,2014-08-01 13:10:00,63.1,4.12,27.554,60.200,19.2,22.393,22.585,0.2315,-0.1988,0.0000,4.345
20,2014-08-01 13:15:00,63.1,3.53,27.530,60.500,19.2,22.417,22.585,0.2315,-0.1988,0.0000,4.339
21,2014-08-01 13:20:00,63.1,3.53,27.653,60.300,19.3,22.417,22.609,0.2315,-0.1988,0.0000,4.345
22,2014-08-01 13:25:00,89.4,3.53,27.850,60.200,19.4,22.441,22.609,0.2315,-0.1988,0.0000,4.339
23,2014-08-01 13:30:00,178.1,4.12,27.875,59.400,19.3,22.441,22.609,0.2315,-0.1988,0.0000,4.339
24,2014-08-01 13:35:00,90.6,4.12,27.751,59.100,19.1,22.465,22.633,0.2311,-0.1988,0.0000,4.339
25,2014-08-01 13:40:00,93.1,4.12,27.776,60.700,19.5,22.465,22.633,0.2315,-0.1988,0.0000,4.345
26,2014-08-01 13:45:00,66.9,4.12,27.998,60.000,19.5,22.465,22.633,0.2311,-0.1988,0.0000,4.345
27,2014-08-01 13:50:00,91.9,4.12,27.998,59.700,19.5,22.489,22.657,0.2315,-0.1988,0.0000,4.345
28,2014-08-01 13:55:00,66.9,4.12,28.245,59.200,19.5,22.489,22.657,0.2311,-0.1988,0.0000,4.345
29,2014-08-01 14:00:00,66.9,4.12,28.419,57.500,19.2,22.513,22.681,0.2315,-0.1988,0.0000,4.339
30,2014-08-01 14:05:00,79.4,4.12,28.320,58.500,19.4,22.513,22.681,0.2311,-0.1988,0.0000,4.345
31,2014-08-01 14:10:00,64.4,4.12,28.023,59.300,19.4,22.513,22.681,0.2315,-0.1988,0.0000,4.345
32,2014-08-01 14:15:00,64.4,4.12,27.998,58.200,19.0,22.537,22.705,0.2311,-0.1988,0.0000,4.339
33,2014-08-01 14:20:00,311.9,4.12,27.776,59.500,19.2,22.537,22.705,0.2315,-0.1988,0.0000,4.339
34,2014-08-01 14:25:00,64.4,4.12,28.245,59.200,19.5,22.561,22.729,0.2311,-0.1988,0.0000,4.339
35,2014-08-01 14:30:00,64.4,4.12,27.776,59.500,19.2,22.561,22.753,0.2315,-0.1988,0.0000,4.339
36,2014-08-01 14:35:00,551.9,4.12,28.642,57.700,19.5,22.585,22.776,0.2311,-0.1988,0.0000,4.339
37,2014-08-01 14:40:00,246.9,4.12,28.048,58.900,19.3,22.609,22.824,0.2315,-0.1988,0.0000,4.339
38,2014-08-01 14:45:00,405.6,4.12,28.419,57.900,19.4,22.609,22.872,0.2311,-0.1988,0.0000,4.339
39,2014-08-01 14:50:00,205.6,4.12,28.147,58.600,19.3,22.633,22.920,0.2315,-0.1988,0.0000,4.339
40,2014-08-01 14:55:00,533.1,4.12,28.568,57.700,19.4,22.657,22.968,0.2311,-0.1988,0.0000,4.339
41,2014-08-01 15:00:00,68.1,4.12,28.320,57.700,19.2,22.705,23.016,0.2315,-0.1988,0.0000,4.339
42,2014-08-01 15:05:00,69.4,4.12,28.419,57.900,19.4,22.729,23.064,0.2311,-0.1988,0.0000,4.339
43,2014-08-01 15:10:00,70.6,4.12,28.444,58.600,19.6,22.753,23.088,0.2315,-0.1988,0.0000,4.339
44,2014-08-01 15:15:00,70.6,4.12,28.270,58.200,19.3,22.776,23.112,0.2311,-0.1988,0.0000,4.339
45,2014-08-01 15:20:00,70.6,4.12,27.727,59.700,19.2,22.800,23.136,0.2311,-0.1988,0.0000,4.339
46,2014-08-01 15:25:00,69.4,4.12,28.295,58.300,19.3,22.800,23.136,0.2311,-0.1988,0.0000,4.339
47,2014-08-01 15:30:00,73.1,4.12,27.677,59.600,19.1,22.824,23.136,0.2311,-0.1988,0.0000,4.339
48,2014-08-01 15:35:00,66.9,4.12,27.628,60.700,19.4,22.848,23.136,0.2306,-0.1988,0.0000,4.339
49,2014-08-01 15:40:00,64.4,4.12,27.899,60.300,19.5,22.848,23.136,0.2311,-0.1988,0.0000,4.339
50,2014-08-01 15:45:00,110.6,4.12,28.048,59.700,19.5,22.848,23.160,0.2311,-0.1988,0.0000,4.339
51,2014-08-01 15:50:00,119.4,4.12,27.924,58.800,19.1,22.872,23.136,0.2311,-0.1988,0.0000,4.339
52,2014-08-01 15:55:00,191.9,4.12,28.171,59.500,19.6,22.872,23.136,0.2306,-0.1988,0.0000,4.339
53,2014-08-01 16:00:00,161.9,4.12,27.850,59.700,19.3,22.896,23.136,0.2311,-0.1988,0.0000,4.339
54,2014-08-01 16:05:00,64.4,3.53,27.358,60.200,19.0,22.896,23.136,0.2306,-0.1988,0.0000,4.339
55,2014-08-01 16:10:00,56.9,4.12,27.481,60.300,19.1,22.896,23.136,0.2311,-0.1988,0.0000,4.339
56,2014-08-01 16:15:00,56.9,3.53,27.751,60.000,19.3,22.896,23.136,0.2306,-0.1988,0.0000,4.339
57,2014-08-01 16:20:00,55.6,4.12,28.048,59.500,19.4,22.896,23.136,0.2311,-0.1988,0.0000,4.339
58,2014-08-01 16:25:00,55.6,4.12,27.801,59.900,19.3,22.896,23.136,0.2306,-0.1988,0.0000,4.339
