"#","Date Time, GMT-08:00","Solar Radiation, W/m² (LGR S/N: 10221051, SEN S/N: 10200137)","Voltage, V (LGR S/N: 10221051, SEN S/N: 10200855)","Current, mA (LGR S/N: 10221051, SEN S/N: 10200855)","Wetness, % (LGR S/N: 10221051, SEN S/N: 10205905)","Temp, °C (LGR S/N: 10221051, SEN S/N: 10213637)","RH, % (LGR S/N: 10221051, SEN S/N: 10213637)","DewPt, °C (LGR S/N: 10221051, SEN S/N: 10213637)","Temp, °C (LGR S/N: 10221051, SEN S/N: 10213732, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10221051, SEN S/N: 10213733, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10221051, SEN S/N: 10222876)","Batt, V (LGR S/N: 10221051)"
1,2015-04-03 08:50:00,78.1,-0.2039,0.0000,0.00,22.369,30.600,4.2,16.892,16.820,0.2653,4.357
2,2015-04-03 08:55:00,114.4,-0.2039,0.0000,0.00,22.585,31.200,4.7,16.915,16.868,0.2653,4.357
3,2015-04-03 09:00:00,110.6,-0.2039,0.0000,0.00,22.896,31.300,5.0,16.963,16.892,0.2650,4.381
4,2015-04-03 09:05:00,374.4,-0.2039,0.0000,0.00,23.184,27.200,3.3,17.011,16.915,0.2650,4.400
5,2015-04-03 09:10:00,118.1,-0.2039,0.0000,0.00,23.497,25.300,2.5,17.058,16.939,0.2653,4.393
6,2015-04-03 09:15:00,153.1,-0.2039,0.0000,0.00,24.002,25.600,3.1,17.082,16.987,0.2650,4.387
7,2015-04-03 09:20:00,126.9,-0.2039,0.0000,0.00,24.750,24.800,3.3,17.130,17.011,0.2650,4.375
8,2015-04-03 09:25:00,131.9,-0.2039,0.0000,0.00,24.629,24.000,2.7,17.177,17.034,0.2650,4.369
9,2015-04-03 09:30:00,138.1,-0.2039,0.0000,0.00,24.847,23.300,2.5,17.225,17.082,0.2650,4.363
10,2015-04-03 09:35:00,235.6,-0.2039,0.0000,0.00,25.186,23.400,2.8,17.296,17.130,0.2646,4.387
11,2015-04-03 09:40:00,621.9,-0.2039,0.0000,0.00,25.210,22.400,2.3,17.368,17.177,0.2650,4.406
12,2015-04-03 09:45:00,640.6,-0.2039,0.0000,0.00,25.768,22.600,2.8,17.486,17.225,0.2646,4.393
13,2015-04-03 09:50:00,593.1,-0.2039,0.0000,0.00,26.012,24.000,3.9,17.605,17.296,0.2642,4.387
14,2015-04-03 09:55:00,681.9,-0.2039,0.0000,0.00,26.231,21.600,2.6,17.677,17.368,0.2646,4.375
15,2015-04-03 10:00:00,708.1,-0.2039,0.0000,0.00,26.671,22.200,3.3,17.724,17.415,0.2646,4.363
16,2015-04-03 10:05:00,729.4,-0.2039,0.0000,0.00,26.573,20.200,1.9,17.772,17.463,0.2642,4.363
17,2015-04-03 10:10:00,744.4,-0.2039,0.0000,0.00,27.210,20.000,2.3,17.843,17.510,0.2642,4.351
18,2015-04-03 10:15:00,756.9,-0.2039,0.0000,0.00,27.333,19.100,1.8,17.867,17.558,0.2639,4.400
19,2015-04-03 10:20:00,783.1,-0.2039,0.0000,0.00,27.677,20.500,3.0,17.915,17.605,0.2642,4.387
20,2015-04-03 10:25:00,755.6,-0.2039,0.0000,0.00,28.196,19.500,2.8,17.962,17.629,0.2642,4.375
21,2015-04-03 10:30:00,789.4,-0.2039,0.0000,0.00,28.221,17.100,1.0,18.057,17.677,0.2639,4.363
22,2015-04-03 10:35:00,741.9,-0.2039,0.0000,0.00,28.097,17.300,1.0,18.152,17.748,0.2639,4.363
23,2015-04-03 10:40:00,788.1,-0.2039,0.0000,0.59,28.866,20.300,3.9,18.247,17.819,0.2639,4.351
24,2015-04-03 10:45:00,799.4,-0.2039,0.0000,0.59,29.065,16.800,1.4,18.295,17.867,0.2635,4.393
25,2015-04-03 10:50:00,790.6,-0.2039,0.0000,0.59,29.065,16.900,1.5,18.366,17.938,0.2635,4.381
