Date Time	Voltage (V)  #10348620	Current (mA)  #10348620	Temp (°F)  #10359300	RH (%)  #10359300	Inside Temp (°F)	Outside Temp (°F)	Water Content (m³/m³)  #10374525	Wetness (%)  #10374902	Solar Radiation (W/m²)  #10375652	Batt (V) c:5
05/07/15 12:45:00.0	-0.2039	0.0000	66.214	52.400	75.117	70.759	0.0869	0.59	129.4	4.363
05/07/15 12:50:00.0	-0.2039	0.0000	64.632	55.500	74.986	70.930	0.0869	0.00	135.6	4.333
05/07/15 12:55:00.0	-0.2039	0.0000	63.304	57.100	74.727	71.017	0.0869	0.00	121.9	4.327
05/07/15 13:00:00.0	-0.2039	0.0000	63.390	58.300	74.338	71.060	0.0869	0.59	338.1	4.321
05/07/15 13:05:00.0	-0.2039	0.0000	64.204	57.500	74.034	70.974	0.0869	0.00	205.6	4.339
05/07/15 13:10:00.0	-0.2039	0.0000	65.403	57.300	73.947	70.974	0.0863	0.59	389.4	4.351
05/07/15 13:15:00.0	-0.2039	0.0000	64.632	57.200	73.904	70.974	0.0869	0.59	345.6	4.351
05/07/15 13:20:00.0	-0.2039	0.0000	62.791	59.000	73.947	70.974	0.0869	0.00	194.4	4.339
05/07/15 13:25:00.0	-0.2039	0.0000	63.304	60.100	73.947	71.017	0.0869	0.00	315.6	4.333
05/07/15 13:30:00.0	-0.2039	0.0000	64.931	57.600	73.861	71.017	0.0863	0.59	213.1	4.327
05/07/15 13:35:00.0	-0.2039	0.0000	63.433	59.200	73.904	71.060	0.0863	0.59	853.1	4.333
05/07/15 13:40:00.0	-0.2039	0.0000	67.242	55.400	73.947	71.060	0.0863	1.18	299.4	4.345
05/07/15 13:45:00.0	-0.2039	0.0000	65.829	54.600	74.338	71.146	0.0863	0.59	293.1	4.339
05/07/15 13:50:00.0	-0.2039	0.0000	64.418	57.000	74.597	71.317	0.0863	0.59	281.9	4.339
05/07/15 13:55:00.0	-0.2039	0.0000	64.375	57.400	74.640	71.404	0.0869	0.00	204.4	4.333
05/07/15 14:00:00.0	-0.2039	0.0000	64.760	55.600	74.683	71.533	0.0869	0.59	658.1	4.327
05/07/15 14:05:00.0	-0.2039	0.0000	65.145	55.200	74.813	71.577	0.0869	0.59	186.9	4.309
05/07/15 14:10:00.0	-0.2039	0.0000	63.819	57.100	74.986	71.704	0.0863	0.59	179.4	4.333
05/07/15 14:15:00.0	-0.2039	0.0000	62.406	58.400	74.986	71.791	0.0869	0.00	193.1	4.333
05/07/15 14:20:00.0	-0.2039	0.0000	62.834	58.600	74.856	71.877	0.0869	0.00	160.6	4.321
05/07/15 14:25:00.0	-0.2039	0.0000	62.319	58.600	74.640	71.877	0.0863	0.00	171.9	4.333
05/07/15 14:30:00.0	-0.2039	0.0000	62.233	59.300	74.424	71.834	0.0863	0.00	119.4	4.321
05/07/15 14:35:00.0	-0.2039	0.0000	61.977	59.200	74.163	71.791	0.0863	0.00	100.6	4.339
05/07/15 14:40:00.0	-0.2039	0.0000	61.162	59.400	73.904	71.748	0.0863	0.00	174.4	4.339
05/07/15 14:45:00.0	-0.2039	0.0000	61.119	58.800	73.645	71.620	0.0863	0.00	294.4	4.448
05/07/15 14:50:00.0	-0.2039	0.0000	63.347	56.400	73.429	71.533	0.0863	0.59	270.6	4.303
05/07/15 14:55:00.0	-0.2039	0.0000	63.048	56.600	73.472	71.447	0.0863	0.00	173.1	4.309
05/07/15 15:00:00.0	-0.2039	0.0000	61.934	57.400	73.472	71.404	0.0863	0.00	160.6	4.321
05/07/15 15:05:00.0	-0.2039	0.0000	63.048	56.500	73.429	71.404	0.0863	0.59	536.9	4.333
05/07/15 15:10:00.0	-0.2039	0.0000	63.090	55.100	73.386	71.361	0.0857	0.00	154.4	4.333
05/07/15 15:15:00.0	-0.2039	0.0000	62.661	55.900	73.342	71.361	0.0857	0.00	175.6	4.321
05/07/15 15:20:00.0	-0.2039	0.0000	61.290	57.500	73.299	71.361	0.0863	0.00	158.1	4.309
05/07/15 15:25:00.0	-0.2039	0.0000	60.604	57.700	73.170	71.317	0.0857	0.00	170.6	4.393
05/07/15 15:30:00.0	-0.2039	0.0000	61.376	58.100	73.040	71.274	0.0857	0.00	170.6	4.339
05/07/15 15:35:00.0	-0.2039	0.0000	61.162	58.100	72.912	71.231	0.0857	0.00	136.9	4.327
05/07/15 15:40:00.0	-0.2039	0.0000	60.303	57.700	72.783	71.146	0.0857	0.00	130.6	4.321
05/07/15 15:45:00.0	-0.2039	0.0000	60.517	60.000	72.567	71.103	0.0857	0.00	103.1	4.321
05/07/15 15:50:00.0	-0.2039	0.0000	60.991	59.600	72.394	71.017	0.0857	0.00	171.9	4.393
05/07/15 15:55:00.0	-0.2039	0.0000	60.904	59.400	72.221	70.930	0.0857	0.00	129.4	4.327
