"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 10221050, SEN S/N: 10200857)","Current, mA (LGR S/N: 10221050, SEN S/N: 10200857)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10213636)","RH, % (LGR S/N: 10221050, SEN S/N: 10213636)","DewPt, °C (LGR S/N: 10221050, SEN S/N: 10213636)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365531, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365588, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10221050, SEN S/N: 10374515)","Wetness, % (LGR S/N: 10221050, SEN S/N: 10374901)","Solar Radiation, W/m² (LGR S/N: 10221050, SEN S/N: 10375649)","Batt, V (LGR S/N: 10221050)"
1,2014-08-29 11:30:00,-0.2039,0.0000,31.561,26.800,10.2,36.742,34.176,0.0653,0.00,59.4,4.351
2,2014-08-29 11:35:00,-0.2039,0.0000,31.001,28.300,10.5,35.555,33.730,0.0653,0.00,61.9,4.351
3,2014-08-29 11:40:00,-0.2039,0.0000,31.459,28.700,11.1,34.916,33.339,0.0646,0.59,135.6,4.357
4,2014-08-29 11:45:00,-0.2039,0.0000,31.842,27.700,10.9,34.492,32.975,0.0653,0.00,60.6,4.357
5,2014-08-29 11:50:00,-0.2039,0.0000,32.253,28.900,11.9,34.097,32.639,0.0646,0.59,59.4,4.357
6,2014-08-29 11:55:00,-0.2039,0.0000,32.381,27.500,11.3,34.045,32.381,0.0653,0.00,61.9,4.351
7,2014-08-29 12:00:00,-0.2039,0.0000,32.458,27.900,11.6,33.992,32.201,0.0653,0.59,158.1,4.351
8,2014-08-29 12:05:00,-0.2039,0.0000,32.201,28.400,11.6,33.730,32.047,0.0653,0.59,69.4,4.357
9,2014-08-29 12:10:00,-0.2039,0.0000,32.794,27.800,11.8,33.495,31.868,0.0653,0.59,179.4,4.357
10,2014-08-29 12:15:00,-0.2039,0.0000,32.510,27.600,11.4,33.521,31.765,0.0653,0.59,96.9,4.351
11,2014-08-29 12:20:00,-0.2039,0.0000,32.253,27.700,11.3,36.661,32.098,0.0646,0.59,70.6,4.351
12,2014-08-29 12:25:00,-0.2039,0.0000,31.765,28.900,11.5,36.633,32.665,0.0646,0.59,263.1,4.357
13,2014-08-29 12:30:00,-0.2039,0.0000,32.794,27.600,11.7,36.742,32.872,0.0646,0.59,68.1,4.351
14,2014-08-29 12:35:00,-0.2039,0.0000,33.157,26.900,11.6,39.403,33.417,0.0646,0.59,954.4,4.357
15,2014-08-29 12:40:00,-0.2039,0.0000,33.365,27.000,11.8,41.123,34.229,0.0646,0.59,958.1,4.351
16,2014-08-29 12:45:00,-0.2039,0.0000,33.757,26.700,12.0,42.535,35.075,0.0653,0.59,960.6,4.351
17,2014-08-29 12:50:00,-0.2039,0.0000,32.768,27.200,11.4,43.344,35.877,0.0660,0.59,960.6,4.351
18,2014-08-29 12:55:00,-0.2039,0.0000,32.458,27.600,11.4,43.951,36.579,0.0660,0.59,963.1,4.351
19,2014-08-29 13:00:00,-0.2039,0.0000,33.966,26.800,12.2,44.812,37.178,0.0664,1.18,958.1,4.351
20,2014-08-29 13:05:00,-0.2039,0.0000,34.624,25.900,12.3,45.719,37.783,0.0671,1.18,951.9,4.351
21,2014-08-29 13:10:00,-0.2039,0.0000,33.704,26.900,12.1,46.226,38.365,0.0671,1.18,956.9,4.357
22,2014-08-29 13:15:00,-0.2039,0.0000,33.417,26.900,11.8,46.513,38.868,0.0684,1.18,315.6,4.351
23,2014-08-29 13:20:00,-0.2039,0.0000,33.548,27.100,12.0,46.899,39.290,0.0684,1.18,61.9,4.351
24,2014-08-29 13:25:00,-0.2039,0.0000,34.492,26.300,12.4,47.222,39.686,0.0702,1.18,60.6,4.351
25,2014-08-29 13:30:00,-0.2039,0.0000,34.413,27.300,12.9,44.349,39.772,0.0708,1.18,56.9,4.351
26,2014-08-29 13:35:00,-0.2039,0.0000,33.339,27.300,12.0,42.386,39.318,0.0702,0.59,53.1,4.351
27,2014-08-29 13:40:00,-0.2039,0.0000,33.600,27.400,12.3,40.891,38.700,0.0708,0.59,49.4,4.351
28,2014-08-29 13:45:00,-0.2039,0.0000,33.914,26.500,12.0,39.800,38.087,0.0702,0.59,49.4,4.357
29,2014-08-29 13:50:00,-0.2039,0.0000,33.783,27.000,12.2,38.924,37.508,0.0702,0.59,48.1,4.351
30,2014-08-29 13:55:00,-0.2039,0.0000,33.261,27.700,12.1,38.143,36.987,0.0702,0.59,46.9,4.351
31,2014-08-29 14:00:00,-0.2039,0.0000,33.079,27.900,12.1,37.480,36.525,0.0695,0.59,45.6,4.351
32,2014-08-29 14:05:00,-0.2039,0.0000,33.131,31.500,14.0,36.933,36.065,0.0695,0.59,44.4,4.351
33,2014-08-29 14:10:00,-0.2039,0.0000,33.940,34.400,16.1,36.715,35.689,0.0691,0.59,44.4,4.351
34,2014-08-29 14:15:00,-0.2039,0.0000,33.339,35.500,16.0,36.389,35.342,0.0684,0.59,43.1,4.357
35,2014-08-29 14:20:00,-0.2039,0.0000,33.001,37.600,16.6,36.065,35.075,0.0684,0.59,43.1,4.351
36,2014-08-29 14:25:00,-0.2039,0.0000,33.443,37.300,16.9,35.770,34.810,0.0678,0.59,40.6,4.351
37,2014-08-29 14:30:00,-0.2039,0.0000,32.898,38.400,16.9,35.448,34.572,0.0684,0.59,279.4,4.357
38,2014-08-29 14:35:00,-0.2039,0.0000,31.510,40.800,16.6,35.075,34.334,0.0678,0.59,40.6,4.351
39,2014-08-29 14:40:00,-0.2039,0.0000,32.021,39.800,16.7,34.757,34.097,0.0678,0.59,38.1,4.357
40,2014-08-29 14:45:00,-0.2039,0.0000,32.098,40.800,17.1,34.492,33.887,0.0678,0.59,78.1,4.357
41,2014-08-29 14:50:00,-0.2039,0.0000,32.201,40.100,16.9,34.281,33.678,0.0671,0.59,38.1,4.357
42,2014-08-29 14:55:00,-0.2039,0.0000,32.278,40.100,17.0,34.045,33.469,0.0671,0.59,35.6,4.357
43,2014-08-29 15:00:00,-0.2039,0.0000,32.510,39.900,17.1,33.835,33.287,0.0671,0.59,34.4,4.357
44,2014-08-29 15:05:00,-0.2039,0.0000,32.098,39.700,16.7,33.626,33.105,0.0664,0.59,33.1,4.357
45,2014-08-29 15:10:00,-0.2039,0.0000,32.047,40.500,17.0,33.417,32.949,0.0671,0.59,31.9,4.357
46,2014-08-29 15:15:00,-0.2039,0.0000,31.612,40.800,16.7,33.209,32.794,0.0664,0.00,30.6,4.357
47,2014-08-29 15:20:00,-0.2039,0.0000,31.510,40.900,16.6,33.001,32.613,0.0660,0.00,29.4,4.357
48,2014-08-29 15:25:00,-0.2039,0.0000,31.357,41.700,16.8,32.794,32.458,0.0660,0.00,28.1,4.357
49,2014-08-29 15:30:00,-0.2039,0.0000,31.586,41.600,17.0,32.639,32.330,0.0664,0.00,26.9,4.357
50,2014-08-29 15:35:00,-0.2039,0.0000,31.842,40.700,16.9,32.510,32.175,0.0660,0.59,25.6,4.357
51,2014-08-29 15:40:00,-0.2039,0.0000,31.637,40.900,16.8,32.355,32.047,0.0660,0.00,25.6,4.357
52,2014-08-29 15:45:00,-0.2039,0.0000,31.306,41.400,16.6,32.201,31.919,0.0660,0.00,24.4,4.357
53,2014-08-29 15:50:00,-0.2039,0.0000,31.179,41.700,16.6,32.047,31.791,0.0660,0.59,23.1,4.357
54,2014-08-29 15:55:00,-0.2039,0.0000,31.561,40.800,16.6,31.919,31.663,0.0660,0.59,21.9,4.357
55,2014-08-29 16:00:00,-0.2039,0.0000,31.153,41.700,16.6,31.791,31.561,0.0653,0.00,20.6,4.357
56,2014-08-29 16:05:00,-0.2039,0.0000,31.204,41.700,16.7,31.663,31.433,0.0653,0.00,20.6,4.357
57,2014-08-29 16:10:00,-0.2039,0.0000,30.900,42.200,16.6,31.535,31.331,0.0660,0.00,20.6,4.357
58,2014-08-29 16:15:00,-0.2039,0.0000,30.874,41.900,16.5,31.382,31.230,0.0653,0.00,19.4,4.357
59,2014-08-29 16:20:00,-0.2039,0.0000,30.748,42.200,16.5,31.255,31.128,0.0653,0.00,20.6,4.357
60,2014-08-29 16:25:00,-0.2039,0.0000,30.697,42.500,16.5,31.153,31.026,0.0653,0.00,20.6,4.357
61,2014-08-29 16:30:00,-0.2039,0.0000,30.849,42.200,16.5,31.052,30.925,0.0653,0.00,20.6,4.357
62,2014-08-29 16:35:00,-0.2039,0.0000,30.697,42.200,16.4,30.925,30.824,0.0646,0.00,20.6,4.357
63,2014-08-29 16:40:00,-0.2039,0.0000,30.444,42.400,16.3,30.824,30.748,0.0653,0.00,21.9,4.357
64,2014-08-29 16:45:00,-0.2039,0.0000,30.444,42.700,16.4,30.697,30.646,0.0646,0.00,23.1,4.357
65,2014-08-29 16:50:00,-0.2039,0.0000,30.293,43.200,16.4,30.596,30.571,0.0646,0.00,24.4,4.357
66,2014-08-29 16:55:00,-0.2039,0.0000,30.343,42.900,16.3,30.520,30.469,0.0646,0.00,25.6,4.357
67,2014-08-29 17:00:00,-0.2039,0.0000,30.419,43.100,16.5,30.495,30.394,0.0646,0.00,26.9,4.357
68,2014-08-29 17:05:00,-0.2039,0.0000,30.041,42.800,16.0,30.369,30.318,0.0639,0.00,210.6,4.357
69,2014-08-29 17:10:00,-0.2039,0.0000,29.765,43.400,16.0,30.268,30.243,0.0646,0.00,375.6,4.357
70,2014-08-29 17:15:00,-0.2039,0.0000,29.740,43.500,16.0,30.192,30.167,0.0646,0.00,361.9,4.357
71,2014-08-29 17:20:00,-0.2039,0.0000,29.790,43.500,16.1,30.142,30.091,0.0646,0.00,343.1,4.357
72,2014-08-29 17:25:00,-0.2039,0.0000,29.715,43.100,15.9,30.091,30.016,0.0646,0.00,326.9,4.363
73,2014-08-29 17:30:00,-0.2039,0.0000,30.066,42.900,16.1,30.041,29.941,0.0639,0.59,288.1,4.357
74,2014-08-29 17:35:00,-0.2039,0.0000,30.091,42.800,16.1,29.941,29.890,0.0639,0.59,141.9,4.351
75,2014-08-29 17:40:00,-0.2039,0.0000,29.340,43.800,15.8,29.790,29.815,0.0639,0.00,20.6,4.351
76,2014-08-29 17:45:00,-0.2039,0.0000,28.816,44.300,15.5,29.640,29.740,0.0639,0.00,24.4,4.357
77,2014-08-29 17:50:00,-0.2039,0.0000,28.692,43.800,15.2,29.490,29.665,0.0639,0.00,11.9,4.357
78,2014-08-29 17:55:00,-0.2039,0.0000,28.320,43.600,14.8,29.340,29.565,0.0639,0.00,19.4,4.357
79,2014-08-29 18:00:00,-0.2039,0.0000,28.023,44.500,14.8,29.190,29.490,0.0632,0.00,9.4,4.357
80,2014-08-29 18:05:00,-0.2039,0.0000,27.949,44.600,14.8,29.065,29.389,0.0639,0.00,8.1,4.357
81,2014-08-29 18:10:00,-0.2039,0.0000,27.825,44.200,14.5,28.965,29.315,0.0632,0.00,8.1,4.357
82,2014-08-29 18:15:00,-0.2039,0.0000,27.628,44.700,14.5,28.916,29.240,0.0632,0.00,6.9,4.357
83,2014-08-29 18:20:00,-0.2039,0.0000,27.431,45.300,14.6,29.190,29.240,0.0632,0.00,6.9,4.357
84,2014-08-29 18:25:00,-0.2039,0.0000,27.284,45.300,14.4,28.295,29.165,0.0628,0.00,5.6,4.363
85,2014-08-29 18:30:00,-0.2039,0.0000,27.186,45.400,14.4,27.875,29.015,0.0628,0.00,5.6,4.357
86,2014-08-29 18:35:00,-0.2039,0.0000,27.087,45.200,14.2,27.554,28.816,0.0632,0.00,5.6,4.357
87,2014-08-29 18:40:00,-0.2039,0.0000,26.965,45.800,14.3,27.259,28.617,0.0632,0.00,4.4,4.357
88,2014-08-29 18:45:00,-0.2039,0.0000,26.842,46.800,14.5,27.063,28.394,0.0628,0.00,4.4,4.357
89,2014-08-29 18:50:00,-0.2039,0.0000,26.646,47.300,14.5,26.842,28.171,0.0628,0.00,4.4,4.357
90,2014-08-29 18:55:00,-0.2039,0.0000,26.451,47.900,14.5,26.695,27.974,0.0628,0.00,3.1,4.357
91,2014-08-29 19:00:00,-0.2039,0.0000,26.280,48.200,14.5,26.573,27.801,0.0628,0.00,3.1,4.357
92,2014-08-29 19:05:00,-0.2039,0.0000,26.012,48.600,14.4,26.402,27.653,0.0632,0.00,1.9,4.357
93,2014-08-29 19:10:00,-0.2039,0.0000,25.793,48.700,14.2,26.182,27.505,0.0628,0.00,1.9,4.357
94,2014-08-29 19:15:00,-0.2039,0.0000,25.550,49.000,14.1,26.036,27.333,0.0621,0.00,0.6,4.357
95,2014-08-29 19:20:00,-0.2039,0.0000,25.258,50.000,14.1,25.817,27.186,0.0628,0.00,0.6,4.357
