"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10221050, SEN S/N: 10200857)","Current, mA (LGR S/N: 10221050, SEN S/N: 10200857)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10213636)","RH, % (LGR S/N: 10221050, SEN S/N: 10213636)","DewPt, °C (LGR S/N: 10221050, SEN S/N: 10213636)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365531, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365588, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10221050, SEN S/N: 10374515)","Wetness, % (LGR S/N: 10221050, SEN S/N: 10374901)","Solar Radiation, W/m² (LGR S/N: 10221050, SEN S/N: 10375649)"
1,2015-02-13 13:20:00,-0.2039,0.0000,30.469,12.500,-1.6,36.227,33.131,0.0762,0.00,34.4
2,2015-02-13 13:25:00,-0.2039,0.0000,30.849,12.300,-1.5,35.823,32.665,0.0752,0.00,34.4
3,2015-02-13 13:30:00,-0.2039,0.0000,30.369,12.400,-1.8,35.182,32.175,0.0745,0.00,36.9
4,2015-02-13 13:35:00,-0.2039,0.0000,30.243,12.400,-1.9,34.572,31.714,0.0738,0.00,38.1
5,2015-02-13 13:40:00,-0.2039,0.0000,30.293,12.200,-2.0,34.019,31.281,0.0732,0.00,40.6
6,2015-02-13 13:45:00,-0.2039,0.0000,29.865,12.600,-1.9,33.548,30.925,0.0725,0.00,40.6
7,2015-02-13 13:50:00,-0.2039,0.0000,30.091,13.000,-1.3,33.157,30.596,0.0722,0.00,40.6
8,2015-02-13 13:55:00,-0.2039,0.0000,30.117,12.700,-1.6,32.820,30.318,0.0715,0.00,40.6
9,2015-02-13 14:00:00,-0.2039,0.0000,30.016,12.800,-1.6,32.484,30.041,0.0708,0.00,39.4
10,2015-02-13 14:05:00,-0.2039,0.0000,29.966,12.900,-1.5,32.150,29.790,0.0708,0.00,36.9
11,2015-02-13 14:10:00,-0.2039,0.0000,30.066,14.100,-0.2,31.816,29.565,0.0702,0.00,35.6
12,2015-02-13 14:15:00,-0.2039,0.0000,29.865,14.500,-0.0,31.535,29.340,0.0695,0.00,31.9
13,2015-02-13 14:20:00,-0.2039,0.0000,29.565,15.000,0.2,31.255,29.115,0.0695,0.00,30.6
14,2015-02-13 14:25:00,-0.2039,0.0000,29.640,15.000,0.3,31.052,28.941,0.0695,0.00,29.4
15,2015-02-13 14:30:00,-0.2039,0.0000,29.715,15.000,0.3,30.874,28.791,0.0684,0.00,35.6
16,2015-02-13 14:35:00,-0.2039,0.0000,29.490,15.100,0.2,30.646,28.617,0.0691,0.00,34.4
17,2015-02-13 14:40:00,-0.2039,0.0000,29.540,15.000,0.2,30.394,28.419,0.0691,0.00,33.1
18,2015-02-13 14:45:00,-0.2039,0.0000,29.490,15.100,0.2,30.142,28.221,0.0684,0.00,35.6
19,2015-02-13 14:50:00,-0.2039,0.0000,29.464,15.000,0.1,29.890,28.048,0.0684,0.00,38.1
20,2015-02-13 14:55:00,-0.2039,0.0000,29.414,15.100,0.2,29.665,27.899,0.0684,0.00,39.4
21,2015-02-13 15:00:00,-0.2039,0.0000,29.340,15.100,0.1,29.439,27.727,0.0678,0.00,40.6
22,2015-02-13 15:05:00,-0.2039,0.0000,29.140,15.200,0.1,29.240,27.579,0.0678,0.00,41.9
23,2015-02-13 15:10:00,-0.2039,0.0000,29.115,16.000,0.8,29.040,27.431,0.0671,0.00,40.6
24,2015-02-13 15:15:00,-0.2039,0.0000,28.965,15.800,0.5,28.841,27.284,0.0671,0.00,39.4
25,2015-02-13 15:20:00,-0.2039,0.0000,28.766,15.700,0.2,28.667,27.136,0.0671,0.00,38.1
26,2015-02-13 15:25:00,-0.2039,0.0000,28.568,15.900,0.2,28.493,26.989,0.0664,0.00,36.9
27,2015-02-13 15:30:00,-0.2039,0.0000,28.345,16.100,0.2,28.320,26.867,0.0664,0.00,35.6
28,2015-02-13 15:35:00,-0.2039,0.0000,28.072,16.100,0.0,28.171,26.744,0.0664,0.00,34.4
29,2015-02-13 15:40:00,-0.2039,0.0000,27.949,16.000,-0.2,27.998,26.598,0.0664,0.00,30.6
30,2015-02-13 15:45:00,-0.2039,0.0000,27.751,17.200,0.7,27.825,26.451,0.0660,0.00,28.1
31,2015-02-13 15:50:00,-0.2039,0.0000,27.407,17.600,0.7,27.653,26.353,0.0660,0.00,20.6
32,2015-02-13 15:55:00,-0.2039,0.0000,27.063,18.000,0.7,27.481,26.207,0.0660,0.00,10.6
33,2015-02-13 16:00:00,-0.2039,0.0000,26.769,18.400,0.8,27.308,26.085,0.0653,0.00,8.1
34,2015-02-13 16:05:00,-0.2039,0.0000,26.475,18.900,0.9,27.112,25.939,0.0660,0.00,6.9
35,2015-02-13 16:10:00,-0.2039,0.0000,26.231,18.900,0.7,26.916,25.793,0.0653,0.00,6.9
36,2015-02-13 16:15:00,-0.2039,0.0000,25.939,19.900,1.2,26.720,25.671,0.0646,0.00,6.9
37,2015-02-13 16:20:00,-0.2039,0.0000,25.598,20.300,1.2,26.524,25.525,0.0646,0.00,6.9
38,2015-02-13 16:25:00,-0.2039,0.0000,25.428,20.800,1.4,26.329,25.380,0.0653,0.00,6.9
39,2015-02-13 16:30:00,-0.2039,0.0000,25.162,20.700,1.1,26.158,25.234,0.0646,0.00,5.6
40,2015-02-13 16:35:00,-0.2039,0.0000,24.895,20.800,1.0,25.963,25.089,0.0646,0.00,5.6
41,2015-02-13 16:40:00,-0.2039,0.0000,24.629,21.200,1.0,25.793,24.992,0.0646,0.00,4.4
42,2015-02-13 16:45:00,-0.2039,0.0000,24.388,21.200,0.8,25.598,24.823,0.0646,0.00,4.4
43,2015-02-13 16:50:00,-0.2039,0.0000,24.122,21.500,0.8,25.428,24.702,0.0639,0.00,4.4
44,2015-02-13 16:55:00,-0.2039,0.0000,23.905,21.600,0.7,25.258,24.581,0.0639,0.00,4.4
45,2015-02-13 17:00:00,-0.1988,0.0000,23.833,21.800,0.7,25.089,24.460,0.0632,0.00,3.1
46,2015-02-13 17:05:00,-0.1988,0.0000,23.785,21.600,0.6,24.919,24.339,0.0632,0.00,3.1
