Date Time	Wetness (%)  #10314900	Temp (°F)  #10359308	RH (%)  #10359308	Voltage (V)  #10363598	Current (mA)  #10363598	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10374508	Solar Radiation (W/m²)  #10375644	Batt (V) c:5
05/15/15 09:35:00.0	7.06	58.755	85.300	-0.2039	0.0000	59.916	59.659	0.2694	88.1	4.339
05/15/15 09:40:00.0	5.88	58.669	84.100	-0.2039	0.0000	60.089	59.788	0.2698	94.4	4.351
05/15/15 09:45:00.0	5.29	58.755	84.400	-0.2039	0.0000	60.174	59.873	0.2698	104.4	4.339
05/15/15 09:50:00.0	4.12	59.056	84.100	-0.2039	0.0000	60.346	60.003	0.2698	118.1	4.393
05/15/15 09:55:00.0	4.12	59.916	83.600	-0.2039	0.0000	60.561	60.132	0.2701	121.9	4.363
05/15/15 10:00:00.0	4.12	59.272	81.600	-0.2039	0.0000	60.818	60.303	0.2701	103.1	4.393
05/15/15 10:05:00.0	3.53	59.315	81.100	-0.2039	0.0000	60.948	60.474	0.2701	94.4	4.339
05/15/15 10:10:00.0	4.12	59.486	81.300	-0.2039	0.0000	61.032	60.561	0.2701	73.1	4.339
05/15/15 10:15:00.0	3.53	59.185	80.200	-0.2039	0.0000	61.032	60.647	0.2701	65.6	4.363
05/15/15 10:20:00.0	4.12	59.315	80.300	-0.2039	0.0000	61.032	60.690	0.2701	76.9	4.363
05/15/15 10:25:00.0	4.12	59.659	80.900	-0.2039	0.0000	61.032	60.733	0.2701	76.9	4.351
05/15/15 10:30:00.0	3.53	59.830	80.400	-0.2039	0.0000	61.032	60.733	0.2705	65.6	4.339
05/15/15 10:35:00.0	4.12	59.959	80.700	-0.2039	0.0000	61.075	60.775	0.2705	71.9	4.345
05/15/15 10:40:00.0	3.53	59.959	80.400	-0.2039	0.0000	61.119	60.818	0.2701	81.9	4.369
05/15/15 10:45:00.0	3.53	59.916	79.200	-0.2039	0.0000	61.162	60.861	0.2705	109.4	4.351
05/15/15 10:50:00.0	3.53	60.303	78.900	-0.2039	0.0000	61.290	60.904	0.2705	114.4	4.345
05/15/15 10:55:00.0	3.53	60.733	77.900	-0.2039	0.0000	61.419	60.991	0.2705	115.6	4.339
05/15/15 11:00:00.0	3.53	60.948	77.000	-0.2039	0.0000	61.547	61.119	0.2705	115.6	4.357
05/15/15 11:05:00.0	3.53	61.032	75.700	-0.2039	0.0000	61.633	61.205	0.2705	106.9	4.363
05/15/15 11:10:00.0	3.53	61.032	74.800	-0.2039	0.0000	61.720	61.290	0.2705	101.9	4.351
05/15/15 11:15:00.0	3.53	61.290	74.900	-0.2039	0.0000	61.761	61.376	0.2708	91.9	4.345
05/15/15 11:20:00.0	3.53	61.590	74.600	-0.2039	0.0000	61.804	61.419	0.2705	121.9	4.339
05/15/15 11:25:00.0	3.53	62.704	74.300	-0.2039	0.0000	61.848	61.462	0.2708	109.4	4.375
05/15/15 11:30:00.0	3.53	63.262	73.300	-0.2039	0.0000	61.977	61.547	0.2705	128.1	4.363
05/15/15 11:35:00.0	2.94	63.176	72.200	-0.2039	0.0000	62.062	61.633	0.2708	148.1	4.351
05/15/15 11:40:00.0	2.94	63.048	70.200	-0.2039	0.0000	62.233	61.720	0.2708	144.4	4.345
05/15/15 11:45:00.0	2.94	63.390	71.200	-0.2039	0.0000	62.362	61.848	0.2705	156.9	4.339
05/15/15 11:50:00.0	2.94	64.033	70.000	-0.2039	0.0000	62.577	61.977	0.2708	168.1	4.393
05/15/15 11:55:00.0	2.94	64.247	69.100	-0.2039	0.0000	62.748	62.105	0.2708	125.6	4.357
05/15/15 12:00:00.0	2.94	64.033	68.300	-0.2039	0.0000	62.834	62.233	0.2712	135.6	4.351
05/15/15 12:05:00.0	2.94	63.475	67.500	-0.2039	0.0000	63.090	62.362	0.2712	141.9	4.339
05/15/15 12:10:00.0	2.94	64.033	67.900	-0.2039	0.0000	63.176	62.490	0.2708	138.1	4.339
05/15/15 12:15:00.0	2.94	64.459	66.800	-0.2039	0.0000	63.262	62.577	0.2708	94.4	4.369
05/15/15 12:20:00.0	2.94	64.117	65.700	-0.2039	0.0000	63.219	62.661	0.2708	106.9	4.351
05/15/15 12:25:00.0	2.94	64.459	66.100	-0.2039	0.0000	63.176	62.704	0.2712	131.9	4.345
05/15/15 12:30:00.0	2.94	64.332	65.200	-0.2039	0.0000	63.262	62.704	0.2712	351.9	4.339
05/15/15 12:35:00.0	2.94	64.546	65.400	-0.2039	0.0000	63.304	62.791	0.2708	76.9	4.345
05/15/15 12:40:00.0	2.94	64.161	65.000	-0.2039	0.0000	63.219	62.791	0.2708	59.4	4.363
05/15/15 12:45:00.0	2.94	63.433	65.000	-0.2039	0.0000	63.133	62.791	0.2712	66.9	4.351
05/15/15 12:50:00.0	2.35	63.390	66.000	-0.2039	0.0000	63.005	62.704	0.2712	89.4	4.345
05/15/15 12:55:00.0	2.94	63.518	66.800	-0.2039	0.0000	62.962	62.704	0.2708	78.1	4.339
05/15/15 13:00:00.0	2.94	64.074	66.800	-0.2039	0.0000	62.962	62.661	0.2708	61.9	4.339
05/15/15 13:05:00.0	2.94	64.247	67.000	-0.2039	0.0000	62.919	62.620	0.2708	108.1	4.381
05/15/15 13:10:00.0	2.94	64.717	66.400	-0.2039	0.0000	62.962	62.620	0.2712	114.4	4.363
05/15/15 13:15:00.0	2.94	64.459	65.500	-0.2039	0.0000	63.048	62.704	0.2712	108.1	4.351
05/15/15 13:20:00.0	2.94	64.845	64.800	-0.2039	0.0000	63.176	62.748	0.2712	649.4	4.345
05/15/15 13:25:00.0	2.94	64.418	64.400	-0.2039	0.0000	63.347	62.875	0.2712	114.4	4.339
05/15/15 13:30:00.0	2.94	65.745	64.300	-0.2039	0.0000	63.347	62.962	0.2708	99.4	4.369
05/15/15 13:35:00.0	2.94	65.145	62.500	-0.2039	0.0000	63.304	62.962	0.2712	179.4	4.357
05/15/15 13:40:00.0	2.94	64.760	62.300	-0.2039	0.0000	63.219	62.962	0.2712	99.4	4.351
05/15/15 13:45:00.0	2.94	65.145	61.000	-0.2039	0.0000	63.176	62.919	0.2712	144.4	4.339
05/15/15 13:50:00.0	2.94	65.359	61.000	-0.2039	0.0000	63.048	62.875	0.2708	93.1	4.339
05/15/15 13:55:00.0	2.94	64.931	61.200	-0.2039	0.0000	62.962	62.834	0.2708	95.6	4.357
05/15/15 14:00:00.0	2.94	64.888	60.200	-0.2039	0.0000	62.875	62.791	0.2708	181.9	4.381
05/15/15 14:05:00.0	2.94	64.888	61.200	-0.2039	0.0000	62.919	62.704	0.2708	210.6	4.357
05/15/15 14:10:00.0	2.94	64.717	60.600	-0.2039	0.0000	62.962	62.748	0.2712	576.9	4.351
05/15/15 14:15:00.0	2.94	64.717	61.700	-0.2039	0.0000	63.005	62.748	0.2708	145.6	4.339
05/15/15 14:20:00.0	2.35	64.632	61.200	-0.2039	0.0000	63.133	62.791	0.2708	131.9	4.339
05/15/15 14:25:00.0	2.94	65.487	59.400	-0.2039	0.0000	63.262	62.875	0.2712	281.9	4.363
05/15/15 14:30:00.0	2.94	65.017	59.400	-0.2039	0.0000	63.219	62.919	0.2708	195.6	4.351
05/15/15 14:35:00.0	2.94	64.418	59.800	-0.2039	0.0000	63.176	62.919	0.2708	339.4	4.339
05/15/15 14:40:00.0	2.94	64.503	59.300	-0.2039	0.0000	63.090	62.875	0.2705	148.1	4.339
05/15/15 14:45:00.0	2.35	64.418	59.000	-0.2039	0.0000	63.176	62.919	0.2708	218.1	4.393
05/15/15 14:50:00.0	2.94	64.974	60.000	-0.2039	0.0000	63.304	62.962	0.2708	140.6	4.363
05/15/15 14:55:00.0	2.94	65.102	59.700	-0.2039	0.0000	63.475	63.048	0.2708	143.1	4.351
05/15/15 15:00:00.0	2.35	65.615	58.300	-0.2039	0.0000	63.689	63.133	0.2705	455.6	4.345
05/15/15 15:05:00.0	2.35	65.230	57.200	-0.2039	0.0000	63.775	63.262	0.2705	121.9	4.339
05/15/15 15:10:00.0	2.35	65.487	58.200	-0.2039	0.0000	63.819	63.347	0.2705	620.6	4.381
05/15/15 15:15:00.0	2.94	66.130	59.100	-0.2039	0.0000	63.862	63.390	0.2705	353.1	4.351
05/15/15 15:20:00.0	2.94	66.558	57.100	-0.2039	0.0000	63.862	63.475	0.2708	363.1	4.357
05/15/15 15:25:00.0	2.35	65.829	57.200	-0.2039	0.0000	63.990	63.518	0.2701	365.6	4.345
05/15/15 15:30:00.0	2.94	66.000	58.900	-0.2039	0.0000	64.204	63.648	0.2705	186.9	4.339
05/15/15 15:35:00.0	2.35	65.615	59.300	-0.2039	0.0000	64.375	63.775	0.2705	318.1	4.339
05/15/15 15:40:00.0	2.94	66.043	60.100	-0.2039	0.0000	64.546	63.903	0.2705	119.4	4.393
05/15/15 15:45:00.0	2.94	65.230	61.500	-0.2039	0.0000	64.845	64.033	0.2701	446.9	4.357
05/15/15 15:50:00.0	2.94	65.745	61.300	-0.2039	0.0000	65.487	64.332	0.2701	189.4	4.345
05/15/15 15:55:00.0	2.35	65.487	60.700	-0.2039	0.0000	66.173	64.760	0.2705	363.1	4.339
05/15/15 16:00:00.0	2.94	64.974	61.300	-0.2039	0.0000	66.772	65.230	0.2705	235.6	4.339
05/15/15 16:05:00.0	2.94	65.829	61.500	-0.2039	0.0000	67.158	65.615	0.2705	366.9	4.363
05/15/15 16:10:00.0	2.94	66.214	61.600	-0.2039	0.0000	67.586	65.959	0.2701	459.4	4.351
05/15/15 16:15:00.0	2.94	67.114	61.100	-0.2039	0.0000	67.928	66.301	0.2705	456.9	4.339
05/15/15 16:20:00.0	2.94	66.472	59.500	-0.2039	0.0000	68.142	66.600	0.2701	419.4	4.339
05/15/15 16:25:00.0	2.94	66.173	60.400	-0.2039	0.0000	68.056	66.772	0.2705	394.4	4.369
