Date Time	Wetness (%)  #10205904	Solar Radiation (W/m²)  #10208649	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10222870	Voltage (V)  #10348616	Current (mA)  #10348616	Temp (°F)  #10359304	RH (%)  #10359304	Batt (V) c:5
06/05/15 14:00:00.0	2.35	63.1	66.087	65.403	0.1499	-0.1988	0.0000	72.653	57.300	4.321
06/05/15 14:05:00.0	2.35	56.9	66.130	65.444	0.1499	-0.1988	0.0000	73.256	56.800	4.351
06/05/15 14:10:00.0	2.35	20.6	66.173	65.487	0.1499	-0.1988	0.0000	73.126	56.500	4.339
06/05/15 14:15:00.0	2.35	45.6	66.258	65.530	0.1499	-0.1988	0.0000	72.912	56.700	4.333
06/05/15 14:20:00.0	2.35	50.6	66.344	65.574	0.1499	-0.1988	0.0000	72.610	58.000	4.321
06/05/15 14:25:00.0	2.35	53.1	66.429	65.615	0.1503	-0.1988	0.0000	73.731	56.900	4.321
06/05/15 14:30:00.0	2.35	50.6	66.558	65.658	0.1499	-0.1988	0.0000	73.472	57.200	4.333
06/05/15 14:35:00.0	2.35	50.6	66.643	65.701	0.1499	-0.1988	0.0000	73.126	57.100	4.351
06/05/15 14:40:00.0	2.35	49.4	66.686	65.745	0.1499	-0.1988	0.0000	72.869	57.600	4.327
06/05/15 14:45:00.0	2.35	54.4	66.729	65.788	0.1499	-0.1988	0.0000	72.610	58.300	4.321
06/05/15 14:50:00.0	2.35	49.4	66.772	65.872	0.1499	-0.1988	0.0000	72.178	58.900	4.321
06/05/15 14:55:00.0	2.35	45.6	66.814	65.916	0.1503	-0.1988	0.0000	72.307	59.400	4.321
06/05/15 15:00:00.0	2.35	43.1	66.857	65.959	0.1503	-0.1988	0.0000	71.748	59.700	4.333
06/05/15 15:05:00.0	2.35	48.1	66.900	66.000	0.1503	-0.1988	0.0000	72.178	58.900	4.321
06/05/15 15:10:00.0	2.35	46.9	66.943	66.043	0.1503	-0.1988	0.0000	72.264	58.600	4.321
06/05/15 15:15:00.0	2.35	46.9	66.985	66.087	0.1503	-0.1988	0.0000	72.394	58.600	4.321
06/05/15 15:20:00.0	2.35	55.6	66.985	66.130	0.1499	-0.1988	0.0000	71.620	59.200	4.333
06/05/15 15:25:00.0	2.35	45.6	67.028	66.130	0.1499	-0.1988	0.0000	71.146	60.400	4.333
06/05/15 15:30:00.0	2.35	45.6	67.028	66.173	0.1503	-0.1988	0.0000	71.231	61.000	4.321
06/05/15 15:35:00.0	2.35	68.1	67.028	66.214	0.1503	-0.1988	0.0000	71.620	59.600	4.321
06/05/15 15:40:00.0	2.35	139.4	67.028	66.258	0.1503	-0.1988	0.0000	71.620	60.000	4.321
06/05/15 15:45:00.0	2.35	65.6	67.071	66.258	0.1503	-0.1988	0.0000	71.533	61.600	4.339
06/05/15 15:50:00.0	2.35	51.9	67.071	66.301	0.1503	-0.1988	0.0000	72.093	58.800	4.333
06/05/15 15:55:00.0	2.35	50.6	67.114	66.344	0.1503	-0.1988	0.0000	71.146	60.700	4.321
06/05/15 16:00:00.0	2.35	76.9	67.114	66.344	0.1503	-0.1988	0.0000	71.317	60.500	4.321
06/05/15 16:05:00.0	2.35	48.1	67.114	66.344	0.1503	-0.1988	0.0000	71.146	60.600	4.321
06/05/15 16:10:00.0	2.35	54.4	67.158	66.385	0.1503	-0.1988	0.0000	69.771	63.000	4.339
06/05/15 16:15:00.0	2.35	53.1	67.199	66.429	0.1503	-0.1988	0.0000	70.158	62.000	4.333
06/05/15 16:20:00.0	2.35	41.9	67.242	66.429	0.1503	-0.1988	0.0000	70.329	62.000	4.321
06/05/15 16:25:00.0	2.35	71.9	67.242	66.472	0.1503	-0.1988	0.0000	71.017	62.000	4.321
06/05/15 16:30:00.0	2.35	44.4	67.285	66.472	0.1503	-0.1937	0.0000	71.748	59.900	4.321
06/05/15 16:35:00.0	2.35	45.6	67.372	66.515	0.1503	-0.1988	0.0000	71.274	61.000	4.339
06/05/15 16:40:00.0	2.35	45.6	67.456	66.558	0.1503	-0.1988	0.0000	71.146	60.800	4.321
06/05/15 16:45:00.0	2.35	45.6	67.543	66.600	0.1503	-0.1988	0.0000	70.974	61.500	4.321
06/05/15 16:50:00.0	2.35	48.1	67.671	66.643	0.1503	-0.1988	0.0000	70.587	61.700	4.327
06/05/15 16:55:00.0	2.35	51.9	67.798	66.643	0.1503	-0.1988	0.0000	70.543	61.500	4.321
06/05/15 17:00:00.0	2.35	48.1	68.013	66.729	0.1503	-0.1988	0.0000	70.673	61.400	4.333
06/05/15 17:05:00.0	2.35	46.9	68.313	66.814	0.1503	-0.1988	0.0000	70.502	61.200	4.321
