"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10221050, SEN S/N: 10200857)","Current, mA (LGR S/N: 10221050, SEN S/N: 10200857)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10213636)","RH, % (LGR S/N: 10221050, SEN S/N: 10213636)","DewPt, °C (LGR S/N: 10221050, SEN S/N: 10213636)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365531, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10221050, SEN S/N: 10365588, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10221050, SEN S/N: 10374515)","Wetness, % (LGR S/N: 10221050, SEN S/N: 10374901)","Solar Radiation, W/m² (LGR S/N: 10221050, SEN S/N: 10375649)"
1,2015-03-27 13:35:00,-0.2039,0.0000,33.861,18.800,6.9,38.560,36.417,0.0762,0.00,45.6
2,2015-03-27 13:40:00,-0.2039,0.0000,33.495,18.000,5.9,37.508,35.823,0.0762,0.00,44.4
3,2015-03-27 13:45:00,-0.2039,0.0000,33.261,19.300,6.8,36.715,35.342,0.0758,0.00,44.4
4,2015-03-27 13:50:00,-0.2039,0.0000,33.287,21.400,8.3,36.254,34.942,0.0752,0.00,113.1
5,2015-03-27 13:55:00,-0.2039,0.0000,33.339,20.100,7.4,35.770,34.598,0.0745,0.00,43.1
6,2015-03-27 14:00:00,-0.2039,0.0000,32.924,21.200,7.9,35.208,34.229,0.0745,0.00,41.9
7,2015-03-27 14:05:00,-0.2039,0.0000,32.613,22.400,8.4,34.783,33.887,0.0738,0.00,336.9
8,2015-03-27 14:10:00,-0.2039,0.0000,32.330,21.300,7.4,34.360,33.574,0.0738,0.00,39.4
9,2015-03-27 14:15:00,-0.2039,0.0000,32.278,21.800,7.7,34.045,33.287,0.0738,0.00,38.1
10,2015-03-27 14:20:00,-0.2039,0.0000,32.047,21.800,7.5,33.626,33.001,0.0732,0.00,36.9
11,2015-03-27 14:25:00,-0.2039,0.0000,31.714,22.800,7.9,33.287,32.717,0.0725,0.00,36.9
12,2015-03-27 14:30:00,-0.2039,0.0000,31.868,22.100,7.6,33.027,32.458,0.0725,0.00,35.6
13,2015-03-27 14:35:00,-0.2039,0.0000,31.510,21.400,6.8,32.613,32.201,0.0722,0.00,34.4
14,2015-03-27 14:40:00,-0.2039,0.0000,31.535,21.800,7.1,32.355,31.944,0.0715,0.00,33.1
15,2015-03-27 14:45:00,-0.2039,0.0000,30.874,23.600,7.7,32.047,31.714,0.0722,0.00,31.9
16,2015-03-27 14:50:00,-0.2039,0.0000,30.900,23.700,7.8,31.842,31.484,0.0715,0.00,30.6
17,2015-03-27 14:55:00,-0.2039,0.0000,30.646,23.600,7.5,31.535,31.281,0.0708,0.00,29.4
18,2015-03-27 15:00:00,-0.2039,0.0000,30.495,22.800,6.9,31.204,31.052,0.0715,0.00,28.1
19,2015-03-27 15:05:00,-0.2039,0.0000,30.318,23.200,7.0,30.976,30.849,0.0708,0.00,26.9
20,2015-03-27 15:10:00,-0.2039,0.0000,30.192,23.000,6.8,30.748,30.646,0.0702,0.00,26.9
21,2015-03-27 15:15:00,-0.2039,0.0000,30.016,22.900,6.6,30.520,30.469,0.0708,0.00,25.6
22,2015-03-27 15:20:00,-0.2039,0.0000,29.615,23.200,6.4,30.217,30.268,0.0702,0.00,24.4
23,2015-03-27 15:25:00,-0.2039,0.0000,29.665,24.200,7.1,30.091,30.066,0.0695,0.00,23.1
24,2015-03-27 15:30:00,-0.2039,0.0000,29.439,24.500,7.1,29.916,29.916,0.0695,0.00,21.9
25,2015-03-27 15:35:00,-0.2039,0.0000,29.389,24.400,7.0,29.715,29.765,0.0695,0.00,20.6
26,2015-03-27 15:40:00,-0.2039,0.0000,29.290,25.000,7.2,29.540,29.590,0.0695,0.00,20.6
27,2015-03-27 15:45:00,-0.2039,0.0000,29.165,25.600,7.5,29.414,29.439,0.0695,0.00,19.4
28,2015-03-27 15:50:00,-0.2039,0.0000,28.667,26.000,7.3,29.140,29.290,0.0691,0.00,18.1
29,2015-03-27 15:55:00,-0.2039,0.0000,28.692,26.300,7.5,29.015,29.140,0.0691,0.00,18.1
30,2015-03-27 16:00:00,-0.2039,0.0000,28.717,25.700,7.2,28.866,28.990,0.0691,0.00,18.1
31,2015-03-27 16:05:00,-0.2039,0.0000,28.568,25.200,6.8,28.667,28.866,0.0684,0.00,18.1
32,2015-03-27 16:10:00,-0.2039,0.0000,28.593,24.600,6.4,28.518,28.717,0.0684,0.00,18.1
33,2015-03-27 16:15:00,-0.2039,0.0000,28.543,24.200,6.1,28.419,28.593,0.0684,0.00,18.1
34,2015-03-27 16:20:00,-0.2039,0.0000,28.419,24.100,6.0,28.221,28.468,0.0684,0.00,26.9
35,2015-03-27 16:25:00,-0.2039,0.0000,28.196,24.300,5.9,28.048,28.320,0.0684,0.00,13.1
36,2015-03-27 16:30:00,-0.2039,0.0000,27.875,24.800,5.9,27.875,28.196,0.0684,0.00,13.1
37,2015-03-27 16:35:00,-0.2039,0.0000,27.653,25.600,6.2,27.702,28.072,0.0678,0.00,51.9
38,2015-03-27 16:40:00,-0.2039,0.0000,27.653,25.500,6.1,27.579,27.949,0.0671,0.00,16.9
39,2015-03-27 16:45:00,-0.2039,0.0000,27.456,26.200,6.4,27.431,27.850,0.0671,0.00,10.6
40,2015-03-27 16:50:00,-0.2039,0.0000,27.235,26.800,6.5,27.284,27.727,0.0671,0.00,10.6
41,2015-03-27 16:55:00,-0.2039,0.0000,26.989,27.400,6.6,27.136,27.628,0.0671,0.00,9.4
42,2015-03-27 17:00:00,-0.2039,0.0000,26.769,27.800,6.7,26.965,27.505,0.0671,0.00,9.4
43,2015-03-27 17:05:00,-0.2039,0.0000,26.573,27.800,6.5,26.744,27.382,0.0671,0.00,8.1
44,2015-03-27 17:10:00,-0.2039,0.0000,26.524,28.000,6.5,26.646,27.259,0.0671,0.00,8.1
