Date Time	Solar Radiation (W/m²)  #10200137	Voltage (V)  #10200855	Current (mA)  #10200855	Wetness (%)  #10205905	Temp (°F)  #10213637	RH (%)  #10213637	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10222876	Batt (V) c:5
07/16/15 17:45:00.0	58.1	-0.2039	0.0000	0.00	73.688	68.000	78.033	77.509	0.1281	4.351
07/16/15 17:50:00.0	61.9	-0.2039	0.0000	0.00	73.904	68.200	77.945	77.464	0.1276	4.321
07/16/15 17:55:00.0	53.1	-0.2039	0.0000	0.00	73.515	68.000	77.859	77.421	0.1276	4.327
07/16/15 18:00:00.0	50.6	-0.2039	0.0000	0.00	73.126	69.100	77.815	77.378	0.1276	4.327
07/16/15 18:05:00.0	49.4	-0.2039	0.0000	0.00	73.213	69.000	77.727	77.335	0.1276	4.327
07/16/15 18:10:00.0	45.6	-0.2039	0.0000	0.00	73.040	69.100	77.639	77.247	0.1276	4.321
07/16/15 18:15:00.0	45.6	-0.2039	0.0000	0.00	72.480	70.100	77.596	77.203	0.1276	4.321
07/16/15 18:20:00.0	41.9	-0.2039	0.0000	0.00	72.307	70.600	77.509	77.160	0.1276	4.321
07/16/15 18:25:00.0	41.9	-0.2039	0.0000	0.00	72.394	70.200	77.421	77.117	0.1276	4.321
07/16/15 18:30:00.0	45.6	-0.2039	0.0000	0.00	72.093	70.900	77.335	77.072	0.1276	4.321
07/16/15 18:35:00.0	38.1	-0.2039	0.0000	0.00	72.264	70.800	77.292	76.986	0.1271	4.321
07/16/15 18:40:00.0	35.6	-0.2039	0.0000	0.00	72.178	70.900	77.203	76.942	0.1271	4.321
07/16/15 18:45:00.0	34.4	-0.2039	0.0000	0.00	71.791	71.900	77.160	76.899	0.1276	4.321
07/16/15 18:50:00.0	31.9	-0.2039	0.0000	0.00	71.447	72.600	77.072	76.854	0.1276	4.315
07/16/15 18:55:00.0	33.1	-0.2039	0.0000	0.00	71.274	72.900	77.029	76.811	0.1276	4.315
07/16/15 19:00:00.0	25.6	-0.2039	0.0000	0.00	70.887	73.900	76.986	76.768	0.1276	4.315
07/16/15 19:05:00.0	19.4	-0.2039	0.0000	0.00	70.459	74.600	76.899	76.725	0.1276	4.315
07/16/15 19:10:00.0	15.6	-0.2039	0.0000	0.00	70.029	75.700	76.854	76.636	0.1271	4.315
07/16/15 19:15:00.0	13.1	-0.2039	0.0000	0.00	69.771	76.100	76.768	76.593	0.1271	4.309
07/16/15 19:20:00.0	10.6	-0.2039	0.0000	0.59	69.557	76.900	76.681	76.550	0.1271	4.309
07/16/15 19:25:00.0	8.1	-0.2039	0.0000	1.18	69.343	77.400	76.636	76.507	0.1271	4.309
07/16/15 19:30:00.0	8.1	-0.2039	0.0000	1.76	69.129	77.700	76.550	76.419	0.1271	4.303
07/16/15 19:35:00.0	6.9	-0.2039	0.0000	1.76	68.999	78.300	76.507	76.375	0.1271	4.303
07/16/15 19:40:00.0	5.6	-0.2039	0.0000	2.94	68.742	78.700	76.419	76.332	0.1271	4.303
07/16/15 19:45:00.0	4.4	-0.2039	0.0000	3.53	68.400	79.300	76.375	76.289	0.1266	4.303
07/16/15 19:50:00.0	3.1	-0.2039	0.0000	5.29	68.185	79.900	76.289	76.246	0.1266	4.303
07/16/15 19:55:00.0	1.9	-0.2039	0.0000	7.06	67.885	80.500	76.203	76.158	0.1266	4.303
07/16/15 20:00:00.0	1.9	-0.2039	0.0000	9.41	67.671	81.000	76.158	76.114	0.1271	4.303
07/16/15 20:05:00.0	0.6	-0.2039	0.0000	18.24	67.500	81.600	76.071	76.071	0.1266	4.303
07/16/15 20:10:00.0	0.6	-0.2039	0.0000	33.53	67.242	82.200	76.028	76.028	0.1266	4.303
07/16/15 20:15:00.0	0.6	-0.2039	0.0000	57.06	67.071	83.200	75.942	75.942	0.1266	4.303
07/16/15 20:20:00.0	0.6	-0.2039	0.0000	64.71	66.814	83.500	75.898	75.898	0.1266	4.303
07/16/15 20:25:00.0	0.6	-0.2039	0.0000	63.53	66.729	83.800	75.810	75.853	0.1266	4.303
07/16/15 20:30:00.0	0.6	-0.2039	0.0000	59.41	66.643	83.900	75.767	75.810	0.1266	4.297
07/16/15 20:35:00.0	0.6	-0.2039	0.0000	72.94	66.515	83.900	75.681	75.767	0.1266	4.297
07/16/15 20:40:00.0	0.6	-0.2039	0.0000	68.82	66.429	84.300	75.637	75.681	0.1266	4.297
07/16/15 20:45:00.0	0.6	-0.2039	0.0000	83.53	66.214	84.400	75.594	75.637	0.1266	4.297
07/16/15 20:50:00.0	0.6	-0.2039	0.0000	92.35	66.087	84.800	75.508	75.594	0.1266	4.297
07/16/15 20:55:00.0	0.6	-0.2039	0.0000	100.00	65.916	85.400	75.463	75.551	0.1266	4.297
07/16/15 21:00:00.0	0.6	-0.2039	0.0000	100.00	65.788	86.200	75.376	75.508	0.1266	4.297
07/16/15 21:05:00.0	0.6	-0.2039	0.0000	100.00	65.788	86.600	75.333	75.420	0.1266	4.297
07/16/15 21:10:00.0	0.6	-0.2039	0.0000	100.00	65.701	87.100	75.290	75.376	0.1261	4.297
07/16/15 21:15:00.0	0.6	-0.2039	0.0000	100.00	65.745	87.400	75.204	75.333	0.1261	4.297
07/16/15 21:20:00.0	0.6	-0.2039	0.0000	100.00	65.615	87.300	75.160	75.290	0.1266	4.297
07/16/15 21:25:00.0	0.6	-0.2039	0.0000	100.00	65.444	87.700	75.117	75.247	0.1261	4.297
07/16/15 21:30:00.0	0.6	-0.2039	0.0000	100.00	65.359	87.700	75.074	75.204	0.1261	4.297
07/16/15 21:35:00.0	0.6	-0.2039	0.0000	100.00	65.359	88.000	75.029	75.160	0.1261	4.291
07/16/15 21:40:00.0	0.6	-0.2039	0.0000	100.00	65.273	88.600	74.986	75.117	0.1261	4.291
07/16/15 21:45:00.0	0.6	-0.2039	0.0000	100.00	65.188	88.500	74.899	75.074	0.1266	4.297
07/16/15 21:50:00.0	0.6	-0.2039	0.0000	100.00	65.102	88.800	74.856	75.029	0.1261	4.291
07/16/15 21:55:00.0	0.6	-0.2039	0.0000	100.00	65.059	89.000	74.813	74.986	0.1261	4.291
07/16/15 22:00:00.0	0.6	-0.2039	0.0000	100.00	64.931	89.100	74.770	74.943	0.1261	4.291
07/16/15 22:05:00.0	0.6	-0.2039	0.0000	100.00	64.888	89.400	74.727	74.899	0.1261	4.291
07/16/15 22:10:00.0	0.6	-0.2039	0.0000	100.00	64.974	89.500	74.683	74.856	0.1261	4.291
07/16/15 22:15:00.0	0.6	-0.2039	0.0000	100.00	64.974	89.400	74.640	74.813	0.1261	4.291
07/16/15 22:20:00.0	0.6	-0.2039	0.0000	100.00	64.803	89.600	74.597	74.770	0.1261	4.291
