Date Time	Voltage (V)  #10348620	Current (mA)  #10348620	Temp (°F)  #10359300	RH (%)  #10359300	Inside Temp (°F)	Outside Temp (°F)	Water Content (m³/m³)  #10374525	Wetness (%)  #10374902	Solar Radiation (W/m²)  #10375652	Batt (V) c:5
03/27/15 12:40:00.0	-0.2039	0.0000	94.467	16.200	68.099	65.403	0.0975	2.94	94.4	4.339
03/27/15 12:45:00.0	-0.2039	0.0000	94.039	16.700	68.956	65.788	0.0975	3.53	864.4	4.303
03/27/15 12:50:00.0	-0.2039	0.0000	94.514	17.000	69.858	66.301	0.0975	2.94	856.9	4.303
03/27/15 12:55:00.0	-0.2039	0.0000	95.423	16.500	70.803	66.814	0.0986	3.53	846.9	4.351
03/27/15 13:00:00.0	-0.2039	0.0000	95.806	16.500	71.748	67.413	0.0986	3.53	844.4	4.333
03/27/15 13:05:00.0	-0.2039	0.0000	97.990	15.600	72.739	68.056	0.0986	3.53	839.4	4.363
03/27/15 13:10:00.0	-0.2039	0.0000	96.822	15.400	73.688	68.698	0.0986	3.53	818.1	4.345
03/27/15 13:15:00.0	-0.2039	0.0000	97.599	15.800	74.467	69.343	0.0986	3.53	808.1	4.333
03/27/15 13:20:00.0	-0.2039	0.0000	95.616	17.300	75.160	69.942	0.0992	3.53	814.4	4.321
03/27/15 13:25:00.0	-0.2039	0.0000	96.240	17.000	75.810	70.543	0.0992	3.53	810.6	4.418
03/27/15 13:30:00.0	-0.2039	0.0000	96.289	17.500	76.375	71.103	0.0992	3.53	798.1	4.345
03/27/15 13:35:00.0	-0.2039	0.0000	95.040	17.900	76.899	71.577	0.0998	2.94	788.1	4.333
03/27/15 13:40:00.0	-0.2039	0.0000	95.423	19.300	77.292	72.007	0.0992	3.53	779.4	4.321
03/27/15 13:45:00.0	-0.2039	0.0000	95.423	19.600	77.684	72.394	0.0992	3.53	769.4	4.315
03/27/15 13:50:00.0	-0.2039	0.0000	95.806	19.200	78.076	72.739	0.0992	3.53	753.1	4.345
03/27/15 13:55:00.0	-0.2039	0.0000	93.801	21.200	78.427	73.126	0.0998	3.53	739.4	4.333
03/27/15 14:00:00.0	-0.2039	0.0000	95.806	21.000	78.690	73.429	0.0998	3.53	728.1	4.321
03/27/15 14:05:00.0	-0.2039	0.0000	95.279	17.900	78.953	73.688	0.0998	3.53	718.1	4.315
03/27/15 14:10:00.0	-0.2039	0.0000	92.057	19.500	79.216	73.990	0.0998	2.94	701.9	4.339
03/27/15 14:15:00.0	-0.2039	0.0000	93.423	20.700	79.392	74.250	0.0998	2.94	690.6	4.327
03/27/15 14:20:00.0	-0.2039	0.0000	94.800	21.300	79.524	74.467	0.0998	2.94	675.6	4.321
