Date Time	Voltage (V)  #10348624	Current (mA)  #10348624	Temp (°F)  #10359316	RH (%)  #10359316	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10374523	Wetness (%)  #10374905	Solar Radiation (W/m²)  #10375645	Batt (V) c:5
05/01/15 12:15:02.0	-0.2039	0.0000	88.671	24.000	91.449	90.657	0.3183	1.18	1,040.6	4.309
05/01/15 12:20:02.0	-0.1988	0.0000	87.802	24.900	91.123	90.379	0.3187	0.59	309.4	4.315
05/01/15 12:25:02.0	-0.1988	0.0000	88.214	25.900	90.844	90.100	0.3183	0.59	330.6	4.321
05/01/15 12:30:02.0	-0.1988	0.0000	87.073	27.600	90.194	89.546	0.3183	0.59	376.9	4.351
05/01/15 12:35:02.0	-0.2039	0.0000	87.573	23.900	89.407	88.902	0.3183	0.59	550.6	4.381
05/01/15 12:40:02.0	-0.2039	0.0000	87.436	26.700	88.671	88.214	0.3183	0.59	458.1	4.375
05/01/15 12:45:02.0	-0.2039	0.0000	88.351	27.000	88.030	87.665	0.3178	0.59	686.9	4.357
05/01/15 12:50:02.0	-0.2039	0.0000	88.075	25.300	87.573	87.210	0.3178	0.59	344.4	4.339
05/01/15 12:55:02.0	-0.2039	0.0000	87.710	25.900	87.073	86.799	0.3175	0.59	739.4	4.339
05/01/15 13:00:02.0	-0.1988	0.0000	87.210	24.600	86.617	86.346	0.3175	0.59	163.1	4.339
05/01/15 13:05:02.0	-0.2039	0.0000	87.710	24.600	86.211	85.984	0.3175	0.59	309.4	4.351
05/01/15 13:10:02.0	-0.2039	0.0000	88.122	23.900	85.802	85.622	0.3175	0.00	608.1	4.351
05/01/15 13:15:02.0	-0.1988	0.0000	87.894	24.700	85.487	85.307	0.3171	0.00	716.9	4.351
05/01/15 13:20:02.0	-0.2039	0.0000	88.075	24.100	85.172	85.035	0.3171	0.00	214.4	4.339
05/01/15 13:25:02.0	-0.2039	0.0000	87.620	22.800	84.812	84.677	0.3168	0.00	155.6	4.351
05/01/15 13:30:02.0	-0.2039	0.0000	87.939	23.100	84.452	84.362	0.3171	0.00	161.9	4.351
05/01/15 13:35:02.0	-0.2039	0.0000	88.902	22.100	84.137	84.094	0.3168	0.00	846.9	4.369
05/01/15 13:40:02.0	-0.1988	0.0000	88.947	23.500	83.869	83.824	0.3168	0.00	741.9	4.363
05/01/15 13:45:02.0	-0.2039	0.0000	88.902	23.600	83.601	83.556	0.3163	0.00	88.1	4.351
05/01/15 13:50:02.0	-0.2039	0.0000	87.939	23.600	83.332	83.287	0.3168	0.00	330.6	4.339
05/01/15 13:55:02.0	-0.1988	0.0000	88.488	23.100	83.064	83.064	0.3163	0.00	269.4	4.333
05/01/15 14:00:02.0	-0.1988	0.0000	87.118	20.100	82.753	82.753	0.3163	0.00	429.4	4.357
05/01/15 14:05:02.0	-0.2039	0.0000	88.396	20.000	82.441	82.441	0.3160	0.00	420.6	4.381
05/01/15 14:10:02.0	-0.2039	0.0000	87.710	21.100	82.130	82.175	0.3160	0.00	713.1	4.357
05/01/15 14:15:02.0	-0.2039	0.0000	88.443	20.900	81.819	81.864	0.3160	0.00	824.4	4.345
05/01/15 14:20:02.0	-0.2039	0.0000	88.030	19.800	81.554	81.597	0.3160	0.00	181.9	4.363
05/01/15 14:25:02.0	-0.2039	0.0000	89.085	20.200	81.333	81.376	0.3156	0.00	89.4	4.339
05/01/15 14:30:02.0	-0.2039	0.0000	85.622	22.800	81.023	81.111	0.3151	0.00	116.9	4.393
05/01/15 14:35:02.0	-0.2039	0.0000	86.709	21.600	80.713	80.802	0.3151	0.00	535.6	4.363
05/01/15 14:40:02.0	-0.2039	0.0000	87.163	20.800	80.492	80.580	0.3148	0.00	443.1	4.351
05/01/15 14:45:02.0	-0.2039	0.0000	86.799	21.700	80.227	80.316	0.3148	0.00	174.4	4.339
05/01/15 14:50:02.0	-0.2039	0.0000	86.211	22.200	80.008	80.096	0.3148	0.00	224.4	4.339
05/01/15 14:55:02.0	-0.1988	0.0000	85.487	22.900	79.788	79.876	0.3148	0.00	329.4	4.357
