"#","Date Time, GMT-07:00","Wetness, % (LGR S/N: 10374971, SEN S/N: 10205904)","Solar Radiation, W/m² (LGR S/N: 10374971, SEN S/N: 10208649)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10213738, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10222767, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374971, SEN S/N: 10222870)","Voltage, V (LGR S/N: 10374971, SEN S/N: 10348616)","Current, mA (LGR S/N: 10374971, SEN S/N: 10348616)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10359304)","RH, % (LGR S/N: 10374971, SEN S/N: 10359304)","DewPt, °C (LGR S/N: 10374971, SEN S/N: 10359304)","Batt, V (LGR S/N: 10374971)"
1,2014-08-30 10:45:00,2.35,10.6,21.557,21.581,0.1475,-0.1988,0.0000,25.987,61.100,17.9,4.273
2,2014-08-30 10:50:00,2.35,11.9,21.604,21.604,0.1475,-0.1988,0.0000,26.134,61.100,18.1,4.285
3,2014-08-30 10:55:00,1.76,11.9,21.628,21.628,0.1475,-0.1988,0.0000,26.158,59.000,17.5,4.291
4,2014-08-30 11:00:00,2.35,11.9,21.676,21.652,0.1475,-0.1988,0.0000,26.280,59.100,17.7,4.291
5,2014-08-30 11:05:00,1.76,13.1,21.700,21.676,0.1475,-0.1988,0.0000,26.671,57.500,17.6,4.297
6,2014-08-30 11:10:00,1.76,13.1,21.748,21.700,0.1475,-0.1988,0.0000,26.916,56.800,17.6,4.303
7,2014-08-30 11:15:00,1.76,13.1,21.772,21.724,0.1475,-0.1988,0.0000,26.891,56.300,17.5,4.303
8,2014-08-30 11:20:00,1.76,13.1,21.795,21.748,0.1475,-0.1988,0.0000,27.308,55.700,17.7,4.309
9,2014-08-30 11:25:00,1.76,13.1,21.843,21.772,0.1475,-0.1988,0.0000,27.628,54.400,17.6,4.309
10,2014-08-30 11:30:00,1.76,14.4,21.891,21.795,0.1475,-0.1988,0.0000,28.147,52.900,17.7,4.315
11,2014-08-30 11:35:00,1.76,14.4,21.915,21.819,0.1479,-0.1988,0.0000,28.667,51.600,17.7,4.321
12,2014-08-30 11:40:00,1.18,14.4,21.963,21.843,0.1479,-0.1988,0.0000,28.941,50.300,17.6,4.321
13,2014-08-30 11:45:00,1.18,15.6,22.034,21.867,0.1475,-0.1988,0.0000,28.791,50.600,17.5,4.321
14,2014-08-30 11:50:00,1.18,15.6,22.106,21.891,0.1479,-0.1988,0.0000,28.891,48.900,17.1,4.321
15,2014-08-30 11:55:00,1.18,16.9,22.202,21.939,0.1479,-0.1988,0.0000,28.941,48.500,17.0,4.321
16,2014-08-30 12:00:00,1.18,16.9,22.274,21.987,0.1479,-0.1988,0.0000,29.165,47.500,16.9,4.321
17,2014-08-30 12:05:00,1.18,18.1,22.345,22.011,0.1479,-0.1988,0.0000,29.464,47.500,17.2,4.321
18,2014-08-30 12:10:00,0.59,18.1,22.417,22.058,0.1479,-0.1988,0.0000,29.590,46.000,16.8,4.321
19,2014-08-30 12:15:00,0.59,18.1,22.465,22.106,0.1479,-0.1988,0.0000,29.715,45.700,16.8,4.321
20,2014-08-30 12:20:00,0.59,19.4,22.561,22.154,0.1479,-0.1988,0.0000,29.865,45.900,17.0,4.309
21,2014-08-30 12:25:00,0.59,19.4,22.657,22.202,0.1479,-0.1988,0.0000,30.041,44.300,16.6,4.321
22,2014-08-30 12:30:00,0.59,19.4,22.729,22.250,0.1479,-0.1988,0.0000,30.268,44.800,17.0,4.321
23,2014-08-30 12:35:00,0.59,20.6,22.848,22.298,0.1479,-0.1988,0.0000,30.646,43.500,16.8,4.321
24,2014-08-30 12:40:00,0.00,19.4,22.944,22.369,0.1484,-0.1988,0.0000,31.128,43.300,17.2,4.315
25,2014-08-30 12:45:00,0.00,19.4,23.064,22.441,0.1484,-0.1988,0.0000,31.408,42.200,17.0,4.315
26,2014-08-30 12:50:00,0.00,20.6,23.208,22.513,0.1484,-0.1988,0.0000,31.637,40.600,16.6,4.321
27,2014-08-30 12:55:00,0.00,23.1,23.352,22.585,0.1484,-0.1988,0.0000,32.021,38.500,16.1,4.333
28,2014-08-30 13:00:00,0.00,20.6,23.472,22.657,0.1484,-0.1988,0.0000,32.201,36.800,15.6,4.321
29,2014-08-30 13:05:00,0.00,20.6,23.593,22.753,0.1490,-0.1988,0.0000,32.355,37.100,15.9,4.321
30,2014-08-30 13:10:00,0.00,20.6,23.665,22.824,0.1490,-0.1988,0.0000,32.355,37.300,15.9,4.303
31,2014-08-30 13:15:00,0.00,21.9,23.737,22.896,0.1490,-0.1937,0.0000,32.536,37.000,16.0,4.321
32,2014-08-30 13:20:00,0.00,21.9,23.833,22.968,0.1490,-0.1988,0.0000,32.639,36.100,15.7,4.327
33,2014-08-30 13:25:00,0.00,21.9,23.978,23.040,0.1490,-0.1988,0.0000,33.079,35.400,15.8,4.321
34,2014-08-30 13:30:00,0.00,21.9,24.171,23.136,0.1495,-0.1988,0.0000,33.469,35.000,15.9,4.315
35,2014-08-30 13:35:00,0.00,21.9,24.412,23.232,0.1495,-0.1988,0.0000,33.131,40.300,17.9,4.303
36,2014-08-30 13:40:00,0.00,21.9,24.677,23.328,0.1495,-0.1988,0.0000,33.521,39.200,17.8,4.309
37,2014-08-30 13:45:00,0.00,35.6,24.968,23.472,0.1499,-0.1988,0.0000,33.391,41.800,18.7,4.321
38,2014-08-30 13:50:00,0.00,23.1,25.258,23.617,0.1499,-0.1988,0.0000,32.820,43.000,18.6,4.327
39,2014-08-30 13:55:00,0.00,25.6,25.404,23.785,0.1503,-0.1988,0.0000,32.304,45.800,19.2,4.321
40,2014-08-30 14:00:00,0.00,21.9,25.525,23.930,0.1503,-0.1988,0.0000,32.587,45.100,19.2,4.309
41,2014-08-30 14:05:00,0.00,151.9,25.598,24.074,0.1503,-0.1988,0.0000,32.536,44.900,19.0,4.303
42,2014-08-30 14:10:00,0.00,21.9,25.623,24.195,0.1508,-0.1988,0.0000,32.717,44.800,19.2,4.321
43,2014-08-30 14:15:00,0.00,20.6,25.647,24.291,0.1508,-0.1988,0.0000,32.150,45.800,19.0,4.321
44,2014-08-30 14:20:00,0.00,20.6,25.647,24.363,0.1508,-0.1988,0.0000,32.021,46.000,19.0,4.327
45,2014-08-30 14:25:00,0.00,19.4,25.647,24.436,0.1508,-0.1988,0.0000,32.021,45.600,18.8,4.321
46,2014-08-30 14:30:00,0.00,19.4,25.647,24.508,0.1508,-0.1988,0.0000,32.098,45.400,18.8,4.309
47,2014-08-30 14:35:00,0.00,19.4,25.647,24.557,0.1508,-0.1988,0.0000,32.124,44.500,18.5,4.303
48,2014-08-30 14:40:00,0.00,19.4,25.623,24.581,0.1508,-0.1988,0.0000,31.612,45.700,18.5,4.321
49,2014-08-30 14:45:00,0.00,19.4,25.623,24.629,0.1508,-0.1988,0.0000,31.791,45.100,18.4,4.321
50,2014-08-30 14:50:00,0.00,18.1,25.598,24.653,0.1508,-0.1988,0.0000,31.535,45.200,18.2,4.321
51,2014-08-30 14:55:00,0.00,19.4,25.598,24.677,0.1508,-0.1988,0.0000,31.357,45.400,18.2,4.315
52,2014-08-30 15:00:00,0.00,19.4,25.574,24.702,0.1508,-0.1988,0.0000,31.179,45.300,18.0,4.309
53,2014-08-30 15:05:00,0.00,19.4,25.550,24.726,0.1508,-0.1988,0.0000,31.230,45.700,18.1,4.321
54,2014-08-30 15:10:00,0.00,19.4,25.525,24.726,0.1508,-0.1988,0.0000,31.433,44.900,18.0,4.327
55,2014-08-30 15:15:00,0.00,19.4,25.501,24.750,0.1508,-0.1988,0.0000,31.535,44.400,18.0,4.339
56,2014-08-30 15:20:00,0.00,20.6,25.501,24.750,0.1508,-0.1988,0.0000,31.663,42.600,17.4,4.315
57,2014-08-30 15:25:00,0.00,41.9,25.477,24.750,0.1508,-0.1988,0.0000,31.612,43.200,17.6,4.309
58,2014-08-30 15:30:00,0.00,29.4,25.477,24.774,0.1508,-0.1988,0.0000,31.382,41.900,16.9,4.321
59,2014-08-30 15:35:00,0.00,21.9,25.453,24.774,0.1508,-0.1988,0.0000,31.816,41.600,17.2,4.333
60,2014-08-30 15:40:00,0.00,21.9,25.453,24.774,0.1508,-0.1988,0.0000,31.637,38.800,15.9,4.321
61,2014-08-30 15:45:00,0.00,21.9,25.428,24.774,0.1508,-0.1988,0.0000,31.459,40.900,16.6,4.315
62,2014-08-30 15:50:00,0.00,21.9,25.428,24.798,0.1503,-0.1988,0.0000,31.740,41.900,17.2,4.309
63,2014-08-30 15:55:00,0.00,79.4,25.404,24.798,0.1508,-0.1988,0.0000,31.281,42.900,17.2,4.315
64,2014-08-30 16:00:00,0.00,43.1,25.404,24.798,0.1503,-0.1988,0.0000,31.408,42.000,17.0,4.333
65,2014-08-30 16:05:00,0.00,163.1,25.380,24.798,0.1503,-0.1988,0.0000,31.230,38.500,15.4,4.321
66,2014-08-30 16:10:00,0.00,141.9,25.355,24.798,0.1503,-0.1988,0.0000,31.357,38.600,15.6,4.315
67,2014-08-30 16:15:00,0.00,141.9,25.355,24.798,0.1503,-0.1988,0.0000,31.561,41.400,16.9,4.315
68,2014-08-30 16:20:00,0.00,343.1,25.331,24.798,0.1503,-0.1988,0.0000,31.689,40.700,16.7,4.309
69,2014-08-30 16:25:00,0.00,33.1,25.331,24.798,0.1503,-0.1937,0.0000,31.179,40.000,16.0,4.333
70,2014-08-30 16:30:00,0.00,26.9,25.331,24.798,0.1503,-0.1988,0.0000,31.026,40.700,16.1,4.321
71,2014-08-30 16:35:00,0.00,28.1,25.331,24.823,0.1503,-0.1988,0.0000,31.128,40.700,16.2,4.315
72,2014-08-30 16:40:00,0.00,23.1,25.331,24.823,0.1503,-0.1988,0.0000,31.001,42.800,16.9,4.309
73,2014-08-30 16:45:00,0.00,23.1,25.355,24.823,0.1503,-0.1988,0.0000,30.950,41.000,16.2,4.315
74,2014-08-30 16:50:00,0.00,21.9,25.404,24.823,0.1503,-0.1988,0.0000,30.824,44.200,17.3,4.327
75,2014-08-30 16:55:00,0.00,29.4,25.501,24.847,0.1503,-0.1988,0.0000,30.824,43.800,17.1,4.321
76,2014-08-30 17:00:00,0.00,44.4,25.550,24.871,0.1503,-0.1988,0.0000,30.268,45.300,17.1,4.321
77,2014-08-30 17:05:00,0.00,19.4,25.623,24.895,0.1503,-0.1988,0.0000,30.217,45.100,17.0,4.315
78,2014-08-30 17:10:00,0.00,46.9,25.647,24.944,0.1503,-0.1988,0.0000,30.142,45.100,17.0,4.321
79,2014-08-30 17:15:00,0.00,65.6,25.647,24.968,0.1503,-0.1988,0.0000,30.596,44.800,17.3,4.321
80,2014-08-30 17:20:00,0.00,181.9,25.623,24.968,0.1503,-0.1988,0.0000,31.689,43.300,17.7,4.321
81,2014-08-30 17:25:00,0.00,100.6,25.623,24.992,0.1503,-0.1988,0.0000,31.204,43.200,17.2,4.315
82,2014-08-30 17:30:00,0.00,21.9,25.598,24.992,0.1503,-0.1988,0.0000,29.765,46.700,17.2,4.309
83,2014-08-30 17:35:00,0.00,89.4,25.550,24.992,0.1503,-0.1988,0.0000,29.464,47.600,17.2,4.321
84,2014-08-30 17:40:00,0.00,20.6,25.525,25.016,0.1503,-0.1988,0.0000,29.590,46.600,17.0,4.339
85,2014-08-30 17:45:00,0.00,18.1,25.501,25.016,0.1503,-0.1988,0.0000,29.290,44.100,15.8,4.321
86,2014-08-30 17:50:00,0.59,15.6,25.477,24.992,0.1503,-0.1988,0.0000,28.916,47.600,16.7,4.315
87,2014-08-30 17:55:00,0.59,14.4,25.453,24.992,0.1503,-0.1988,0.0000,29.065,47.500,16.8,4.315
88,2014-08-30 18:00:00,0.59,13.1,25.404,24.992,0.1503,-0.1988,0.0000,28.941,46.200,16.2,4.315
89,2014-08-30 18:05:00,0.59,13.1,25.380,24.968,0.1503,-0.1988,0.0000,28.766,46.600,16.2,4.321
90,2014-08-30 18:10:00,0.59,13.1,25.355,24.968,0.1503,-0.1988,0.0000,28.493,46.900,16.1,4.321
