"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10214684, SEN S/N: 10200132)","Voltage, V (LGR S/N: 10214684, SEN S/N: 10200844)","Current, mA (LGR S/N: 10214684, SEN S/N: 10200844)","Wetness, % (LGR S/N: 10214684, SEN S/N: 10205907)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10213739, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10222768, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10359305)","RH, % (LGR S/N: 10214684, SEN S/N: 10359305)","DewPt, °C (LGR S/N: 10214684, SEN S/N: 10359305)","Water Content, m³/m³ (LGR S/N: 10214684, SEN S/N: 10465840)","Batt, V (LGR S/N: 10214684)"
1,2014-05-16 13:35:00,891.9,-0.2039,0.0000,1.18,32.949,44.012,33.914,24.900,11.1,0.0822,4.339
2,2014-05-16 13:40:00,890.6,-0.2039,0.0000,1.18,32.924,43.465,33.914,24.600,10.9,0.0829,4.333
3,2014-05-16 13:45:00,885.6,-0.2039,0.0000,1.76,32.872,42.893,34.387,24.400,11.2,0.0822,4.333
4,2014-05-16 13:50:00,879.4,-0.2039,0.0000,1.76,32.768,42.119,34.730,23.400,10.8,0.0816,4.327
5,2014-05-16 13:55:00,876.9,-0.2039,0.0000,1.18,32.639,41.327,34.176,22.900,10.0,0.0810,4.387
6,2014-05-16 14:00:00,864.4,-0.2039,0.0000,1.18,32.458,40.544,34.810,23.000,10.6,0.0803,4.357
7,2014-05-16 14:05:00,865.6,-0.2039,0.0000,1.18,32.253,39.800,34.387,22.900,10.2,0.0797,4.345
8,2014-05-16 14:10:00,863.1,-0.2039,0.0000,1.18,32.073,39.149,34.704,22.000,9.9,0.0794,4.339
9,2014-05-16 14:15:00,858.1,-0.2039,0.0000,1.18,31.868,38.532,34.334,21.300,9.1,0.0787,4.333
10,2014-05-16 14:20:00,834.4,-0.2039,0.0000,1.18,31.663,38.004,33.809,22.500,9.5,0.0781,4.327
11,2014-05-16 14:25:00,805.6,-0.2039,0.0000,1.18,31.484,37.673,34.019,22.100,9.4,0.0775,4.321
12,2014-05-16 14:30:00,814.4,-0.2039,0.0000,1.18,31.306,37.645,34.150,19.800,7.9,0.0768,4.393
13,2014-05-16 14:35:00,806.9,-0.2039,0.0000,1.18,31.204,37.893,34.624,20.500,8.8,0.0768,4.357
14,2014-05-16 14:40:00,779.4,-0.2039,0.0000,1.76,31.103,38.282,35.743,20.500,9.7,0.0762,4.345
15,2014-05-16 14:45:00,780.6,-0.2039,0.0000,1.76,31.052,38.728,35.958,19.400,9.0,0.0762,4.339
16,2014-05-16 14:50:00,781.9,-0.2039,0.0000,1.18,31.026,39.205,35.582,18.900,8.3,0.0762,4.333
17,2014-05-16 14:55:00,761.9,-0.2039,0.0000,1.18,31.001,39.658,35.395,19.600,8.7,0.0762,4.333
18,2014-05-16 15:00:00,741.9,-0.2039,0.0000,1.18,30.976,40.000,35.422,19.500,8.7,0.0762,4.327
19,2014-05-16 15:05:00,748.1,-0.2039,0.0000,1.18,30.950,40.142,34.730,19.700,8.3,0.0762,4.321
20,2014-05-16 15:10:00,736.9,-0.2039,0.0000,0.59,30.925,40.085,33.079,20.400,7.4,0.0762,4.375
21,2014-05-16 15:15:00,725.6,-0.2039,0.0000,0.59,30.900,39.886,33.001,20.000,7.1,0.0758,4.357
22,2014-05-16 15:20:00,714.4,-0.2039,0.0000,0.59,30.874,39.800,32.124,21.100,7.1,0.0762,4.339
23,2014-05-16 15:25:00,699.4,-0.2039,0.0000,0.59,30.849,39.800,32.872,20.600,7.4,0.0762,4.339
