"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214687, SEN S/N: 10200843)","Current, mA (LGR S/N: 10214687, SEN S/N: 10200843)","Temp, °C (LGR S/N: 10214687, SEN S/N: 10359301)","RH, % (LGR S/N: 10214687, SEN S/N: 10359301)","DewPt, °C (LGR S/N: 10214687, SEN S/N: 10359301)","Temp, °C (LGR S/N: 10214687, SEN S/N: 10365586, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214687, SEN S/N: 10365596, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10214687, SEN S/N: 10374513)","Wetness, % (LGR S/N: 10214687, SEN S/N: 10374916)","Solar Radiation, W/m² (LGR S/N: 10214687, SEN S/N: 10378947)","Batt, V (LGR S/N: 10214687)"
1,2013-12-13 14:00:00,-0.2039,0.0000,19.056,46.200,7.2,20.365,21.270,-0.0303,0.59,266.9,4.043
2,2013-12-13 14:05:00,-0.2039,0.0000,19.056,47.400,7.6,20.174,21.366,-0.0316,0.59,390.6,4.049
3,2013-12-13 14:10:00,-0.2039,0.0000,19.199,49.200,8.3,20.007,21.533,-0.0316,0.59,380.6,4.049
4,2013-12-13 14:15:00,-0.2039,0.0000,18.057,51.500,7.9,19.888,21.604,-0.0323,0.59,91.9,4.056
5,2013-12-13 14:20:00,-0.2039,0.0000,17.653,53.200,8.0,19.793,21.437,-0.0323,0.59,134.4,4.056
6,2013-12-13 14:25:00,-0.2039,0.0000,17.819,53.700,8.3,19.722,21.246,-0.0316,0.59,226.9,4.062
7,2013-12-13 14:30:00,-0.2039,0.0000,17.986,52.800,8.2,19.651,21.103,-0.0323,0.59,85.6,4.074
8,2013-12-13 14:35:00,-0.2039,0.0000,17.867,52.900,8.1,19.603,20.984,-0.0323,0.00,124.4,4.080
9,2013-12-13 14:40:00,-0.2039,0.0000,17.796,53.500,8.2,19.532,20.793,-0.0323,0.00,309.4,4.080
10,2013-12-13 14:45:00,-0.2039,0.0000,18.010,54.200,8.6,19.460,20.650,-0.0323,0.59,223.1,4.092
11,2013-12-13 14:50:00,-0.2039,0.0000,17.701,53.000,8.0,19.413,20.531,-0.0323,0.00,98.1,4.092
12,2013-12-13 14:55:00,-0.2039,0.0000,17.510,53.600,8.0,19.341,20.388,-0.0323,0.59,129.4,4.092
13,2013-12-13 15:00:00,-0.2039,0.0000,17.439,54.300,8.1,19.270,20.269,-0.0323,0.59,81.9,4.080
14,2013-12-13 15:05:00,-0.2039,0.0000,17.439,54.600,8.2,19.222,20.174,-0.0323,0.00,118.1,4.080
15,2013-12-13 15:10:00,-0.2039,0.0000,17.225,54.900,8.1,19.151,20.079,-0.0323,0.00,153.1,4.086
16,2013-12-13 15:15:00,-0.2039,0.0000,17.106,54.900,8.0,19.080,19.960,-0.0323,0.59,70.6,4.080
17,2013-12-13 15:20:00,-0.2039,0.0000,16.939,55.700,8.0,19.032,19.770,-0.0323,0.00,90.6,4.080
18,2013-12-13 15:25:00,-0.2039,0.0000,16.844,56.100,8.1,18.985,19.627,-0.0323,0.00,69.4,4.074
19,2013-12-13 15:30:00,-0.2039,0.0000,16.796,56.400,8.1,18.913,19.484,-0.0323,0.00,130.6,4.074
20,2013-12-13 15:35:00,-0.2039,0.0000,16.820,56.900,8.2,18.842,19.341,-0.0323,0.00,60.6,4.074
21,2013-12-13 15:40:00,-0.2039,0.0000,16.725,57.500,8.3,18.794,19.246,-0.0323,0.00,84.4,4.074
22,2013-12-13 15:45:00,-0.2039,0.0000,16.487,58.200,8.3,18.747,19.151,-0.0323,0.00,60.6,4.074
23,2013-12-13 15:50:00,-0.2039,0.0000,16.153,59.900,8.4,18.699,19.008,-0.0323,0.00,50.6,4.074
24,2013-12-13 15:55:00,-0.2039,0.0000,15.915,60.600,8.3,18.652,18.866,-0.0323,0.59,66.9,4.074
25,2013-12-13 16:00:00,-0.2039,0.0000,15.748,61.800,8.5,18.604,18.699,-0.0329,0.00,85.6,4.074
26,2013-12-13 16:05:00,-0.2039,0.0000,15.533,62.300,8.4,18.533,18.557,-0.0323,0.59,44.4,4.074
27,2013-12-13 16:10:00,-0.2039,0.0000,15.175,63.400,8.3,18.461,18.390,-0.0323,0.59,28.1,4.074
28,2013-12-13 16:15:00,-0.2039,0.0000,14.960,64.300,8.3,18.414,18.200,-0.0323,0.59,18.1,4.074
29,2013-12-13 16:20:00,-0.2039,0.0000,14.816,64.600,8.2,18.366,18.033,-0.0323,0.59,11.9,4.074
30,2013-12-13 16:25:00,-0.2039,0.0000,14.673,64.500,8.1,18.295,17.843,-0.0323,0.59,8.1,4.068
31,2013-12-13 16:30:00,-0.2039,0.0000,14.529,63.700,7.7,18.224,17.653,-0.0329,0.59,5.6,4.074
32,2013-12-13 16:35:00,-0.2039,0.0000,14.385,62.800,7.4,18.176,17.463,-0.0323,0.59,4.4,4.068
33,2013-12-13 16:40:00,-0.2039,0.0000,14.218,62.800,7.2,18.081,17.296,-0.0323,0.59,1.9,4.068
34,2013-12-13 16:45:00,-0.2039,0.0000,14.122,62.700,7.1,18.033,17.130,-0.0329,0.59,0.6,4.068
35,2013-12-13 16:50:00,-0.2039,0.0000,14.050,62.500,7.0,17.962,16.987,-0.0323,0.59,0.6,4.068
36,2013-12-13 16:55:00,-0.2039,0.0000,13.978,62.600,7.0,17.891,16.844,-0.0323,0.59,0.6,4.068
37,2013-12-13 17:00:00,-0.2039,0.0000,13.858,63.900,7.2,17.819,16.701,-0.0329,0.59,0.6,4.068
38,2013-12-13 17:05:00,-0.2039,0.0000,13.810,64.200,7.2,17.748,16.582,-0.0323,0.59,0.6,4.068
