Date Time	Temp (°F)  #10359299	RH (%)  #10359299	Voltage (V)  #10363574	Current (mA)  #10363574	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10374526	Wetness (%)  #10374914	Solar Radiation (W/m²)  #10378952	Batt (V) c:5
06/12/15 11:50:00.0	68.142	81.300	-0.2039	0.0000	72.523	70.543	0.1101	1.76	269.4	4.339
06/12/15 11:55:00.0	68.571	80.700	-0.2039	0.0000	72.696	70.673	0.1096	1.76	280.6	4.333
06/12/15 12:00:00.0	68.571	81.100	-0.2039	0.0000	72.912	70.803	0.1101	1.76	291.9	4.333
06/12/15 12:05:00.0	68.828	80.000	-0.2039	0.0000	73.083	70.974	0.1096	1.76	345.6	4.327
06/12/15 12:10:00.0	69.427	81.100	-0.2039	0.0000	73.299	71.103	0.1096	1.18	424.4	4.321
06/12/15 12:15:00.0	70.372	79.000	-0.2039	0.0000	73.602	71.231	0.1101	1.76	476.9	4.375
06/12/15 12:20:00.0	69.814	78.800	-0.2039	0.0000	74.034	71.404	0.1101	1.18	386.9	4.333
06/12/15 12:25:00.0	69.557	79.200	-0.2039	0.0000	74.511	71.577	0.1107	1.18	389.4	4.327
06/12/15 12:30:00.0	70.329	79.800	-0.2039	0.0000	74.856	71.791	0.1101	1.76	433.1	4.321
06/12/15 12:35:00.0	70.158	78.700	-0.2039	0.0000	75.204	71.964	0.1107	1.18	171.9	4.321
06/12/15 12:40:00.0	69.814	79.000	-0.2039	0.0000	75.508	72.178	0.1101	1.18	288.1	4.339
06/12/15 12:45:00.0	70.115	78.500	-0.2039	0.0000	75.767	72.394	0.1107	0.59	199.4	4.333
06/12/15 12:50:00.0	69.600	79.500	-0.2039	0.0000	75.942	72.610	0.1101	1.18	433.1	4.333
06/12/15 12:55:00.0	69.814	78.600	-0.2039	0.0000	76.071	72.783	0.1101	1.76	288.1	4.327
06/12/15 13:00:00.0	70.286	78.000	-0.2039	0.0000	76.246	72.955	0.1101	1.76	504.4	4.321
06/12/15 13:05:00.0	69.771	78.500	-0.2039	0.0000	76.419	73.126	0.1101	0.59	210.6	4.333
06/12/15 13:10:00.0	70.543	78.900	-0.2039	0.0000	76.636	73.299	0.1107	1.18	620.6	4.333
06/12/15 13:15:00.0	70.329	78.100	-0.2039	0.0000	76.854	73.472	0.1101	1.18	218.1	4.345
06/12/15 13:20:00.0	71.017	77.600	-0.2039	0.0000	77.160	73.645	0.1101	1.18	215.6	4.327
06/12/15 13:25:00.0	70.543	77.400	-0.2039	0.0000	77.378	73.818	0.1107	1.18	256.9	4.333
06/12/15 13:30:00.0	69.901	78.000	-0.2039	0.0000	77.464	73.990	0.1107	1.18	221.9	4.327
06/12/15 13:35:00.0	70.416	78.100	-0.2039	0.0000	77.553	74.163	0.1107	1.18	269.4	4.321
06/12/15 13:40:00.0	71.274	77.600	-0.2039	0.0000	77.553	74.295	0.1107	1.18	659.4	4.333
06/12/15 13:45:00.0	71.060	77.200	-0.2039	0.0000	77.684	74.424	0.1107	1.18	244.4	4.351
06/12/15 13:50:00.0	70.243	78.000	-0.2039	0.0000	77.945	74.554	0.1107	1.18	395.6	4.327
06/12/15 13:55:00.0	71.190	76.500	-0.2039	0.0000	78.165	74.683	0.1107	1.18	489.4	4.321
06/12/15 14:00:00.0	71.920	74.900	-0.2039	0.0000	78.382	74.856	0.1107	1.18	225.6	4.357
06/12/15 14:05:00.0	70.716	75.800	-0.2039	0.0000	78.822	74.986	0.1107	1.18	220.6	4.345
06/12/15 14:10:00.0	70.502	77.000	-0.2039	0.0000	79.084	75.204	0.1107	1.18	363.1	4.339
06/12/15 14:15:00.0	71.017	76.400	-0.2039	0.0000	79.128	75.376	0.1107	1.18	234.4	4.339
06/12/15 14:20:00.0	70.974	76.500	-0.2039	0.0000	79.216	75.551	0.1107	1.18	250.6	4.333
06/12/15 14:25:00.0	71.620	76.200	-0.2039	0.0000	79.216	75.681	0.1107	1.18	280.6	4.333
06/12/15 14:30:00.0	71.231	75.700	-0.2039	0.0000	79.347	75.810	0.1112	1.18	229.4	4.321
06/12/15 14:35:00.0	71.146	75.700	-0.2039	0.0000	79.480	75.985	0.1107	1.18	260.6	4.393
06/12/15 14:40:00.0	71.490	74.900	-0.2039	0.0000	79.524	76.071	0.1107	1.18	191.9	4.333
06/12/15 14:45:00.0	72.696	75.400	-0.2039	0.0000	79.612	76.203	0.1107	1.18	438.1	4.327
06/12/15 14:50:00.0	72.826	72.400	-0.2039	0.0000	79.700	76.332	0.1112	0.59	339.4	4.321
06/12/15 14:55:00.0	72.997	73.600	-0.2039	0.0000	79.963	76.464	0.1112	1.18	346.9	4.387
06/12/15 15:00:00.0	72.178	73.000	-0.2039	0.0000	80.184	76.593	0.1112	1.18	249.4	4.339
06/12/15 15:05:00.0	72.610	74.000	-0.2039	0.0000	80.272	76.725	0.1112	1.18	295.6	4.333
06/12/15 15:10:00.0	73.947	72.800	-0.2039	0.0000	80.272	76.899	0.1112	1.18	305.6	4.357
06/12/15 15:15:00.0	73.731	71.500	-0.2039	0.0000	80.227	76.986	0.1112	1.76	555.6	4.321
06/12/15 15:20:00.0	73.386	71.000	-0.2039	0.0000	80.184	77.117	0.1112	0.59	561.9	4.400
06/12/15 15:25:00.0	74.554	71.300	-0.2039	0.0000	80.096	77.203	0.1112	1.18	541.9	4.339
06/12/15 15:30:00.0	74.163	70.400	-0.2039	0.0000	80.008	77.247	0.1112	1.18	703.1	4.333
06/12/15 15:35:00.0	74.250	69.600	-0.2039	0.0000	79.920	77.335	0.1112	1.18	525.6	4.327
06/12/15 15:40:00.0	74.813	69.500	-0.2039	0.0000	79.831	77.335	0.1112	1.18	610.6	4.321
06/12/15 15:45:00.0	73.602	70.300	-0.2039	0.0000	79.700	77.378	0.1112	1.18	713.1	4.321
06/12/15 15:50:00.0	74.554	68.000	-0.2039	0.0000	79.612	77.378	0.1117	0.59	221.9	4.327
06/12/15 15:55:00.0	73.774	70.000	-0.2039	0.0000	79.480	77.421	0.1112	1.18	743.1	4.333
06/12/15 16:00:00.0	72.955	71.100	-0.2039	0.0000	79.392	77.378	0.1112	0.59	153.1	4.327
06/12/15 16:05:00.0	73.040	70.900	-0.2039	0.0000	79.347	77.378	0.1117	0.59	134.4	4.321
06/12/15 16:10:00.0	73.126	71.200	-0.2039	0.0000	79.216	77.378	0.1117	0.59	625.6	4.333
06/12/15 16:15:00.0	74.727	69.200	-0.2039	0.0000	79.084	77.378	0.1112	1.18	576.9	4.339
06/12/15 16:20:00.0	75.290	68.700	-0.2039	0.0000	78.953	77.335	0.1112	1.18	395.6	4.333
06/12/15 16:25:00.0	74.813	66.900	-0.2039	0.0000	78.777	77.292	0.1112	1.18	204.4	4.327
06/12/15 16:30:00.0	74.250	68.700	-0.2039	0.0000	78.645	77.292	0.1117	1.18	425.6	4.321
06/12/15 16:35:00.0	74.338	68.300	-0.2039	0.0000	78.471	77.247	0.1112	1.18	373.1	4.321
06/12/15 16:40:00.0	74.338	68.600	-0.2039	0.0000	78.296	77.160	0.1112	1.18	119.4	4.333
06/12/15 16:45:00.0	73.515	68.600	-0.2039	0.0000	78.121	77.117	0.1117	0.59	94.4	4.327
06/12/15 16:50:00.0	73.515	69.500	-0.2039	0.0000	77.990	77.029	0.1117	0.59	86.9	4.321
06/12/15 16:55:00.0	72.783	69.400	-0.2039	0.0000	77.815	76.986	0.1117	0.59	81.9	4.321
06/12/15 17:00:00.0	72.739	70.500	-0.2039	0.0000	77.639	76.899	0.1117	0.59	75.6	4.333
06/12/15 17:05:00.0	73.213	68.700	-0.2039	0.0000	77.464	76.811	0.1117	0.59	74.4	4.333
06/12/15 17:10:00.0	71.964	70.200	-0.2039	0.0000	77.292	76.768	0.1117	0.59	73.1	4.339
06/12/15 17:15:00.0	72.351	69.900	-0.2039	0.0000	77.160	76.681	0.1117	0.59	113.1	4.333
06/12/15 17:20:00.0	71.577	70.900	-0.2039	0.0000	76.986	76.593	0.1117	0.59	81.9	4.321
06/12/15 17:25:00.0	71.920	70.600	-0.2039	0.0000	76.811	76.507	0.1117	0.00	78.1	4.333
06/12/15 17:30:00.0	71.533	70.900	-0.2039	0.0000	76.681	76.419	0.1117	0.59	98.1	4.333
06/12/15 17:35:00.0	71.017	71.700	-0.2039	0.0000	76.507	76.332	0.1117	0.59	68.1	4.339
06/12/15 17:40:00.0	70.587	72.900	-0.2039	0.0000	76.375	76.246	0.1117	0.59	71.9	4.333
06/12/15 17:45:00.0	70.502	72.800	-0.2039	0.0000	76.246	76.158	0.1117	0.00	69.4	4.327
06/12/15 17:50:00.0	70.930	72.700	-0.2039	0.0000	76.158	76.071	0.1117	0.59	149.4	4.321
06/12/15 17:55:00.0	71.661	71.700	-0.2039	0.0000	76.071	75.985	0.1117	0.00	69.4	4.333
06/12/15 18:00:00.0	70.329	73.500	-0.2039	0.0000	75.985	75.898	0.1117	0.59	96.9	4.339
06/12/15 18:05:00.0	70.974	73.900	-0.2039	0.0000	75.898	75.810	0.1117	0.59	194.4	4.339
06/12/15 18:10:00.0	71.060	72.900	-0.2039	0.0000	75.853	75.767	0.1117	0.59	118.1	4.351
06/12/15 18:15:00.0	70.887	72.400	-0.2039	0.0000	75.810	75.681	0.1117	0.59	244.4	4.321
06/12/15 18:20:00.0	70.502	73.700	-0.2039	0.0000	75.767	75.637	0.1117	0.59	215.6	4.327
06/12/15 18:25:00.0	71.190	73.300	-0.2039	0.0000	75.681	75.594	0.1117	0.59	195.6	4.327
06/12/15 18:30:00.0	71.533	72.500	-0.2039	0.0000	75.551	75.508	0.1117	0.59	171.9	4.327
06/12/15 18:35:00.0	71.317	72.700	-0.2039	0.0000	75.420	75.463	0.1117	0.59	48.1	4.321
06/12/15 18:40:00.0	70.930	72.400	-0.2039	0.0000	75.290	75.376	0.1122	0.00	30.6	4.321
06/12/15 18:45:00.0	69.643	73.700	-0.2039	0.0000	75.204	75.290	0.1117	0.59	55.6	4.321
06/12/15 18:50:00.0	69.471	74.600	-0.2039	0.0000	75.029	75.247	0.1117	0.59	55.6	4.321
06/12/15 18:55:00.0	69.300	74.700	-0.2039	0.0000	74.899	75.160	0.1117	0.59	45.6	4.315
06/12/15 19:00:00.0	68.999	75.100	-0.2039	0.0000	74.770	75.074	0.1117	0.59	26.9	4.315
06/12/15 19:05:00.0	69.129	75.500	-0.2039	0.0000	74.597	74.986	0.1117	0.59	23.1	4.315
06/12/15 19:10:00.0	68.270	76.000	-0.2039	0.0000	74.424	74.899	0.1117	0.59	20.6	4.309
06/12/15 19:15:00.0	67.757	77.100	-0.2039	0.0000	74.295	74.856	0.1117	0.59	21.9	4.309
06/12/15 19:20:00.0	67.627	77.500	-0.2039	0.0000	74.120	74.727	0.1117	0.59	16.9	4.309
06/12/15 19:25:00.0	67.413	77.800	-0.2039	0.0000	73.947	74.640	0.1117	0.59	15.6	4.303
06/12/15 19:30:00.0	66.985	78.400	-0.2039	0.0000	73.818	74.554	0.1117	0.59	13.1	4.303
06/12/15 19:35:00.0	66.558	79.000	-0.2039	0.0000	73.645	74.467	0.1117	0.59	10.6	4.303
06/12/15 19:40:00.0	66.214	79.600	-0.2039	0.0000	73.515	74.381	0.1117	1.18	9.4	4.303
06/12/15 19:45:00.0	65.872	80.200	-0.2039	0.0000	73.342	74.250	0.1117	1.18	8.1	4.303
06/12/15 19:50:00.0	65.574	80.800	-0.2039	0.0000	73.170	74.163	0.1117	1.18	6.9	4.303
06/12/15 19:55:00.0	65.359	81.300	-0.2039	0.0000	72.997	74.077	0.1117	1.76	4.4	4.303
06/12/15 20:00:00.0	65.359	81.600	-0.2039	0.0000	72.826	73.947	0.1117	1.76	3.1	4.303
06/12/15 20:05:00.0	65.145	81.700	-0.2039	0.0000	72.653	73.861	0.1117	2.94	1.9	4.303
06/12/15 20:10:00.0	64.931	82.300	-0.2039	0.0000	72.523	73.731	0.1117	3.53	0.6	4.297
06/12/15 20:15:00.0	64.674	82.600	-0.2039	0.0000	72.351	73.645	0.1117	4.12	0.6	4.297
06/12/15 20:20:00.0	64.674	83.200	-0.2039	0.0000	72.178	73.515	0.1117	4.12	0.6	4.297
06/12/15 20:25:00.0	64.546	83.400	-0.2039	0.0000	72.007	73.429	0.1117	4.12	0.6	4.297
06/12/15 20:30:00.0	64.375	83.500	-0.2039	0.0000	71.877	73.299	0.1117	4.71	0.6	4.297
06/12/15 20:35:00.0	64.161	83.700	-0.2039	0.0000	71.704	73.213	0.1117	4.71	0.6	4.297
06/12/15 20:40:00.0	64.117	84.100	-0.2039	0.0000	71.577	73.083	0.1117	5.88	0.6	4.297
06/12/15 20:45:00.0	63.903	84.200	-0.2039	0.0000	71.404	72.955	0.1112	7.06	0.6	4.297
06/12/15 20:50:00.0	63.518	84.400	-0.2039	0.0000	71.274	72.869	0.1117	14.12	0.6	4.297
06/12/15 20:55:00.0	63.390	85.100	-0.2039	0.0000	71.103	72.739	0.1117	12.94	0.6	4.303
06/12/15 21:00:00.0	63.347	85.300	-0.2039	0.0000	70.974	72.653	0.1112	13.53	0.6	4.297
06/12/15 21:05:00.0	63.176	85.700	-0.2039	0.0000	70.803	72.523	0.1117	17.06	0.6	4.297
06/12/15 21:10:00.0	63.133	86.000	-0.2039	0.0000	70.673	72.437	0.1117	18.82	0.6	4.297
06/12/15 21:15:00.0	62.704	86.200	-0.2039	0.0000	70.543	72.307	0.1117	35.88	0.6	4.291
06/12/15 21:20:00.0	62.661	86.700	-0.2039	0.0000	70.416	72.221	0.1117	35.29	0.6	4.291
06/12/15 21:25:00.0	62.191	86.900	-0.2039	0.0000	70.286	72.093	0.1112	48.24	0.6	4.291
06/12/15 21:30:00.0	61.934	87.200	-0.2039	0.0000	70.158	72.007	0.1112	54.12	0.6	4.291
06/12/15 21:35:00.0	61.848	87.500	-0.2039	0.0000	70.029	71.920	0.1112	51.18	0.6	4.291
06/12/15 21:40:00.0	61.934	87.800	-0.2039	0.0000	69.901	71.791	0.1112	75.88	0.6	4.291
06/12/15 21:45:00.0	62.233	88.100	-0.2039	0.0000	69.771	71.704	0.1112	67.65	0.6	4.291
06/12/15 21:50:00.0	62.319	88.300	-0.2039	0.0000	69.643	71.577	0.1112	70.00	0.6	4.291
06/12/15 21:55:00.0	62.148	88.400	-0.2039	0.0000	69.514	71.490	0.1112	80.00	0.6	4.291
06/12/15 22:00:00.0	62.191	88.700	-0.2039	0.0000	69.427	71.404	0.1112	81.76	0.6	4.291
06/12/15 22:05:00.0	62.105	88.900	-0.2039	0.0000	69.300	71.274	0.1112	85.29	0.6	4.291
06/12/15 22:10:00.0	62.062	89.000	-0.2039	0.0000	69.213	71.190	0.1112	83.53	0.6	4.291
06/12/15 22:15:00.0	62.062	89.300	-0.2039	0.0000	69.129	71.103	0.1112	85.29	0.6	4.291
06/12/15 22:20:00.0	61.977	89.500	-0.2039	0.0000	69.042	71.017	0.1112	94.71	0.6	4.291
06/12/15 22:25:00.0	61.891	89.600	-0.2039	0.0000	68.956	70.930	0.1107	96.47	0.6	4.291
06/12/15 22:30:00.0	61.761	89.900	-0.2039	0.0000	68.871	70.846	0.1112	97.65	0.6	4.291
06/12/15 22:35:00.0	61.804	90.100	-0.2039	0.0000	68.785	70.759	0.1112	94.71	0.6	4.291
06/12/15 22:40:00.0	61.891	90.300	-0.2039	0.0000	68.698	70.673	0.1112	81.18	0.6	4.291
06/12/15 22:45:00.0	61.848	90.300	-0.2039	0.0000	68.614	70.587	0.1107	85.29	0.6	4.291
06/12/15 22:50:00.0	62.019	90.400	-0.2039	0.0000	68.614	70.502	0.1112	76.47	0.6	4.291
06/12/15 22:55:00.0	61.891	90.500	-0.2039	0.0000	68.571	70.416	0.1112	85.29	0.6	4.291
06/12/15 23:00:00.0	61.891	90.700	-0.2039	0.0000	68.527	70.372	0.1112	77.06	0.6	4.291
06/12/15 23:05:00.0	61.891	90.700	-0.2039	0.0000	68.484	70.286	0.1112	70.00	0.6	4.291
06/12/15 23:10:00.0	61.977	90.800	-0.2039	0.0000	68.443	70.243	0.1112	65.88	0.6	4.291
06/12/15 23:15:00.0	62.062	90.800	-0.2039	0.0000	68.443	70.158	0.1107	64.12	0.6	4.285
06/12/15 23:20:00.0	62.062	91.000	-0.2039	0.0000	68.443	70.115	0.1107	62.35	0.6	4.291
06/12/15 23:25:00.0	61.934	91.000	-0.2039	0.0000	68.443	70.072	0.1107	63.53	0.6	4.285
06/12/15 23:30:00.0	61.848	91.500	-0.2039	0.0000	68.443	70.029	0.1107	64.71	0.6	4.285
06/12/15 23:35:00.0	61.720	91.700	-0.2039	0.0000	68.400	69.985	0.1107	65.88	0.6	4.285
06/12/15 23:40:00.0	61.804	91.800	-0.2039	0.0000	68.400	69.942	0.1112	63.53	0.6	4.285
