"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 10214688, SEN S/N: 10200842)","Current, mA (LGR S/N: 10214688, SEN S/N: 10200842)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10213638, LBL: Blue Conference)","RH, % (LGR S/N: 10214688, SEN S/N: 10213638, LBL: Blue Conference)","DewPt, °C (LGR S/N: 10214688, SEN S/N: 10213638)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365543)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365578)","Water Content, m³/m³ (LGR S/N: 10214688, SEN S/N: 10374519)","Wetness, % (LGR S/N: 10214688, SEN S/N: 10374904)","Solar Radiation, W/m² (LGR S/N: 10214688, SEN S/N: 10375646)","Batt, V (LGR S/N: 10214688)"
1,2013-11-20 13:45:00,-0.2039,0.0000,18.866,61.300,11.3,19.222,19.579,-0.0150,1.18,215.6,4.327
2,2013-11-20 13:50:00,-0.2039,0.0000,18.866,63.200,11.7,19.151,19.532,-0.0150,1.18,226.9,4.321
3,2013-11-20 13:55:00,-0.2039,0.0000,18.818,63.500,11.8,19.080,19.484,-0.0150,1.18,218.1,4.345
4,2013-11-20 14:00:00,-0.2039,0.0000,18.771,63.700,11.8,19.032,19.484,-0.0150,1.76,194.4,4.351
5,2013-11-20 14:05:00,-0.2039,0.0000,18.842,63.900,11.9,19.008,19.460,-0.0150,1.18,184.4,4.357
6,2013-11-20 14:10:00,-0.2039,0.0000,18.913,63.300,11.8,18.961,19.460,-0.0150,1.76,203.1,4.363
7,2013-11-20 14:15:00,-0.2039,0.0000,18.747,63.600,11.7,18.961,19.436,-0.0150,1.76,193.1,4.363
8,2013-11-20 14:20:00,-0.2039,0.0000,18.652,64.400,11.8,18.937,19.436,-0.0150,1.18,199.4,4.369
9,2013-11-20 14:25:00,-0.2039,0.0000,19.056,64.300,12.2,18.937,19.436,-0.0150,1.76,173.1,4.363
10,2013-11-20 14:30:00,-0.2039,0.0000,18.937,64.000,12.0,18.913,19.413,-0.0150,1.76,170.6,4.369
