"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10214684, SEN S/N: 10200132)","Voltage, V (LGR S/N: 10214684, SEN S/N: 10200844)","Current, mA (LGR S/N: 10214684, SEN S/N: 10200844)","Wetness, % (LGR S/N: 10214684, SEN S/N: 10205907)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10213739, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10222768, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10359305)","RH, % (LGR S/N: 10214684, SEN S/N: 10359305)","DewPt, °C (LGR S/N: 10214684, SEN S/N: 10359305)","Water Content, m³/m³ (LGR S/N: 10214684, SEN S/N: 10465840)","Batt, V (LGR S/N: 10214684)"
1,2015-01-23 13:00:00,593.1,-0.1988,0.0000,0.59,14.122,15.915,26.378,23.300,3.8,0.3110,4.321
2,2015-01-23 13:05:00,591.9,-0.1988,0.0000,1.18,14.242,16.153,26.940,20.400,2.4,0.3110,4.430
3,2015-01-23 13:10:00,591.9,-0.1988,0.0000,1.18,14.361,16.344,25.914,22.100,2.6,0.3110,4.406
4,2015-01-23 13:15:00,589.4,-0.1988,0.0000,0.59,14.457,16.487,25.380,21.900,2.1,0.3113,4.393
5,2015-01-23 13:20:00,586.9,-0.1988,0.0000,1.18,14.601,16.606,26.182,20.900,2.1,0.3110,4.381
6,2015-01-23 13:25:00,588.1,-0.1988,0.0000,1.18,14.697,16.701,26.012,19.700,1.1,0.3113,4.375
7,2015-01-23 13:30:00,585.6,-0.1988,0.0000,1.18,14.792,16.725,26.549,21.500,2.8,0.3110,4.363
8,2015-01-23 13:35:00,583.1,-0.1988,0.0000,1.18,14.888,16.749,25.720,19.800,1.0,0.3113,4.363
9,2015-01-23 13:40:00,579.4,-0.1988,0.0000,1.18,14.960,16.820,26.965,22.600,3.8,0.3113,4.357
10,2015-01-23 13:45:00,576.9,-0.1988,0.0000,1.76,15.031,16.892,27.801,21.300,3.7,0.3113,4.351
