Date Time	Voltage (V)  #10348625	Current (mA)  #10348625	Temp (°F)  #10359312	RH (%)  #10359312	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10374505	Solar Radiation (W/m²)  #10378955	Wetness (%)  #10791389	Batt (V) c:5
10/27/15 17:00:00.0	-0.1937	0.0000	74.597	58.500	75.160	75.029	-0.2794	58.1	1.18	4.333
10/27/15 17:05:00.0	-0.1937	0.0000	74.338	58.200	74.467	74.467	-0.2794	1.9	0.59	4.327
10/27/15 17:10:00.0	-0.1937	0.0000	74.206	58.800	74.163	74.120	-0.2810	1.9	0.59	4.321
10/27/15 17:15:00.0	-0.1937	0.0000	73.947	59.400	73.861	73.774	-0.2810	1.9	0.59	4.321
10/27/15 17:20:00.0	-0.1937	0.0000	73.774	60.400	73.731	73.688	-0.2810	1.9	1.18	4.321
10/27/15 17:25:00.0	-0.1937	0.0000	73.558	60.200	73.472	73.429	-0.2810	0.6	0.59	4.315
10/27/15 17:30:00.0	-0.1937	0.0000	73.342	59.200	73.256	73.213	-0.2826	0.6	0.59	4.315
10/27/15 17:35:00.0	-0.1937	0.0000	73.213	60.000	73.170	73.126	-0.2826	0.6	0.59	4.309
10/27/15 17:40:00.0	-0.1937	0.0000	72.997	61.400	72.997	72.912	-0.2826	0.6	0.59	4.303
10/27/15 17:45:00.0	-0.1937	0.0000	72.826	62.300	72.783	72.739	-0.2826	0.6	0.59	4.303
10/27/15 17:50:00.0	-0.1937	0.0000	72.696	62.500	72.653	72.610	-0.2826	0.6	0.59	4.303
10/27/15 17:55:00.0	-0.1937	0.0000	72.567	63.500	72.523	72.480	-0.2826	0.6	0.59	4.303
10/27/15 18:00:00.0	-0.1937	0.0000	72.437	64.700	72.351	72.264	-0.2826	0.6	0.59	4.303
10/27/15 18:05:00.0	-0.1937	0.0000	72.178	65.900	72.136	72.050	-0.2826	0.6	0.59	4.297
10/27/15 18:10:00.0	-0.1937	0.0000	72.007	67.100	71.964	71.920	-0.2826	0.6	0.59	4.297
10/27/15 18:15:00.0	-0.1937	0.0000	71.877	67.800	71.834	71.748	-0.2842	0.6	0.59	4.297
10/27/15 18:20:00.0	-0.1937	0.0000	71.791	68.600	71.704	71.620	-0.2842	0.6	0.59	4.297
10/27/15 18:25:00.0	-0.1937	0.0000	71.620	68.600	71.533	71.490	-0.2826	0.6	0.59	4.291
10/27/15 18:30:00.0	-0.1937	0.0000	71.447	69.000	71.361	71.317	-0.2842	0.6	0.59	4.291
10/27/15 18:35:00.0	-0.1937	0.0000	71.317	69.800	71.274	71.190	-0.2842	0.6	0.59	4.291
10/27/15 18:40:00.0	-0.1937	0.0000	71.317	70.100	71.317	71.231	-0.2842	0.6	0.59	4.291
10/27/15 18:45:00.0	-0.1937	0.0000	71.231	71.000	71.103	71.017	-0.2842	0.6	0.59	4.291
10/27/15 18:50:00.0	-0.1937	0.0000	71.103	71.300	71.017	70.930	-0.2842	0.6	1.18	4.291
10/27/15 18:55:00.0	-0.1937	0.0000	71.017	71.200	70.974	70.930	-0.2842	0.6	1.18	4.291
10/27/15 19:00:00.0	-0.1937	0.0000	70.974	71.400	70.974	70.887	-0.2842	0.6	0.59	4.291
10/27/15 19:05:00.0	-0.1937	0.0000	70.974	71.500	70.887	70.803	-0.2842	0.6	0.59	4.291
10/27/15 19:10:00.0	-0.1937	0.0000	71.017	71.700	70.759	70.673	-0.2842	0.6	0.59	4.291
10/27/15 19:15:00.0	-0.1937	0.0000	70.974	71.900	70.587	70.502	-0.2842	0.6	0.59	4.291
10/27/15 19:20:00.0	-0.1937	0.0000	70.974	72.200	70.587	70.502	-0.2842	0.6	0.59	4.291
10/27/15 19:25:00.0	-0.1937	0.0000	70.930	72.200	70.502	70.372	-0.2842	0.6	0.59	4.291
10/27/15 19:30:00.0	-0.1937	0.0000	70.887	71.900	70.459	70.329	-0.2842	0.6	0.59	4.291
10/27/15 19:35:00.0	-0.1937	0.0000	70.846	71.900	70.372	70.243	-0.2842	0.6	1.18	4.285
10/27/15 19:40:00.0	-0.1937	0.0000	70.759	72.200	70.459	70.372	-0.2842	0.6	1.18	4.285
10/27/15 19:45:00.0	-0.1937	0.0000	70.716	72.200	70.329	70.243	-0.2842	0.6	1.18	4.285
10/27/15 19:50:00.0	-0.1937	0.0000	70.673	72.100	70.416	70.286	-0.2842	0.6	1.18	4.285
10/27/15 19:55:00.0	-0.1937	0.0000	70.673	72.200	70.286	70.201	-0.2842	0.6	1.18	4.285
10/27/15 20:00:00.0	-0.1937	0.0000	70.630	72.600	70.286	70.201	-0.2842	0.6	1.18	4.285
10/27/15 20:05:00.0	-0.1937	0.0000	70.459	73.200	70.201	70.072	-0.2842	0.6	1.18	4.285
10/27/15 20:10:00.0	-0.1937	0.0000	70.243	74.400	70.115	70.029	-0.2842	0.6	1.18	4.285
10/27/15 20:15:00.0	-0.1937	0.0000	70.201	74.900	70.072	69.942	-0.2842	0.6	1.18	4.285
10/27/15 20:20:00.0	-0.1937	0.0000	70.286	75.200	70.029	69.942	-0.2842	0.6	1.18	4.285
10/27/15 20:25:00.0	-0.1937	0.0000	70.329	75.300	69.985	69.901	-0.2842	0.6	1.18	4.285
10/27/15 20:30:00.0	-0.1937	0.0000	70.243	75.500	69.901	69.814	-0.2842	0.6	1.18	4.285
10/27/15 20:35:00.0	-0.1937	0.0000	70.243	75.800	69.858	69.771	-0.2842	0.6	1.18	4.285
10/27/15 20:40:00.0	-0.1937	0.0000	70.201	75.800	69.728	69.643	-0.2842	0.6	1.18	4.285
10/27/15 20:45:00.0	-0.1937	0.0000	70.115	76.100	69.685	69.557	-0.2842	0.6	1.18	4.285
10/27/15 20:50:00.0	-0.1937	0.0000	69.942	76.600	69.514	69.386	-0.2842	0.6	1.18	4.285
10/27/15 20:55:00.0	-0.1937	0.0000	69.685	78.100	69.600	69.514	-0.2842	0.6	1.18	4.285
10/27/15 21:00:00.0	-0.1937	0.0000	69.643	78.600	69.600	69.514	-0.2858	0.6	1.18	4.285
10/27/15 21:05:00.0	-0.1937	0.0000	69.643	78.800	69.557	69.386	-0.2842	0.6	1.18	4.279
10/27/15 21:10:00.0	-0.1937	0.0000	69.685	79.100	69.471	69.386	-0.2842	0.6	1.18	4.279
10/27/15 21:15:00.0	-0.1937	0.0000	69.685	79.100	69.343	69.256	-0.2858	0.6	1.18	4.279
10/27/15 21:20:00.0	-0.1937	0.0000	69.685	79.400	69.471	69.386	-0.2842	0.6	1.18	4.279
10/27/15 21:25:00.0	-0.1937	0.0000	69.685	79.800	69.427	69.343	-0.2858	0.6	1.18	4.279
10/27/15 21:30:00.0	-0.1937	0.0000	69.728	79.600	69.386	69.300	-0.2858	0.6	1.18	4.279
10/27/15 21:35:00.0	-0.1937	0.0000	69.771	79.800	69.427	69.343	-0.2858	0.6	1.18	4.279
10/27/15 21:40:00.0	-0.1937	0.0000	69.771	79.400	69.471	69.386	-0.2842	0.6	1.18	4.279
10/27/15 21:45:00.0	-0.1937	0.0000	69.728	79.500	69.300	69.213	-0.2858	0.6	1.18	4.279
10/27/15 21:50:00.0	-0.1937	0.0000	69.685	79.700	69.256	69.170	-0.2842	0.6	1.18	4.279
10/27/15 21:55:00.0	-0.1937	0.0000	69.514	80.300	69.256	69.129	-0.2858	0.6	1.18	4.279
10/27/15 22:00:00.0	-0.1937	0.0000	69.557	80.500	69.213	69.129	-0.2858	0.6	1.18	4.273
10/27/15 22:05:00.0	-0.1937	0.0000	69.427	80.300	69.170	69.042	-0.2858	0.6	1.18	4.279
10/27/15 22:10:00.0	-0.1937	0.0000	69.427	79.700	69.129	68.999	-0.2858	0.6	1.18	4.273
10/27/15 22:15:00.0	-0.1937	0.0000	69.427	79.000	69.256	69.170	-0.2858	0.6	1.18	4.273
10/27/15 22:20:00.0	-0.1937	0.0000	69.471	78.700	69.427	69.343	-0.2858	0.6	1.18	4.273
10/27/15 22:25:00.0	-0.1937	0.0000	69.471	78.100	69.213	69.085	-0.2858	0.6	1.18	4.273
10/27/15 22:30:00.0	-0.1937	0.0000	69.471	77.600	69.343	69.213	-0.2858	0.6	1.18	4.273
10/27/15 22:35:00.0	-0.1937	0.0000	69.514	77.100	69.343	69.213	-0.2858	0.6	1.18	4.273
10/27/15 22:40:00.0	-0.1937	0.0000	69.514	76.500	69.170	69.085	-0.2858	0.6	1.18	4.273
