"#","Date Time, GMT-07:00","Wetness, % (LGR S/N: 10374980, SEN S/N: 10314896)","Temp, °C (LGR S/N: 10374980, SEN S/N: 10359307)","RH, % (LGR S/N: 10374980, SEN S/N: 10359307)","DewPt, °C (LGR S/N: 10374980, SEN S/N: 10359307)","Voltage, V (LGR S/N: 10374980, SEN S/N: 10363575)","Current, mA (LGR S/N: 10374980, SEN S/N: 10363575)","Temp, °C (LGR S/N: 10374980, SEN S/N: 10365533, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374980, SEN S/N: 10365597, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374980, SEN S/N: 10374516)","Solar Radiation, W/m² (LGR S/N: 10374980, SEN S/N: 10378950)","Batt, V (LGR S/N: 10374980)"
1,2014-07-02 10:55:00,3.53,27.087,57.900,18.1,-0.1988,0.0000,51.702,49.411,0.2035,838.1,4.357
2,2014-07-02 11:00:00,2.94,26.989,57.100,17.8,-0.1988,0.0000,52.964,50.025,0.2035,850.6,4.321
3,2014-07-02 11:05:00,3.53,27.235,56.600,17.9,-0.1988,0.0000,53.111,51.560,0.2035,843.1,4.321
4,2014-07-02 11:10:00,2.94,27.431,55.700,17.8,-0.1988,0.0000,54.375,52.746,0.2038,863.1,4.418
5,2014-07-02 11:15:00,2.94,27.776,55.100,18.0,-0.1988,0.0000,53.590,53.776,0.2038,893.1,4.363
6,2014-07-02 11:20:00,2.94,27.554,55.000,17.7,-0.1988,0.0000,54.792,54.150,0.2043,899.4,4.393
7,2014-07-02 11:25:00,3.53,27.899,54.000,17.8,-0.1988,0.0000,55.599,55.483,0.2043,910.6,4.363
8,2014-07-02 11:30:00,3.53,28.147,54.000,18.0,-0.1988,0.0000,55.444,55.754,0.2047,924.4,4.351
9,2014-07-02 11:35:00,3.53,28.791,52.400,18.1,-0.1988,0.0000,56.460,56.381,0.2047,929.4,4.339
10,2014-07-02 11:40:00,3.53,28.667,52.100,17.9,-0.1988,0.0000,56.778,56.698,0.2047,954.4,4.393
11,2014-07-02 11:45:00,3.53,28.617,51.700,17.7,-0.1988,0.0000,56.263,57.259,0.2047,959.4,4.369
12,2014-07-02 11:50:00,2.94,28.048,52.800,17.5,-0.1988,0.0000,57.867,58.072,0.2052,976.9,4.351
13,2014-07-02 11:55:00,3.53,28.543,52.000,17.7,-0.1988,0.0000,57.786,58.776,0.2052,973.1,4.345
14,2014-07-02 12:00:00,3.53,28.394,53.000,17.9,-0.1988,0.0000,57.908,59.407,0.2056,986.9,4.339
15,2014-07-02 12:05:00,2.94,28.295,51.300,17.3,-0.1988,0.0000,58.443,59.196,0.2056,979.4,4.363
16,2014-07-02 12:10:00,3.53,28.642,51.700,17.7,-0.1988,0.0000,59.027,59.577,0.2061,991.9,4.363
17,2014-07-02 12:15:00,2.94,28.791,51.000,17.7,-0.1988,0.0000,58.154,59.705,0.2064,1006.9,4.351
18,2014-07-02 12:20:00,3.53,29.340,49.000,17.5,-0.1988,0.0000,59.962,61.227,0.2064,1011.9,4.339
19,2014-07-02 12:25:00,3.53,29.865,48.300,17.8,-0.1988,0.0000,60.918,62.258,0.2070,1009.4,4.363
20,2014-07-02 12:30:00,3.53,29.439,49.200,17.7,-0.1988,0.0000,59.577,61.672,0.2070,1021.9,4.357
21,2014-07-02 12:35:00,3.53,29.815,47.800,17.6,-0.1988,0.0000,60.394,61.493,0.2073,1024.4,4.357
22,2014-07-02 12:40:00,3.53,29.540,48.500,17.6,-0.1988,0.0000,60.742,62.532,0.2078,1024.4,4.345
23,2014-07-02 12:45:00,3.53,29.790,48.200,17.7,-0.1988,0.0000,61.627,63.598,0.2078,1024.4,4.339
24,2014-07-02 12:50:00,3.53,29.590,48.500,17.6,-0.1988,0.0000,61.672,62.807,0.2083,1029.4,4.369
25,2014-07-02 12:55:00,2.94,29.315,49.500,17.7,-0.1988,0.0000,61.493,62.761,0.2083,1026.9,4.351
26,2014-07-02 13:00:00,3.53,29.540,49.700,17.9,-0.1988,0.0000,62.258,63.834,0.2087,1040.6,4.345
27,2014-07-02 13:05:00,3.53,29.365,50.000,17.9,-0.1988,0.0000,63.131,64.261,0.2092,1043.1,4.339
