"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10214684, SEN S/N: 10200132)","Voltage, V (LGR S/N: 10214684, SEN S/N: 10200844)","Current, mA (LGR S/N: 10214684, SEN S/N: 10200844)","Wetness, % (LGR S/N: 10214684, SEN S/N: 10205907)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10213739, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10222768, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10359305)","RH, % (LGR S/N: 10214684, SEN S/N: 10359305)","DewPt, °C (LGR S/N: 10214684, SEN S/N: 10359305)","Water Content, m³/m³ (LGR S/N: 10214684, SEN S/N: 10465840)","Batt, V (LGR S/N: 10214684)"
1,2014-10-31 11:45:00,71.9,-0.1988,0.0000,3.53,22.633,23.136,21.533,64.900,14.7,0.0555,4.381
2,2014-10-31 11:50:00,70.6,-0.1988,0.0000,10.59,22.657,23.088,21.342,65.600,14.7,0.0562,4.333
3,2014-10-31 11:55:00,60.6,-0.1988,0.0000,6.47,22.657,23.064,21.103,66.100,14.5,0.0555,4.333
4,2014-10-31 12:00:00,51.9,-0.1988,0.0000,7.06,22.657,23.016,20.841,67.000,14.5,0.0555,4.327
5,2014-10-31 12:05:00,41.9,-0.1988,0.0000,5.88,22.681,22.992,20.913,67.700,14.7,0.0562,4.339
6,2014-10-31 12:10:00,39.4,-0.1988,0.0000,6.47,22.705,22.944,20.793,67.700,14.6,0.0555,4.357
7,2014-10-31 12:15:00,45.6,-0.1988,0.0000,7.06,22.705,22.920,20.579,68.700,14.6,0.0562,4.363
8,2014-10-31 12:20:00,64.4,-0.1988,0.0000,6.47,22.705,22.872,20.555,69.500,14.8,0.0562,4.357
9,2014-10-31 12:25:00,66.9,-0.1988,0.0000,7.06,22.705,22.824,20.484,69.500,14.7,0.0562,4.351
10,2014-10-31 12:30:00,64.4,-0.1988,0.0000,7.65,22.705,22.776,20.341,70.600,14.8,0.0562,4.345
11,2014-10-31 12:35:00,73.1,-0.1988,0.0000,10.00,22.681,22.753,20.341,71.400,15.0,0.0562,4.345
12,2014-10-31 12:40:00,70.6,-0.1988,0.0000,12.35,22.681,22.729,20.055,73.000,15.1,0.0562,4.339
13,2014-10-31 12:45:00,68.1,-0.1988,0.0000,12.94,22.657,22.705,19.936,73.500,15.1,0.0562,4.339
14,2014-10-31 12:50:00,73.1,-0.1988,0.0000,10.59,22.657,22.681,19.960,72.600,14.9,0.0562,4.339
15,2014-10-31 12:55:00,78.1,-0.1988,0.0000,8.24,22.657,22.657,19.984,71.700,14.7,0.0562,4.333
16,2014-10-31 13:00:00,68.1,-0.1988,0.0000,7.06,22.657,22.633,19.865,70.100,14.3,0.0562,4.333
17,2014-10-31 13:05:00,70.6,-0.1988,0.0000,7.65,22.657,22.609,19.770,70.900,14.4,0.0562,4.345
18,2014-10-31 13:10:00,70.6,-0.1988,0.0000,7.65,22.657,22.585,19.722,71.200,14.4,0.0562,4.339
19,2014-10-31 13:15:00,73.1,-0.1988,0.0000,6.47,22.633,22.537,19.936,70.700,14.5,0.0562,4.339
20,2014-10-31 13:20:00,41.9,-0.1988,0.0000,5.88,22.633,22.513,20.126,69.700,14.4,0.0555,4.339
21,2014-10-31 13:25:00,41.9,-0.1988,0.0000,5.88,22.609,22.513,19.865,69.100,14.1,0.0555,4.339
22,2014-10-31 13:30:00,44.4,-0.1988,0.0000,5.29,22.609,22.465,20.031,69.200,14.2,0.0562,4.333
23,2014-10-31 13:35:00,41.9,-0.1988,0.0000,5.29,22.609,22.441,20.198,68.800,14.3,0.0562,4.345
24,2014-10-31 13:40:00,50.6,-0.1988,0.0000,5.29,22.609,22.417,20.293,68.200,14.3,0.0555,4.345
25,2014-10-31 13:45:00,55.6,-0.1988,0.0000,4.71,22.585,22.369,20.246,67.800,14.1,0.0555,4.339
26,2014-10-31 13:50:00,55.6,-0.1988,0.0000,4.71,22.585,22.369,20.246,67.500,14.1,0.0555,4.339
27,2014-10-31 13:55:00,45.6,-0.1988,0.0000,4.71,22.561,22.345,20.222,67.200,14.0,0.0562,4.333
28,2014-10-31 14:00:00,49.4,-0.1988,0.0000,4.12,22.561,22.345,20.341,66.900,14.0,0.0562,4.333
29,2014-10-31 14:05:00,43.1,-0.1988,0.0000,4.12,22.561,22.321,20.460,66.400,14.0,0.0555,4.339
30,2014-10-31 14:10:00,44.4,-0.1988,0.0000,4.12,22.561,22.298,20.507,66.200,14.0,0.0555,4.339
31,2014-10-31 14:15:00,44.4,-0.1988,0.0000,4.12,22.537,22.298,20.365,66.100,13.8,0.0555,4.339
32,2014-10-31 14:20:00,43.1,-0.1988,0.0000,4.12,22.537,22.274,20.436,66.100,13.9,0.0555,4.333
33,2014-10-31 14:25:00,45.6,-0.1988,0.0000,4.12,22.513,22.274,20.507,66.200,14.0,0.0555,4.333
34,2014-10-31 14:30:00,58.1,-0.1988,0.0000,4.12,22.513,22.250,20.531,65.500,13.9,0.0555,4.339
35,2014-10-31 14:35:00,50.6,-0.1988,0.0000,4.12,22.513,22.250,20.460,66.000,13.9,0.0555,4.339
36,2014-10-31 14:40:00,60.6,-0.1988,0.0000,4.12,22.513,22.250,20.436,65.900,13.9,0.0555,4.339
37,2014-10-31 14:45:00,69.4,-0.1988,0.0000,4.12,22.513,22.250,20.603,66.000,14.0,0.0555,4.345
38,2014-10-31 14:50:00,64.4,-0.1988,0.0000,3.53,22.513,22.250,20.746,65.400,14.0,0.0555,4.339
39,2014-10-31 14:55:00,73.1,-0.1988,0.0000,3.53,22.489,22.250,20.746,65.000,13.9,0.0555,4.345
40,2014-10-31 15:00:00,100.6,-0.1988,0.0000,3.53,22.513,22.274,21.032,65.000,14.2,0.0555,4.339
41,2014-10-31 15:05:00,84.4,-0.1988,0.0000,3.53,22.513,22.298,20.960,64.100,13.9,0.0555,4.339
42,2014-10-31 15:10:00,90.6,-0.1988,0.0000,2.94,22.513,22.321,21.127,63.900,14.0,0.0555,4.339
43,2014-10-31 15:15:00,101.9,-0.1988,0.0000,2.94,22.513,22.369,21.294,63.800,14.2,0.0555,4.333
44,2014-10-31 15:20:00,91.9,-0.1988,0.0000,2.94,22.513,22.393,21.223,63.200,14.0,0.0555,4.333
45,2014-10-31 15:25:00,70.6,-0.1988,0.0000,3.53,22.513,22.441,21.032,64.200,14.0,0.0555,4.339
46,2014-10-31 15:30:00,78.1,-0.1988,0.0000,3.53,22.513,22.465,20.770,64.600,13.9,0.0555,4.345
