Date Time	Solar Radiation (W/m²)  #10200133	Wetness (%)  #10205911	Temp (°F)  #10213634	RH (%)  #10213634	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10222874	Voltage (V)  #10348610	Current (mA)  #10348610	Batt (V) c:5
05/22/15 16:45:00.0	29.4	1.76	62.019	66.500	62.533	62.875	0.2800	-0.2039	0.0000	4.333
05/22/15 16:50:00.0	28.1	1.76	61.761	67.200	62.533	62.875	0.2800	-0.2039	0.0000	4.381
05/22/15 16:55:00.0	26.9	1.76	61.761	67.700	62.577	62.834	0.2800	-0.2039	0.0000	4.339
05/22/15 17:00:00.0	21.9	1.76	61.848	67.100	62.577	62.834	0.2800	-0.2039	0.0000	4.321
05/22/15 17:05:00.0	20.6	1.76	61.977	67.100	62.577	62.791	0.2800	-0.2039	0.0000	4.321
05/22/15 17:10:00.0	20.6	1.76	61.891	66.800	62.577	62.791	0.2800	-0.2039	0.0000	4.315
05/22/15 17:15:00.0	19.4	1.76	61.891	67.700	62.577	62.748	0.2800	-0.2039	0.0000	4.351
05/22/15 17:20:00.0	19.4	1.76	61.720	68.300	62.577	62.748	0.2800	-0.2039	0.0000	4.333
05/22/15 17:25:00.0	19.4	1.76	61.761	67.900	62.533	62.704	0.2800	-0.2039	0.0000	4.321
05/22/15 17:30:00.0	16.9	1.76	61.547	68.100	62.533	62.704	0.2800	-0.2039	0.0000	4.315
05/22/15 17:35:00.0	16.9	1.76	61.290	67.500	62.533	62.661	0.2800	-0.2039	0.0000	4.333
05/22/15 17:40:00.0	16.9	1.76	61.376	67.800	62.533	62.620	0.2800	-0.2039	0.0000	4.345
05/22/15 17:45:00.0	14.4	1.76	61.333	67.000	62.490	62.620	0.2800	-0.2039	0.0000	4.333
05/22/15 17:50:00.0	13.1	1.76	61.333	68.100	62.490	62.577	0.2796	-0.2039	0.0000	4.321
05/22/15 17:55:00.0	14.4	1.76	61.419	68.600	62.490	62.577	0.2800	-0.2039	0.0000	4.321
05/22/15 18:00:00.0	15.6	1.76	61.333	69.100	62.490	62.533	0.2800	-0.2039	0.0000	4.315
05/22/15 18:05:00.0	13.1	1.76	61.290	69.200	62.490	62.533	0.2796	-0.2039	0.0000	4.333
05/22/15 18:10:00.0	13.1	1.76	61.162	67.900	62.447	62.490	0.2800	-0.2039	0.0000	4.339
05/22/15 18:15:00.0	11.9	1.76	61.162	68.100	62.447	62.447	0.2800	-0.2039	0.0000	4.321
05/22/15 18:20:00.0	11.9	1.76	60.948	68.800	62.406	62.447	0.2800	-0.2039	0.0000	4.321
05/22/15 18:25:00.0	18.1	1.76	60.861	70.200	62.406	62.406	0.2800	-0.2039	0.0000	4.321
05/22/15 18:30:00.0	19.4	1.76	60.818	71.300	62.406	62.406	0.2800	-0.2039	0.0000	4.333
05/22/15 18:35:00.0	10.6	1.76	60.733	72.500	62.406	62.362	0.2800	-0.2039	0.0000	4.333
05/22/15 18:40:00.0	10.6	1.76	60.561	73.600	62.362	62.362	0.2800	-0.2039	0.0000	4.321
