"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10374970, SEN S/N: 10213640)","RH, % (LGR S/N: 10374970, SEN S/N: 10213640)","DewPt, °C (LGR S/N: 10374970, SEN S/N: 10213640)","Wetness, % (LGR S/N: 10374970, SEN S/N: 10314899)","Voltage, V (LGR S/N: 10374970, SEN S/N: 10348607)","Current, mA (LGR S/N: 10374970, SEN S/N: 10348607)","Temp, °C (LGR S/N: 10374970, SEN S/N: 10365542, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374970, SEN S/N: 10365548, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374970, SEN S/N: 10374522)","Solar Radiation, W/m² (LGR S/N: 10374970, SEN S/N: 10378946)","Batt, V (LGR S/N: 10374970)"
1,2014-08-29 13:50:00,37.206,23.800,13.1,3.53,-0.2039,0.0000,34.413,38.756,0.0664,926.9,4.321
2,2014-08-29 13:55:00,37.590,23.800,13.5,4.12,-0.2039,0.0000,34.704,39.036,0.0671,915.6,4.400
3,2014-08-29 14:00:00,36.905,28.000,15.4,3.53,-0.2039,0.0000,34.969,39.290,0.0671,904.4,4.363
4,2014-08-29 14:05:00,36.362,30.400,16.2,3.53,-0.2039,0.0000,35.208,39.545,0.0671,896.9,4.345
5,2014-08-29 14:10:00,36.769,30.400,16.6,3.53,-0.2039,0.0000,35.448,39.800,0.0678,886.9,4.321
6,2014-08-29 14:15:00,36.254,30.600,16.2,3.53,-0.2039,0.0000,35.689,40.028,0.0678,884.4,4.315
7,2014-08-29 14:20:00,36.227,32.500,17.2,3.53,-0.2039,0.0000,35.931,40.257,0.0684,871.9,4.406
8,2014-08-29 14:25:00,35.931,33.200,17.2,3.53,-0.2039,0.0000,36.146,40.487,0.0684,859.4,4.418
9,2014-08-29 14:30:00,36.119,32.500,17.1,3.53,-0.2039,0.0000,36.362,40.688,0.0691,853.1,4.345
10,2014-08-29 14:35:00,35.609,33.800,17.2,3.53,-0.2039,0.0000,36.579,40.862,0.0695,843.1,4.315
11,2014-08-29 14:40:00,35.716,33.800,17.3,3.53,-0.2039,0.0000,36.769,41.036,0.0695,828.1,4.412
12,2014-08-29 14:45:00,35.716,34.200,17.5,3.53,-0.2039,0.0000,36.960,41.181,0.0695,825.6,4.406
13,2014-08-29 14:50:00,36.362,33.600,17.8,3.53,-0.2039,0.0000,37.124,41.298,0.0702,809.4,4.327
