"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214688, SEN S/N: 10200842)","Current, mA (LGR S/N: 10214688, SEN S/N: 10200842)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10213638, LBL: Blue Conference)","RH, % (LGR S/N: 10214688, SEN S/N: 10213638, LBL: Blue Conference)","DewPt, °C (LGR S/N: 10214688, SEN S/N: 10213638)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365543, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365578, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10214688, SEN S/N: 10374519)","Wetness, % (LGR S/N: 10214688, SEN S/N: 10374904)","Solar Radiation, W/m² (LGR S/N: 10214688, SEN S/N: 10375646)","Batt, V (LGR S/N: 10214688)"
1,2014-04-23 13:45:00,-0.2039,0.0000,24.339,38.600,9.4,18.366,18.913,0.2347,2.35,770.6,4.345
2,2014-04-23 13:50:00,-0.2039,0.0000,24.677,38.400,9.6,18.390,18.937,0.2347,2.35,768.1,4.381
3,2014-04-23 13:55:00,-0.2039,0.0000,25.671,36.100,9.5,18.390,18.961,0.2347,2.35,708.1,4.369
4,2014-04-23 14:00:00,-0.2039,0.0000,25.355,35.900,9.2,18.414,18.961,0.2347,2.35,764.4,4.393
5,2014-04-23 14:05:00,-0.2039,0.0000,24.508,36.500,8.7,18.438,19.008,0.2347,2.35,753.1,4.381
6,2014-04-23 14:10:00,-0.2039,0.0000,24.532,35.000,8.1,18.461,19.032,0.2347,2.35,735.6,4.369
7,2014-04-23 14:15:00,-0.2039,0.0000,24.823,34.700,8.2,18.485,19.056,0.2347,2.35,688.1,4.369
8,2014-04-23 14:20:00,-0.2039,0.0000,25.283,34.000,8.3,18.509,19.080,0.2347,2.35,715.6,4.363
9,2014-04-23 14:25:00,-0.2039,0.0000,24.629,33.600,7.6,18.533,19.080,0.2347,2.35,688.1,4.363
10,2014-04-23 14:30:00,-0.2039,0.0000,24.750,33.600,7.7,18.533,19.080,0.2347,2.35,665.6,4.381
11,2014-04-23 14:35:00,-0.2039,0.0000,24.702,34.100,7.8,18.557,19.056,0.2347,2.35,624.4,4.369
12,2014-04-23 14:40:00,-0.2039,0.0000,24.581,33.500,7.5,18.557,19.008,0.2347,2.35,671.9,4.369
13,2014-04-23 14:45:00,-0.2039,0.0000,24.339,32.300,6.7,18.557,18.985,0.2344,2.35,639.4,4.363
14,2014-04-23 14:50:00,-0.2039,0.0000,24.460,32.100,6.8,18.557,18.913,0.2347,2.35,615.6,4.363
15,2014-04-23 14:55:00,-0.2039,0.0000,24.363,32.400,6.8,18.533,18.889,0.2344,2.35,633.1,4.351
16,2014-04-23 15:00:00,-0.2039,0.0000,24.339,32.500,6.8,18.509,18.818,0.2347,2.35,569.4,4.351
17,2014-04-23 15:05:00,-0.2039,0.0000,23.689,32.200,6.1,18.509,18.771,0.2344,1.76,493.1,4.351
18,2014-04-23 15:10:00,-0.2039,0.0000,23.857,32.900,6.6,18.485,18.723,0.2344,1.76,285.6,4.351
19,2014-04-23 15:15:00,-0.2039,0.0000,23.857,32.200,6.3,18.461,18.675,0.2344,1.18,131.9,4.442
20,2014-04-23 15:20:00,-0.2039,0.0000,23.472,32.600,6.1,18.438,18.628,0.2347,1.18,120.6,4.400
21,2014-04-23 15:25:00,-0.2039,0.0000,23.160,32.800,5.9,18.414,18.580,0.2347,0.59,118.1,4.393
22,2014-04-23 15:30:00,-0.2039,0.0000,23.424,33.500,6.5,18.390,18.533,0.2339,0.59,113.1,4.381
23,2014-04-23 15:35:00,-0.2039,0.0000,23.016,32.600,5.7,18.366,18.485,0.2344,0.59,105.6,4.375
24,2014-04-23 15:40:00,-0.2039,0.0000,22.729,32.900,5.6,18.343,18.461,0.2344,0.59,100.6,4.369
25,2014-04-23 15:45:00,-0.2039,0.0000,22.537,33.500,5.7,18.319,18.414,0.2344,0.59,100.6,4.369
26,2014-04-23 15:50:00,-0.2039,0.0000,22.369,33.900,5.7,18.295,18.366,0.2339,0.59,96.9,4.363
27,2014-04-23 15:55:00,-0.2039,0.0000,22.465,34.000,5.8,18.271,18.343,0.2344,0.59,100.6,4.363
28,2014-04-23 16:00:00,-0.2039,0.0000,22.178,33.500,5.4,18.247,18.319,0.2344,0.59,85.6,4.381
29,2014-04-23 16:05:00,-0.2039,0.0000,22.106,33.400,5.3,18.247,18.271,0.2344,0.59,76.9,4.369
30,2014-04-23 16:10:00,-0.2039,0.0000,22.130,33.300,5.2,18.224,18.224,0.2339,0.59,66.9,4.369
31,2014-04-23 16:15:00,-0.2039,0.0000,22.154,32.800,5.1,18.200,18.200,0.2339,0.59,61.9,4.363
32,2014-04-23 16:20:00,-0.2039,0.0000,22.058,33.100,5.1,18.176,18.176,0.2344,0.59,60.6,4.369
33,2014-04-23 16:25:00,-0.2039,0.0000,21.891,33.300,5.0,18.152,18.152,0.2344,0.00,59.4,4.381
34,2014-04-23 16:30:00,-0.2039,0.0000,21.819,32.700,4.7,18.129,18.129,0.2339,0.00,59.4,4.381
35,2014-04-23 16:35:00,-0.2039,0.0000,21.581,32.400,4.4,18.105,18.105,0.2339,0.00,50.6,4.369
36,2014-04-23 16:40:00,-0.2039,0.0000,21.652,32.700,4.6,18.105,18.057,0.2344,0.00,51.9,4.369
37,2014-04-23 16:45:00,-0.2039,0.0000,21.294,32.800,4.3,18.081,18.033,0.2344,0.00,50.6,4.363
38,2014-04-23 16:50:00,-0.2039,0.0000,21.270,33.200,4.5,18.057,18.010,0.2339,0.00,48.1,4.369
