Date Time	Voltage (V)  #10200841	Current (mA)  #10200841	Wetness (%)  #10205910	Solar Radiation (W/m²)  #10208648	Temp (°F)  #10213639	RH (%)  #10213639	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10222877	Batt (V) c:5
05/22/15 17:05:02.0	-0.1988	0.0000	0.00	56.9	62.577	65.200	66.643	66.515	0.1484	4.345
05/22/15 17:10:02.0	-0.1988	0.0000	0.00	63.1	62.191	66.100	66.600	66.515	0.1484	4.363
05/22/15 17:15:02.0	-0.1988	0.0000	0.00	68.1	62.406	66.600	66.558	66.472	0.1479	4.375
05/22/15 17:20:02.0	-0.1988	0.0000	0.00	56.9	62.276	66.500	66.515	66.429	0.1479	4.387
05/22/15 17:25:02.0	-0.1988	0.0000	0.00	53.1	62.019	67.100	66.472	66.429	0.1479	4.393
05/22/15 17:30:02.0	-0.1988	0.0000	0.00	55.6	62.062	67.100	66.429	66.385	0.1479	4.393
05/22/15 17:35:02.0	-0.1988	0.0000	0.00	45.6	62.191	67.100	66.385	66.344	0.1479	4.387
05/22/15 17:40:02.0	-0.2039	0.0000	0.00	50.6	62.019	66.100	66.344	66.301	0.1479	4.381
05/22/15 17:45:02.0	-0.1988	0.0000	0.00	45.6	62.019	66.100	66.301	66.258	0.1479	4.369
05/22/15 17:50:02.0	-0.1988	0.0000	0.00	39.4	62.191	66.600	66.258	66.214	0.1479	4.375
05/22/15 17:55:02.0	-0.1988	0.0000	0.00	40.6	62.105	66.900	66.214	66.214	0.1475	4.375
05/22/15 18:00:02.0	-0.2039	0.0000	0.00	39.4	61.761	68.000	66.173	66.173	0.1475	4.375
05/22/15 18:05:02.0	-0.1988	0.0000	0.00	35.6	61.720	68.100	66.130	66.130	0.1475	4.381
05/22/15 18:10:02.0	-0.1988	0.0000	0.00	33.1	61.677	67.500	66.087	66.087	0.1475	4.381
05/22/15 18:15:02.0	-0.1988	0.0000	0.00	33.1	61.590	67.700	66.043	66.043	0.1475	4.375
05/22/15 18:20:02.0	-0.1988	0.0000	0.00	29.4	61.205	68.600	66.000	66.000	0.1475	4.369
05/22/15 18:25:02.0	-0.2039	0.0000	0.00	34.4	61.162	69.500	65.916	65.959	0.1475	4.369
05/22/15 18:30:02.0	-0.1988	0.0000	0.00	46.9	60.991	70.600	65.916	65.916	0.1475	4.369
05/22/15 18:35:02.0	-0.1988	0.0000	0.00	35.6	61.119	71.100	65.872	65.916	0.1475	4.375
05/22/15 18:40:02.0	-0.1988	0.0000	0.00	31.9	61.032	72.200	65.829	65.872	0.1475	4.369
05/22/15 18:45:02.0	-0.1988	0.0000	1.18	23.1	60.948	73.000	65.745	65.829	0.1470	4.363
05/22/15 18:50:02.0	-0.2039	0.0000	2.35	18.1	60.561	74.500	65.701	65.788	0.1470	4.363
05/22/15 18:55:02.0	-0.1988	0.0000	2.35	14.4	60.604	74.700	65.658	65.745	0.1470	4.363
05/22/15 19:00:02.0	-0.1988	0.0000	2.94	13.1	60.517	75.200	65.615	65.701	0.1470	4.357
05/22/15 19:05:02.0	-0.2039	0.0000	3.53	9.4	60.433	75.600	65.574	65.658	0.1470	4.351
05/22/15 19:10:02.0	-0.1988	0.0000	4.12	9.4	60.346	75.900	65.530	65.615	0.1470	4.363
05/22/15 19:15:02.0	-0.2039	0.0000	4.71	9.4	60.132	76.700	65.487	65.574	0.1470	4.345
05/22/15 19:20:02.0	-0.1988	0.0000	4.71	5.6	60.089	77.200	65.444	65.530	0.1470	4.345
05/22/15 19:25:02.0	-0.2039	0.0000	4.71	5.6	60.046	77.100	65.403	65.487	0.1470	4.339
05/22/15 19:30:02.0	-0.1988	0.0000	5.88	3.1	60.003	77.700	65.359	65.487	0.1470	4.339
05/22/15 19:35:02.0	-0.1988	0.0000	6.47	1.9	60.003	78.000	65.316	65.403	0.1470	4.339
05/22/15 19:40:02.0	-0.1988	0.0000	6.47	0.6	60.046	78.200	65.230	65.403	0.1470	4.339
05/22/15 19:45:02.0	-0.1988	0.0000	8.24	0.6	60.003	78.600	65.230	65.316	0.1470	4.339
05/22/15 19:50:02.0	-0.1988	0.0000	7.06	0.6	59.916	78.700	65.145	65.316	0.1466	4.333
05/22/15 19:55:02.0	-0.1988	0.0000	7.65	0.6	59.916	78.700	65.102	65.230	0.1466	4.333
05/22/15 20:00:02.0	-0.1988	0.0000	7.65	0.6	59.916	78.500	65.059	65.230	0.1466	4.333
05/22/15 20:05:02.0	-0.2039	0.0000	7.06	0.6	59.959	78.400	65.017	65.188	0.1466	4.333
05/22/15 20:10:02.0	-0.1988	0.0000	5.88	0.6	59.916	77.600	64.974	65.145	0.1466	4.333
05/22/15 20:15:02.0	-0.2039	0.0000	5.29	0.6	59.916	77.200	64.974	65.102	0.1466	4.327
05/22/15 20:20:02.0	-0.1988	0.0000	5.29	0.6	59.916	76.900	64.888	65.059	0.1466	4.327
05/22/15 20:25:02.0	-0.2039	0.0000	4.71	0.6	59.788	76.600	64.888	65.017	0.1466	4.321
05/22/15 20:30:02.0	-0.1988	0.0000	4.71	0.6	59.745	76.900	64.803	64.974	0.1466	4.321
