"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10374971, SEN S/N: 10208649)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10213738, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10222767, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374971, SEN S/N: 10222870)","Wetness, % (LGR S/N: 10374971, SEN S/N: 10314897)","Voltage, V (LGR S/N: 10374971, SEN S/N: 10348616)","Current, mA (LGR S/N: 10374971, SEN S/N: 10348616)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10359304)","RH, % (LGR S/N: 10374971, SEN S/N: 10359304)","DewPt, °C (LGR S/N: 10374971, SEN S/N: 10359304)","Batt, V (LGR S/N: 10374971)"
45,2014-04-25 18:06:44,9.4,19.436,19.365,0.1789,21.76,-0.1988,0.0000,17.368,72.000,12.3,4.321
46,2014-04-25 18:11:44,8.1,19.389,19.341,0.1789,21.76,-0.1988,0.0000,17.225,72.400,12.2,4.321
47,2014-04-25 18:16:44,5.6,19.365,19.318,0.1789,26.47,-0.1988,0.0000,17.177,72.900,12.3,4.321
48,2014-04-25 18:21:44,3.1,19.318,19.294,0.1783,31.18,-0.1988,0.0000,17.058,73.300,12.3,4.321
49,2014-04-25 18:26:44,3.1,19.270,19.270,0.1789,35.29,-0.1988,0.0000,17.034,74.000,12.4,4.321
50,2014-04-25 18:31:44,3.1,19.222,19.246,0.1789,39.41,-0.1988,0.0000,16.892,74.700,12.4,4.321
51,2014-04-25 18:36:44,3.1,19.175,19.222,0.1789,44.12,-0.1988,0.0000,16.725,75.000,12.3,4.321
52,2014-04-25 18:41:44,0.6,19.127,19.175,0.1789,45.88,-0.1988,0.0000,16.654,75.500,12.3,4.321
53,2014-04-25 18:46:44,0.6,19.103,19.151,0.1783,51.18,-0.1988,0.0000,16.558,75.700,12.3,4.315
54,2014-04-25 18:51:44,0.6,19.056,19.127,0.1783,57.06,-0.1988,0.0000,16.439,76.700,12.4,4.315
55,2014-04-25 18:56:44,0.6,19.008,19.103,0.1789,54.12,-0.1988,0.0000,16.439,76.300,12.3,4.315
56,2014-04-25 19:01:44,0.6,18.961,19.080,0.1789,58.82,-0.1988,0.0000,16.344,76.500,12.2,4.315
57,2014-04-25 19:06:44,1.9,18.913,19.032,0.1789,37.06,-0.1988,0.0000,16.463,75.100,12.1,4.315
58,2014-04-25 19:11:44,0.6,18.889,19.008,0.1783,34.71,-0.1988,0.0000,16.415,74.500,11.9,4.315
59,2014-04-25 19:16:44,0.6,18.842,18.985,0.1789,41.18,-0.1988,0.0000,16.368,74.900,11.9,4.315
60,2014-04-25 19:21:44,0.6,18.794,18.937,0.1783,43.53,-0.1988,0.0000,16.368,75.100,12.0,4.315
61,2014-04-25 19:26:44,0.6,18.771,18.913,0.1783,55.29,-0.1988,0.0000,16.129,76.100,11.9,4.315
62,2014-04-25 19:31:44,0.6,18.723,18.889,0.1783,51.76,-0.1988,0.0000,16.177,76.500,12.1,4.315
63,2014-04-25 19:36:44,0.6,18.699,18.866,0.1783,55.88,-0.1988,0.0000,16.201,76.400,12.1,4.309
64,2014-04-25 19:41:44,0.6,18.652,18.842,0.1789,45.29,-0.1988,0.0000,16.177,75.800,11.9,4.309
65,2014-04-25 19:46:44,0.6,18.628,18.818,0.1789,52.35,-0.1988,0.0000,16.034,76.100,11.8,4.309
66,2014-04-25 19:51:44,0.6,18.580,18.771,0.1783,60.59,-0.1988,0.0000,15.986,76.700,11.9,4.309
67,2014-04-25 19:56:44,0.6,18.557,18.747,0.1783,54.12,-0.1988,0.0000,15.891,76.900,11.9,4.309
68,2014-04-25 20:01:44,0.6,18.509,18.723,0.1783,50.59,-0.1988,0.0000,15.772,76.700,11.7,4.309
69,2014-04-25 20:06:44,0.6,18.485,18.699,0.1783,45.88,-0.1988,0.0000,15.772,76.200,11.6,4.309
70,2014-04-25 20:11:44,0.6,18.461,18.675,0.1783,48.24,-0.1988,0.0000,15.819,76.200,11.7,4.309
71,2014-04-25 20:16:44,0.6,18.414,18.652,0.1783,59.41,-0.1988,0.0000,15.772,76.500,11.7,4.309
72,2014-04-25 20:21:44,0.6,18.390,18.604,0.1783,44.71,-0.1988,0.0000,15.748,76.300,11.6,4.303
73,2014-04-25 20:26:44,0.6,18.343,18.580,0.1783,44.12,-0.1988,0.0000,15.796,75.500,11.5,4.303
74,2014-04-25 20:31:44,0.6,18.319,18.557,0.1783,42.35,-0.1988,0.0000,15.724,75.700,11.5,4.303
75,2014-04-25 20:36:44,0.6,18.295,18.533,0.1783,42.94,-0.1988,0.0000,15.629,75.500,11.3,4.303
76,2014-04-25 20:41:44,0.6,18.247,18.509,0.1783,41.76,-0.1988,0.0000,15.557,75.600,11.3,4.303
77,2014-04-25 20:46:44,0.6,18.224,18.485,0.1783,35.88,-0.1988,0.0000,15.676,75.300,11.3,4.303
78,2014-04-25 20:51:44,0.6,18.200,18.461,0.1783,34.12,-0.1988,0.0000,15.676,75.100,11.3,4.303
79,2014-04-25 20:56:44,0.6,18.152,18.438,0.1783,41.18,-0.1988,0.0000,15.652,75.200,11.3,4.303
80,2014-04-25 21:01:44,0.6,18.129,18.414,0.1783,39.41,-0.1988,0.0000,15.676,75.200,11.3,4.303
81,2014-04-25 21:06:44,0.6,18.105,18.390,0.1783,40.59,-0.1988,0.0000,15.652,75.200,11.3,4.303
82,2014-04-25 21:11:44,0.6,18.081,18.366,0.1783,39.41,-0.1988,0.0000,15.700,75.400,11.4,4.303
83,2014-04-25 21:16:44,0.6,18.057,18.319,0.1783,34.12,-0.1988,0.0000,15.676,74.700,11.2,4.303
84,2014-04-25 21:21:44,0.6,18.033,18.319,0.1783,31.18,-0.1988,0.0000,15.700,74.500,11.2,4.303
85,2014-04-25 21:26:44,0.6,17.986,18.295,0.1779,31.18,-0.1988,0.0000,15.748,74.400,11.2,4.303
86,2014-04-25 21:31:44,0.6,17.986,18.271,0.1783,42.35,-0.1988,0.0000,15.629,75.400,11.3,4.303
87,2014-04-25 21:36:44,0.6,17.962,18.247,0.1783,50.59,-0.1988,0.0000,15.605,76.100,11.4,4.303
88,2014-04-25 21:41:44,0.6,17.938,18.224,0.1783,67.65,-0.1988,0.0000,15.438,77.800,11.6,4.303
89,2014-04-25 21:46:44,0.6,17.915,18.200,0.1783,87.06,-0.1988,0.0000,15.175,80.600,11.9,4.303
90,2014-04-25 21:51:44,0.6,17.891,18.176,0.1783,95.29,-0.1988,0.0000,15.079,81.700,12.0,4.303
91,2014-04-25 21:56:44,0.6,17.867,18.152,0.1783,100.00,-0.1988,0.0000,14.745,81.500,11.6,4.303
92,2014-04-25 22:01:44,0.6,17.843,18.152,0.1779,100.00,-0.1988,0.0000,14.385,84.000,11.7,4.303
93,2014-04-25 22:06:44,0.6,17.819,18.129,0.1779,100.00,-0.1988,0.0000,14.337,87.100,12.2,4.303
94,2014-04-25 22:11:44,0.6,17.796,18.105,0.1779,100.00,-0.1988,0.0000,14.242,87.700,12.2,4.303
95,2014-04-25 22:16:44,0.6,17.748,18.081,0.1779,100.00,-0.1988,0.0000,14.122,88.000,12.2,4.303
96,2014-04-25 22:21:44,0.6,17.724,18.057,0.1779,100.00,-0.1988,0.0000,13.954,88.800,12.2,4.309
97,2014-04-25 22:26:44,0.6,17.677,18.033,0.1779,100.00,-0.1988,0.0000,13.906,89.100,12.2,4.303
98,2014-04-25 22:31:44,0.6,17.653,18.010,0.1779,100.00,-0.1988,0.0000,13.930,89.400,12.2,4.303
99,2014-04-25 22:36:44,0.6,17.605,17.986,0.1769,100.00,-0.1988,0.0000,13.786,88.600,12.0,4.303
100,2014-04-25 22:41:44,0.6,17.582,17.962,0.1769,100.00,-0.1988,0.0000,13.666,89.100,11.9,4.303
101,2014-04-25 22:46:44,0.6,17.534,17.938,0.1769,100.00,-0.1988,0.0000,13.594,88.800,11.8,4.303
102,2014-04-25 22:51:44,0.6,17.486,17.891,0.1775,95.29,-0.1988,0.0000,13.546,87.900,11.6,4.303
103,2014-04-25 22:56:44,0.6,17.439,17.867,0.1775,84.71,-0.1988,0.0000,13.473,87.700,11.5,4.303
104,2014-04-25 23:01:44,0.6,17.391,17.843,0.1775,90.59,-0.1988,0.0000,13.425,87.000,11.3,4.297
105,2014-04-25 23:06:44,0.6,17.344,17.819,0.1779,92.35,-0.1988,0.0000,13.425,86.900,11.3,4.303
106,2014-04-25 23:11:44,0.6,17.296,17.772,0.1779,91.76,-0.1988,0.0000,13.449,87.600,11.4,4.303
107,2014-04-25 23:16:44,0.6,17.272,17.724,0.1779,82.94,-0.1988,0.0000,13.473,87.500,11.5,4.297
108,2014-04-25 23:21:44,0.6,17.225,17.701,0.1779,93.53,-0.1988,0.0000,13.497,87.900,11.5,4.297
109,2014-04-25 23:26:44,0.6,17.177,17.677,0.1779,93.53,-0.1988,0.0000,13.546,88.200,11.6,4.297
110,2014-04-25 23:31:44,0.6,17.153,17.653,0.1779,90.00,-0.1988,0.0000,13.570,88.000,11.6,4.297
111,2014-04-25 23:36:44,0.6,17.130,17.605,0.1783,80.00,-0.1988,0.0000,13.546,86.200,11.3,4.297
112,2014-04-25 23:41:44,0.6,17.082,17.582,0.1779,88.82,-0.1988,0.0000,13.064,86.500,10.9,4.297
113,2014-04-25 23:46:44,0.6,17.058,17.558,0.1783,80.59,-0.1988,0.0000,12.775,86.400,10.6,4.297
114,2014-04-25 23:51:44,0.6,17.011,17.534,0.1783,85.29,-0.1988,0.0000,12.558,86.600,10.4,4.297
115,2014-04-25 23:56:44,0.6,16.939,17.486,0.1783,75.88,-0.1988,0.0000,12.509,87.000,10.4,4.297
116,2014-04-26 00:01:44,0.6,16.892,17.463,0.1783,77.65,-0.1988,0.0000,12.461,86.400,10.3,4.297
117,2014-04-26 00:06:44,0.6,16.844,17.415,0.1783,84.71,-0.1988,0.0000,12.437,86.600,10.3,4.297
118,2014-04-26 00:11:44,0.6,16.796,17.391,0.1779,91.18,-0.1988,0.0000,12.413,87.600,10.4,4.297
119,2014-04-26 00:16:44,0.6,16.773,17.344,0.1783,80.59,-0.1988,0.0000,12.364,87.700,10.4,4.297
120,2014-04-26 00:21:44,0.6,16.725,17.320,0.1783,67.06,-0.1988,0.0000,12.437,85.500,10.1,4.297
121,2014-04-26 00:26:44,0.6,16.701,17.296,0.1783,64.12,-0.1988,0.0000,12.461,85.600,10.1,4.297
122,2014-04-26 00:31:44,0.6,16.654,17.249,0.1783,58.24,-0.1988,0.0000,12.437,85.200,10.0,4.297
123,2014-04-26 00:36:44,0.6,16.606,17.225,0.1783,65.29,-0.1988,0.0000,12.437,85.300,10.1,4.297
124,2014-04-26 00:41:44,0.6,16.558,17.177,0.1783,58.82,-0.1988,0.0000,12.485,85.100,10.1,4.297
125,2014-04-26 00:46:44,0.6,16.534,17.153,0.1783,51.18,-0.1988,0.0000,12.461,84.500,9.9,4.297
126,2014-04-26 00:51:44,0.6,16.511,17.130,0.1783,57.06,-0.1988,0.0000,12.485,84.400,9.9,4.297
127,2014-04-26 00:56:44,0.6,16.463,17.082,0.1783,41.18,-0.1988,0.0000,12.437,83.600,9.8,4.297
128,2014-04-26 01:01:44,0.6,16.439,17.058,0.1783,52.35,-0.1988,0.0000,12.413,83.300,9.7,4.297
129,2014-04-26 01:06:44,0.6,16.415,17.034,0.1783,37.06,-0.1988,0.0000,12.268,82.200,9.3,4.297
130,2014-04-26 01:11:44,0.6,16.368,17.011,0.1783,33.53,-0.1988,0.0000,12.219,81.900,9.2,4.297
131,2014-04-26 01:16:44,0.6,16.320,16.963,0.1783,32.94,-0.1988,0.0000,12.195,81.400,9.1,4.297
132,2014-04-26 01:21:44,0.6,16.296,16.939,0.1783,34.12,-0.1988,0.0000,12.050,81.900,9.1,4.297
133,2014-04-26 01:26:44,0.6,16.249,16.915,0.1789,30.59,-0.1988,0.0000,11.929,81.700,8.9,4.297
134,2014-04-26 01:31:44,0.6,16.225,16.868,0.1789,29.41,-0.1988,0.0000,11.856,81.600,8.8,4.297
135,2014-04-26 01:36:44,0.6,16.177,16.844,0.1789,30.59,-0.1988,0.0000,11.759,82.200,8.8,4.297
136,2014-04-26 01:41:44,0.6,16.153,16.820,0.1789,25.29,-0.1988,0.0000,11.759,81.300,8.7,4.297
137,2014-04-26 01:46:44,0.6,16.106,16.796,0.1783,27.06,-0.1988,0.0000,11.734,81.100,8.6,4.297
138,2014-04-26 01:51:44,0.6,16.082,16.749,0.1789,35.29,-0.1988,0.0000,11.662,82.100,8.7,4.291
139,2014-04-26 01:56:44,0.6,16.034,16.725,0.1783,30.59,-0.1988,0.0000,11.637,81.700,8.6,4.297
140,2014-04-26 02:01:44,0.6,16.010,16.701,0.1789,29.41,-0.1988,0.0000,11.565,81.700,8.6,4.297
141,2014-04-26 02:06:44,0.6,15.986,16.654,0.1783,31.18,-0.1988,0.0000,11.492,81.800,8.5,4.297
142,2014-04-26 02:11:44,0.6,15.939,16.630,0.1789,23.53,-0.1988,0.0000,11.516,80.300,8.3,4.291
143,2014-04-26 02:16:44,0.6,15.891,16.606,0.1783,22.35,-0.1988,0.0000,11.516,79.500,8.1,4.291
144,2014-04-26 02:21:44,0.6,15.867,16.582,0.1789,20.59,-0.1988,0.0000,11.613,77.800,7.9,4.291
145,2014-04-26 02:26:44,0.6,15.843,16.558,0.1789,21.18,-0.1988,0.0000,11.589,77.800,7.9,4.291
146,2014-04-26 02:31:44,0.6,15.796,16.511,0.1789,18.24,-0.1988,0.0000,11.540,77.400,7.7,4.291
147,2014-04-26 02:36:44,0.6,15.748,16.487,0.1789,20.00,-0.1988,0.0000,11.516,76.800,7.6,4.291
148,2014-04-26 02:41:44,0.6,15.700,16.463,0.1789,18.82,-0.1988,0.0000,11.516,76.300,7.5,4.291
149,2014-04-26 02:46:44,0.6,15.676,16.415,0.1789,22.35,-0.1988,0.0000,11.443,76.700,7.5,4.291
150,2014-04-26 02:51:44,0.6,15.629,16.392,0.1789,17.65,-0.1988,0.0000,11.394,75.700,7.3,4.291
151,2014-04-26 02:56:44,0.6,15.605,16.344,0.1789,20.00,-0.1988,0.0000,11.467,75.700,7.3,4.291
152,2014-04-26 03:01:44,0.6,15.557,16.320,0.1789,18.82,-0.1988,0.0000,11.370,75.400,7.2,4.291
153,2014-04-26 03:06:44,0.6,15.533,16.296,0.1789,18.24,-0.1988,0.0000,11.346,74.800,7.0,4.291
154,2014-04-26 03:11:44,0.6,15.485,16.272,0.1789,17.06,-0.1988,0.0000,11.273,74.900,7.0,4.291
155,2014-04-26 03:16:44,0.6,15.461,16.225,0.1789,16.47,-0.1988,0.0000,11.273,73.900,6.8,4.291
156,2014-04-26 03:21:44,0.6,15.414,16.201,0.1789,17.65,-0.1988,0.0000,11.151,74.500,6.8,4.291
157,2014-04-26 03:26:44,0.6,15.390,16.177,0.1789,16.47,-0.1988,0.0000,11.175,73.200,6.6,4.291
158,2014-04-26 03:31:44,0.6,15.366,16.153,0.1793,17.65,-0.1988,0.0000,11.151,73.300,6.6,4.291
159,2014-04-26 03:36:44,0.6,15.318,16.106,0.1789,15.88,-0.1988,0.0000,11.102,73.500,6.6,4.291
160,2014-04-26 03:41:44,0.6,15.294,16.082,0.1789,20.59,-0.1988,0.0000,10.980,75.500,6.8,4.291
161,2014-04-26 03:46:44,0.6,15.270,16.058,0.1789,17.06,-0.1988,0.0000,10.810,74.200,6.4,4.291
162,2014-04-26 03:51:44,0.6,15.247,16.034,0.1793,15.88,-0.1988,0.0000,10.785,73.800,6.3,4.291
163,2014-04-26 03:56:44,0.6,15.199,15.986,0.1789,16.47,-0.1988,0.0000,10.907,73.800,6.4,4.291
164,2014-04-26 04:01:44,0.6,15.175,15.963,0.1789,15.29,-0.1988,0.0000,10.883,73.000,6.2,4.291
165,2014-04-26 04:06:44,0.6,15.151,15.939,0.1789,16.47,-0.1988,0.0000,10.810,73.200,6.2,4.291
166,2014-04-26 04:11:44,0.6,15.127,15.915,0.1793,15.29,-0.1988,0.0000,10.761,73.800,6.3,4.291
167,2014-04-26 04:16:44,0.6,15.103,15.891,0.1793,17.06,-0.1988,0.0000,10.712,73.300,6.1,4.291
168,2014-04-26 04:21:44,0.6,15.079,15.867,0.1789,16.47,-0.1988,0.0000,10.810,73.000,6.2,4.291
169,2014-04-26 04:26:44,0.6,15.031,15.843,0.1793,14.12,-0.1988,0.0000,10.761,72.300,6.0,4.291
170,2014-04-26 04:31:44,0.6,15.008,15.819,0.1793,16.47,-0.1988,0.0000,10.712,73.100,6.1,4.291
171,2014-04-26 04:36:44,0.6,14.984,15.772,0.1789,17.06,-0.1988,0.0000,10.736,72.900,6.1,4.291
172,2014-04-26 04:41:44,0.6,14.960,15.772,0.1789,17.06,-0.1988,0.0000,10.638,72.600,5.9,4.291
173,2014-04-26 04:46:44,0.6,14.936,15.748,0.1789,16.47,-0.1988,0.0000,10.565,73.400,6.0,4.291
174,2014-04-26 04:51:44,0.6,14.912,15.724,0.1789,15.29,-0.1988,0.0000,10.614,72.200,5.8,4.291
175,2014-04-26 04:56:44,0.6,14.888,15.700,0.1793,14.71,-0.1988,0.0000,10.541,72.600,5.8,4.291
176,2014-04-26 05:01:44,0.6,14.864,15.652,0.1793,17.65,-0.1988,0.0000,10.565,72.900,5.9,4.291
177,2014-04-26 05:06:44,0.6,14.840,15.629,0.1789,15.88,-0.1988,0.0000,10.541,72.900,5.9,4.291
178,2014-04-26 05:11:44,0.6,14.816,15.629,0.1789,14.71,-0.1988,0.0000,10.467,72.700,5.8,4.291
179,2014-04-26 05:16:44,0.6,14.792,15.605,0.1793,17.06,-0.1988,0.0000,10.492,72.800,5.8,4.291
180,2014-04-26 05:21:44,0.6,14.768,15.581,0.1789,18.24,-0.1988,0.0000,10.345,73.400,5.8,4.291
181,2014-04-26 05:26:44,0.6,14.745,15.557,0.1789,17.06,-0.1988,0.0000,10.198,74.700,5.9,4.291
182,2014-04-26 05:31:44,0.6,14.721,15.533,0.1789,19.41,-0.1988,0.0000,10.173,74.900,5.9,4.291
183,2014-04-26 05:36:44,0.6,14.697,15.509,0.1793,20.00,-0.1988,0.0000,10.051,75.600,5.9,4.291
184,2014-04-26 05:41:44,0.6,14.673,15.485,0.1789,21.18,-0.1988,0.0000,9.879,76.800,6.0,4.291
185,2014-04-26 05:46:44,0.6,14.649,15.461,0.1789,21.18,-0.1988,0.0000,9.780,76.800,5.9,4.285
186,2014-04-26 05:51:44,0.6,14.625,15.438,0.1789,20.59,-0.1988,0.0000,9.780,76.800,5.9,4.321
187,2014-04-26 05:56:44,0.6,14.601,15.414,0.1789,22.35,-0.1988,0.0000,9.780,77.100,6.0,4.291
188,2014-04-26 06:01:44,0.6,14.577,15.390,0.1793,21.18,-0.1988,0.0000,9.829,76.600,5.9,4.291
189,2014-04-26 06:06:44,0.6,14.553,15.366,0.1793,18.24,-0.1988,0.0000,9.805,76.800,5.9,4.291
190,2014-04-26 06:11:44,0.6,14.529,15.342,0.1793,19.41,-0.1988,0.0000,9.903,76.900,6.1,4.291
191,2014-04-26 06:16:44,0.6,14.505,15.318,0.1789,21.76,-0.1988,0.0000,9.854,77.600,6.1,4.291
192,2014-04-26 06:21:44,0.6,14.481,15.318,0.1789,19.41,-0.1988,0.0000,9.805,77.100,6.0,4.291
193,2014-04-26 06:26:44,0.6,14.481,15.294,0.1789,21.76,-0.1988,0.0000,9.829,76.800,6.0,4.291
194,2014-04-26 06:31:44,1.9,14.457,15.270,0.1793,21.76,-0.1988,0.0000,9.805,78.400,6.2,4.291
195,2014-04-26 06:36:44,8.1,14.433,15.247,0.1793,21.18,-0.1988,0.0000,9.854,78.500,6.3,4.291
196,2014-04-26 06:41:44,10.6,14.409,15.223,0.1789,20.00,-0.1988,0.0000,10.001,78.100,6.4,4.291
197,2014-04-26 06:46:44,11.9,14.409,15.199,0.1793,17.65,-0.1988,0.0000,10.320,75.700,6.2,4.291
198,2014-04-26 06:51:44,15.6,14.385,15.175,0.1793,17.06,-0.1988,0.0000,10.443,75.400,6.3,4.291
199,2014-04-26 06:56:44,16.9,14.385,15.175,0.1789,15.29,-0.1988,0.0000,10.712,73.700,6.2,4.297
200,2014-04-26 07:01:44,29.4,14.361,15.151,0.1793,14.12,-0.1988,0.0000,10.883,73.000,6.2,4.297
201,2014-04-26 07:06:44,33.1,14.361,15.127,0.1789,12.94,-0.1988,0.0000,11.053,71.400,6.1,4.309
202,2014-04-26 07:11:44,30.6,14.337,15.127,0.1793,12.35,-0.1988,0.0000,11.175,70.500,6.0,4.321
203,2014-04-26 07:16:44,31.9,14.337,15.103,0.1793,11.18,-0.1988,0.0000,11.248,70.000,6.0,4.321
