Date Time	Wetness (%)  #10314896	Temp (°F)  #10359307	RH (%)  #10359307	Voltage (V)  #10363575	Current (mA)  #10363575	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10374516	Solar Radiation (W/m²)  #10378950	Batt (V) c:5
04/24/15 15:50:00.0	0.00	62.105	70.000	-0.1988	0.0000	68.443	68.099	0.1830	66.9	4.351
04/24/15 15:55:00.0	0.00	62.233	69.800	-0.1988	0.0000	68.443	68.356	0.1830	91.9	4.339
04/24/15 16:00:00.0	0.00	62.490	69.400	-0.1988	0.0000	68.571	68.698	0.1830	111.9	4.357
04/24/15 16:05:00.0	0.00	62.533	69.000	-0.1988	0.0000	68.785	68.999	0.1830	121.9	4.369
04/24/15 16:10:00.0	0.00	62.620	68.700	-0.1988	0.0000	68.871	69.042	0.1830	109.4	4.381
04/24/15 16:15:00.0	0.00	62.704	68.400	-0.1988	0.0000	69.042	69.386	0.1830	138.1	4.381
04/24/15 16:20:00.0	0.00	62.748	68.200	-0.1988	0.0000	69.300	69.728	0.1830	141.9	4.363
04/24/15 16:25:00.0	0.00	62.875	68.400	-0.1988	0.0000	69.557	70.072	0.1830	158.1	4.363
04/24/15 16:30:00.0	0.00	63.176	67.900	-0.1988	0.0000	69.901	70.502	0.1830	139.4	4.357
04/24/15 16:35:00.0	0.00	63.005	67.500	-0.1988	0.0000	69.901	70.286	0.1830	111.9	4.363
04/24/15 16:40:00.0	0.00	63.176	67.500	-0.1988	0.0000	69.858	70.243	0.1830	116.9	4.381
04/24/15 16:45:00.0	0.00	63.005	67.700	-0.1988	0.0000	69.814	70.201	0.1830	136.9	4.363
04/24/15 16:50:00.0	0.00	62.791	67.900	-0.1988	0.0000	69.942	70.416	0.1830	148.1	4.363
04/24/15 16:55:00.0	0.00	62.704	68.000	-0.1988	0.0000	70.158	70.673	0.1830	130.6	4.357
04/24/15 17:00:00.0	0.00	62.748	67.800	-0.1988	0.0000	70.029	70.243	0.1830	75.6	4.357
04/24/15 17:05:00.0	0.00	62.490	68.300	-0.1988	0.0000	69.728	69.814	0.1830	69.4	4.363
04/24/15 17:10:00.0	0.00	62.191	68.600	-0.1988	0.0000	69.514	69.600	0.1830	80.6	4.363
04/24/15 17:15:00.0	0.00	62.105	69.400	-0.1988	0.0000	69.427	69.600	0.1830	109.4	4.375
04/24/15 17:20:00.0	0.00	62.447	69.200	-0.1988	0.0000	69.600	70.029	0.1830	140.6	4.369
04/24/15 17:25:00.0	0.00	61.891	69.700	-0.1988	0.0000	69.557	69.685	0.1830	78.1	4.363
04/24/15 17:30:00.0	0.00	61.891	70.300	-0.1988	0.0000	69.386	69.600	0.1830	131.9	4.363
04/24/15 17:35:00.0	0.00	62.019	70.000	-0.1988	0.0000	69.643	70.072	0.1830	130.6	4.357
04/24/15 17:40:00.0	0.00	62.233	69.600	-0.1988	0.0000	69.685	69.985	0.1830	104.4	4.363
04/24/15 17:45:00.0	0.00	61.804	70.200	-0.1988	0.0000	69.471	69.600	0.1830	90.6	4.375
04/24/15 17:50:00.0	0.00	61.977	70.100	-0.1988	0.0000	69.386	69.471	0.1830	81.9	4.369
04/24/15 17:55:00.0	0.00	61.720	69.900	-0.1988	0.0000	69.129	69.042	0.1830	46.9	4.363
04/24/15 18:00:00.0	0.00	61.506	70.100	-0.1988	0.0000	68.785	68.614	0.1830	49.4	4.363
04/24/15 18:05:00.0	0.00	61.333	70.700	-0.1988	0.0000	68.571	68.484	0.1830	78.1	4.363
04/24/15 18:10:00.0	0.00	61.677	70.500	-0.1988	0.0000	68.571	68.527	0.1830	79.4	4.363
04/24/15 18:15:00.0	0.00	61.633	70.900	-0.1988	0.0000	68.484	68.400	0.1830	60.6	4.393
04/24/15 18:20:00.0	0.00	61.162	71.000	-0.1988	0.0000	68.313	68.185	0.1830	64.4	4.363
04/24/15 18:25:00.0	0.00	60.948	71.600	-0.1988	0.0000	68.185	68.013	0.1830	50.6	4.363
04/24/15 18:30:00.0	0.00	60.861	72.000	-0.1988	0.0000	67.971	67.798	0.1830	50.6	4.363
04/24/15 18:35:00.0	0.00	60.904	71.900	-0.1988	0.0000	67.798	67.543	0.1830	46.9	4.357
04/24/15 18:40:00.0	0.00	60.904	72.300	-0.1988	0.0000	67.586	67.329	0.1830	35.6	4.351
