"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10374975, SEN S/N: 10359296)","RH, % (LGR S/N: 10374975, SEN S/N: 10359296)","DewPt, °C (LGR S/N: 10374975, SEN S/N: 10359296)","Voltage, V (LGR S/N: 10374975, SEN S/N: 10363572)","Current, mA (LGR S/N: 10374975, SEN S/N: 10363572)","Temp, °C (LGR S/N: 10374975, SEN S/N: 10365544, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374975, SEN S/N: 10365599, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374975, SEN S/N: 10374517)","Wetness, % (LGR S/N: 10374975, SEN S/N: 10374908)","Solar Radiation, W/m² (LGR S/N: 10374975, SEN S/N: 10375653)","Batt, V (LGR S/N: 10374975)"
1,2014-04-04 10:15:00,17.272,66.900,11.1,-0.1988,0.0000,13.329,13.329,0.1219,2.35,220.6,4.363
2,2014-04-04 10:20:00,17.272,66.600,11.0,-0.1988,0.0000,13.377,13.401,0.1242,2.94,228.1,4.406
3,2014-04-04 10:25:00,17.391,65.700,10.9,-0.1988,0.0000,13.425,13.473,0.1242,2.94,243.1,4.387
4,2014-04-04 10:30:00,17.415,63.200,10.4,-0.1988,0.0000,13.473,13.546,0.1242,2.35,241.9,4.369
5,2014-04-04 10:35:00,17.201,62.900,10.1,-0.1988,0.0000,13.497,13.618,0.1242,2.35,218.1,4.363
6,2014-04-04 10:40:00,17.296,63.900,10.4,-0.1988,0.0000,13.570,13.690,0.1242,2.35,201.9,4.357
7,2014-04-04 10:45:00,17.510,64.100,10.7,-0.1988,0.0000,13.594,13.738,0.1242,2.35,204.4,4.351
8,2014-04-04 10:50:00,17.891,62.700,10.7,-0.1988,0.0000,13.642,13.786,0.1242,2.35,205.6,4.381
9,2014-04-04 10:55:00,17.867,62.600,10.6,-0.1988,0.0000,13.690,13.858,0.1242,2.35,203.1,4.363
10,2014-04-04 11:00:00,17.653,62.800,10.5,-0.1988,0.0000,13.738,13.906,0.1242,2.35,209.4,4.363
11,2014-04-04 11:05:00,18.533,61.800,11.1,-0.1988,0.0000,13.786,13.954,0.1242,2.35,188.1,4.357
12,2014-04-04 11:10:00,18.105,59.500,10.1,-0.1988,0.0000,13.810,14.026,0.1242,2.35,195.6,4.393
13,2014-04-04 11:15:00,19.127,58.900,10.9,-0.1988,0.0000,13.858,14.050,0.1242,2.35,189.4,4.369
14,2014-04-04 11:20:00,17.486,59.200,9.5,-0.1988,0.0000,13.882,14.098,0.1242,2.35,213.1,4.363
15,2014-04-04 11:25:00,18.985,60.300,11.1,-0.1988,0.0000,13.930,14.146,0.1242,2.35,243.1,4.363
16,2014-04-04 11:30:00,18.818,56.700,10.1,-0.1988,0.0000,13.954,14.218,0.1242,2.35,183.1,4.351
17,2014-04-04 11:35:00,19.436,56.900,10.7,-0.1988,0.0000,14.002,14.290,0.1242,2.35,181.9,4.393
18,2014-04-04 11:40:00,18.366,55.000,9.2,-0.1988,0.0000,14.050,14.337,0.1242,2.35,451.9,4.363
19,2014-04-04 11:45:00,18.390,56.200,9.5,-0.1988,0.0000,14.098,14.385,0.1242,2.35,818.1,4.363
20,2014-04-04 11:50:00,18.580,56.700,9.8,-0.1988,0.0000,14.122,14.409,0.1242,2.35,279.4,4.357
21,2014-04-04 11:55:00,19.960,57.100,11.2,-0.1988,0.0000,14.146,14.433,0.1242,2.35,771.9,4.393
22,2014-04-04 12:00:00,20.150,55.300,10.9,-0.1988,0.0000,14.194,14.505,0.1242,2.94,861.9,4.369
23,2014-04-04 12:05:00,20.246,55.800,11.2,-0.1988,0.0000,14.218,14.577,0.1242,2.94,694.4,4.363
24,2014-04-04 12:10:00,20.579,54.900,11.2,-0.1988,0.0000,14.266,14.673,0.1242,2.94,241.9,4.357
25,2014-04-04 12:15:00,20.889,54.200,11.3,-0.1988,0.0000,14.314,14.768,0.1242,2.94,518.1,4.351
26,2014-04-04 12:20:00,19.318,54.900,10.0,-0.1988,0.0000,14.361,14.864,0.1242,2.94,484.4,4.381
27,2014-04-04 12:25:00,19.508,53.400,9.8,-0.1988,0.0000,14.409,14.936,0.1242,2.94,781.9,4.363
28,2014-04-04 12:30:00,20.079,53.300,10.3,-0.1988,0.0000,14.457,14.984,0.1242,2.94,856.9,4.363
29,2014-04-04 12:35:00,19.722,52.600,9.8,-0.1988,0.0000,14.529,15.031,0.1242,2.94,885.6,4.351
30,2014-04-04 12:40:00,20.579,52.400,10.5,-0.1988,0.0000,14.553,15.103,0.1242,2.94,733.1,4.387
31,2014-04-04 12:45:00,21.175,50.600,10.5,-0.1988,0.0000,14.601,15.175,0.1242,2.94,695.6,4.369
32,2014-04-04 12:50:00,19.984,51.300,9.6,-0.1988,0.0000,14.673,15.247,0.1242,2.94,848.1,4.363
33,2014-04-04 12:55:00,21.390,52.500,11.3,-0.1988,0.0000,14.697,15.366,0.1242,2.94,841.9,4.357
34,2014-04-04 13:00:00,20.746,52.900,10.8,-0.1988,0.0000,14.768,15.485,0.1242,2.94,856.9,4.351
35,2014-04-04 13:05:00,21.604,49.400,10.6,-0.1988,0.0000,14.816,15.605,0.1242,2.94,925.6,4.393
36,2014-04-04 13:10:00,19.389,47.700,8.0,-0.1988,0.0000,14.888,15.724,0.1242,2.94,759.4,4.363
37,2014-04-04 13:15:00,18.818,49.000,7.9,-0.1988,0.0000,14.984,15.796,0.1242,2.35,743.1,4.363
