"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10374975, SEN S/N: 10359296)","RH, % (LGR S/N: 10374975, SEN S/N: 10359296)","DewPt, °C (LGR S/N: 10374975, SEN S/N: 10359296)","Voltage, V (LGR S/N: 10374975, SEN S/N: 10363572)","Current, mA (LGR S/N: 10374975, SEN S/N: 10363572)","Temp, °C (LGR S/N: 10374975, SEN S/N: 10365544, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10374975, SEN S/N: 10365599, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10374975, SEN S/N: 10374517)","Wetness, % (LGR S/N: 10374975, SEN S/N: 10374908)","Solar Radiation, W/m² (LGR S/N: 10374975, SEN S/N: 10375653)","Batt, V (LGR S/N: 10374975)"
1,2014-05-16 11:45:00,35.582,14.600,4.6,-0.1988,0.0000,24.146,25.768,0.0224,1.76,109.4,4.327
2,2014-05-16 11:50:00,36.200,15.000,5.5,-0.1988,0.0000,24.171,25.817,0.0224,1.76,110.6,4.333
3,2014-05-16 11:55:00,36.200,14.500,5.0,-0.1988,0.0000,24.219,25.866,0.0224,1.76,374.4,4.333
4,2014-05-16 12:00:00,35.770,18.900,8.5,-0.1988,0.0000,24.243,25.890,0.0224,1.76,935.6,4.339
5,2014-05-16 12:05:00,35.022,21.400,9.7,-0.1988,0.0000,24.291,25.939,0.0224,2.35,950.6,4.345
6,2014-05-16 12:10:00,34.863,22.300,10.2,-0.1988,0.0000,24.315,26.012,0.0224,2.94,951.9,4.345
7,2014-05-16 12:15:00,34.071,23.700,10.5,-0.1988,0.0000,24.363,26.158,0.0224,2.94,954.4,4.345
8,2014-05-16 12:20:00,33.809,25.100,11.1,-0.1988,0.0000,24.412,26.329,0.0224,2.94,966.9,4.351
9,2014-05-16 12:25:00,34.308,25.300,11.6,-0.1988,0.0000,24.508,26.524,0.0224,2.94,985.6,4.351
10,2014-05-16 12:30:00,33.469,26.200,11.5,-0.1988,0.0000,24.605,26.671,0.0228,2.94,989.4,4.351
