Date Time	Wetness (%)  #10314901	Voltage (V)  #10348619	Current (mA)  #10348619	Temp (°F)  #10359306	RH (%)  #10359306	1 cm Temp (°F)	5 cm Temp (°F)	Water Content (m³/m³)  #10374512	Solar Radiation (W/m²)  #10375656	Batt (V) c:5
06/02/15 15:25:00.0	2.94	-0.1988	0.0063	80.935	51.000	84.812	86.301	0.0816	814.4	4.339
06/02/15 15:30:00.0	2.94	-0.1988	0.0063	80.272	52.500	85.082	86.617	0.0822	508.1	4.351
06/02/15 15:35:00.0	2.94	-0.1988	0.0063	79.963	52.500	85.352	86.936	0.0829	250.6	4.357
06/02/15 15:40:00.0	2.94	-0.1988	0.0063	79.084	53.100	85.622	87.210	0.0829	759.4	4.363
06/02/15 15:45:00.0	2.35	-0.1988	0.0063	78.471	54.000	85.894	87.436	0.0829	120.6	4.363
06/02/15 15:50:00.0	2.35	-0.1988	0.0063	78.208	54.900	86.119	87.665	0.0829	309.4	4.351
06/02/15 15:55:00.0	2.35	-0.1988	0.0063	78.076	54.800	86.346	87.894	0.0829	111.9	4.351
06/02/15 16:00:00.0	2.35	-0.1988	0.0063	77.859	55.100	86.572	88.122	0.0829	259.4	4.351
06/02/15 16:05:00.0	2.35	-0.1988	0.0063	78.165	54.900	86.754	88.306	0.0835	159.4	4.363
06/02/15 16:10:00.0	2.35	-0.1988	0.0063	77.247	55.600	86.936	88.488	0.0835	634.4	4.363
06/02/15 16:15:00.0	2.35	-0.1988	0.0063	76.681	56.600	87.073	88.626	0.0835	148.1	4.363
06/02/15 16:20:00.0	2.35	-0.1988	0.0063	76.986	56.400	87.210	88.763	0.0841	99.4	4.357
06/02/15 16:25:00.0	1.76	-0.1988	0.0063	76.464	57.000	87.346	88.855	0.0841	450.6	4.351
06/02/15 16:30:00.0	1.76	-0.1988	0.0063	76.114	57.500	87.436	88.902	0.0844	331.9	4.363
06/02/15 16:35:00.0	1.76	-0.1988	0.0063	76.028	57.900	87.528	88.993	0.0844	599.4	4.363
06/02/15 16:40:00.0	2.35	-0.1988	0.0063	76.203	57.000	87.573	89.040	0.0844	580.6	4.363
06/02/15 16:45:00.0	2.35	-0.1988	0.0063	76.071	57.600	87.665	89.085	0.0844	363.1	4.357
06/02/15 16:50:00.0	1.76	-0.1988	0.0063	75.551	57.900	87.665	89.085	0.0850	78.1	4.357
06/02/15 16:55:00.0	1.76	-0.1988	0.0063	75.594	57.900	87.710	89.085	0.0850	74.4	4.357
06/02/15 17:00:00.0	1.76	-0.1988	0.0063	75.160	58.500	87.710	89.085	0.0850	70.6	4.363
06/02/15 17:05:00.0	1.76	-0.1988	0.0063	74.683	59.100	87.710	89.040	0.0850	66.9	4.363
06/02/15 17:10:00.0	1.76	-0.1988	0.0063	74.899	59.100	87.710	89.040	0.0857	64.4	4.363
06/02/15 17:15:00.0	1.76	-0.1988	0.0063	74.683	59.600	87.710	88.993	0.0857	61.9	4.363
06/02/15 17:20:00.0	1.18	-0.1988	0.0063	73.990	60.600	87.665	88.947	0.0850	59.4	4.351
06/02/15 17:25:00.0	1.76	-0.1988	0.0063	74.338	60.200	87.620	88.855	0.0857	58.1	4.363
