Date Time	Voltage (V)  #10200842	Current (mA)  #10200842	Temp (°F)  #10213638	RH (%)  #10213638	Wetness (%)  #10314897	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10374519	Solar Radiation (W/m²)  #10375646	Batt (V) c:5
05/01/15 14:50:00.0	-0.2039	0.0000	93.328	25.900	4.12	71.060	72.739	0.0829	885.6	4.406
05/01/15 14:55:00.0	-0.2039	0.0000	93.139	25.000	3.53	71.103	72.739	0.0835	880.6	4.381
05/01/15 15:00:00.0	-0.2039	0.0000	92.620	23.500	3.53	71.146	72.739	0.0829	866.9	4.363
05/01/15 15:05:00.0	-0.2039	0.0000	92.338	23.100	3.53	71.146	72.739	0.0829	838.1	4.357
05/01/15 15:10:00.0	-0.2039	0.0000	92.574	22.900	4.12	71.190	72.739	0.0829	845.6	4.345
05/01/15 15:15:00.0	-0.2039	0.0000	92.620	22.800	4.12	71.190	72.696	0.0829	830.6	4.436
05/01/15 15:20:00.0	-0.2039	0.0000	92.527	21.700	3.53	71.190	72.696	0.0829	821.9	4.393
05/01/15 15:25:00.0	-0.2039	0.0000	92.104	22.700	3.53	71.231	72.696	0.0835	810.6	4.375
05/01/15 15:30:00.0	-0.2039	0.0000	93.045	22.900	3.53	71.231	72.653	0.0829	800.6	4.363
05/01/15 15:35:00.0	-0.2039	0.0000	91.683	22.300	3.53	71.231	72.610	0.0829	785.6	4.357
05/01/15 15:40:00.0	-0.2039	0.0000	90.936	22.200	3.53	71.231	72.567	0.0829	780.6	4.345
05/01/15 15:45:00.0	-0.2039	0.0000	91.495	23.200	3.53	71.231	72.523	0.0829	736.9	4.400
05/01/15 15:50:00.0	-0.2039	0.0000	91.402	23.100	3.53	71.190	72.480	0.0829	624.4	4.381
05/01/15 15:55:00.0	-0.2039	0.0000	90.565	24.000	2.94	71.190	72.437	0.0829	590.6	4.363
05/01/15 16:00:00.0	-0.2039	0.0000	89.776	24.000	2.94	71.190	72.394	0.0822	545.6	4.357
05/01/15 16:05:00.0	-0.2039	0.0000	88.763	24.100	2.94	71.190	72.307	0.0822	121.9	4.351
05/01/15 16:10:00.0	-0.2039	0.0000	87.620	26.000	2.35	71.190	72.264	0.0822	104.4	4.393
05/01/15 16:15:00.0	-0.2039	0.0000	86.709	26.300	1.76	71.146	72.178	0.0822	98.1	4.381
05/01/15 16:20:00.0	-0.2039	0.0000	84.094	25.300	1.18	71.103	72.136	0.0822	96.9	4.369
05/01/15 16:25:00.0	-0.2039	0.0000	82.753	26.300	1.18	71.103	72.050	0.0822	109.4	4.363
05/01/15 16:30:00.0	-0.2039	0.0000	82.708	25.800	1.18	71.060	71.920	0.0822	114.4	4.351
05/01/15 16:35:00.0	-0.2039	0.0000	82.976	26.400	1.18	71.017	71.834	0.0816	121.9	4.363
05/01/15 16:40:00.0	-0.2039	0.0000	82.353	25.800	1.18	70.930	71.704	0.0816	114.4	4.381
05/01/15 16:45:00.0	-0.2039	0.0000	81.154	26.500	0.59	70.887	71.620	0.0816	106.9	4.381
05/01/15 16:50:00.0	-0.2039	0.0000	80.096	28.200	0.59	70.846	71.533	0.0816	95.6	4.369
05/01/15 16:55:00.0	-0.2039	0.0000	79.876	29.000	0.59	70.803	71.404	0.0816	95.6	4.363
05/01/15 17:00:00.0	-0.2039	0.0000	80.625	28.800	0.59	70.716	71.317	0.0816	88.1	4.357
05/01/15 17:05:00.0	-0.2039	0.0000	80.890	28.200	0.59	70.673	71.231	0.0816	81.9	4.363
05/01/15 17:10:00.0	-0.2039	0.0000	80.845	26.400	0.59	70.587	71.103	0.0810	76.9	4.369
05/01/15 17:15:00.0	-0.2039	0.0000	80.802	26.100	0.59	70.543	71.017	0.0816	73.1	4.381
05/01/15 17:20:00.0	-0.2039	0.0000	80.802	26.500	0.59	70.502	70.930	0.0816	68.1	4.375
05/01/15 17:25:00.0	-0.2039	0.0000	80.935	26.900	0.59	70.416	70.846	0.0816	61.9	4.363
05/01/15 17:30:00.0	-0.2039	0.0000	80.713	26.800	0.59	70.372	70.803	0.0810	55.6	4.363
05/01/15 17:35:00.0	-0.2039	0.0000	80.184	27.300	0.59	70.329	70.716	0.0810	49.4	4.357
05/01/15 17:40:00.0	-0.2039	0.0000	80.051	27.700	0.59	70.286	70.673	0.0810	43.1	4.363
05/01/15 17:45:00.0	-0.2039	0.0000	79.655	27.900	0.59	70.243	70.587	0.0810	39.4	4.357
05/01/15 17:50:00.0	-0.2039	0.0000	79.304	28.400	0.59	70.158	70.502	0.0810	35.6	4.357
05/01/15 17:55:00.0	-0.2039	0.0000	79.041	28.700	0.59	70.158	70.459	0.0803	33.1	4.357
05/01/15 18:00:00.0	-0.2039	0.0000	78.339	29.400	0.59	70.072	70.416	0.0810	31.9	4.351
05/01/15 18:05:00.0	-0.2039	0.0000	78.251	29.300	0.59	70.072	70.329	0.0803	29.4	4.351
05/01/15 18:10:00.0	-0.2039	0.0000	77.945	29.900	0.59	69.985	70.286	0.0810	28.1	4.351
05/01/15 18:15:00.0	-0.2039	0.0000	77.553	30.700	0.59	69.985	70.243	0.0810	26.9	4.345
05/01/15 18:20:00.0	-0.2039	0.0000	76.681	31.300	0.59	69.942	70.201	0.0810	25.6	4.345
05/01/15 18:25:00.0	-0.2039	0.0000	76.593	31.600	0.59	69.901	70.115	0.0803	24.4	4.339
05/01/15 18:30:00.0	-0.2039	0.0000	76.550	32.600	0.59	69.858	70.072	0.0803	23.1	4.339
05/01/15 18:35:00.0	-0.2039	0.0000	76.028	32.800	0.00	69.814	70.029	0.0803	20.6	4.339
05/01/15 18:40:00.0	-0.2039	0.0000	75.463	33.500	0.59	69.771	69.942	0.0803	20.6	4.339
05/01/15 18:45:00.0	-0.2039	0.0000	75.333	33.800	0.00	69.728	69.901	0.0803	19.4	4.339
05/01/15 18:50:00.0	-0.2039	0.0000	74.986	34.400	0.59	69.685	69.814	0.0803	18.1	4.333
05/01/15 18:55:00.0	-0.2039	0.0000	74.727	34.200	0.00	69.643	69.771	0.0803	16.9	4.333
05/01/15 19:00:00.0	-0.2039	0.0000	74.554	34.500	0.59	69.600	69.728	0.0803	14.4	4.333
05/01/15 19:05:00.0	-0.2039	0.0000	74.467	34.700	0.00	69.557	69.643	0.0803	13.1	4.333
05/01/15 19:10:00.0	-0.2039	0.0000	73.990	35.400	0.00	69.514	69.600	0.0797	11.9	4.327
05/01/15 19:15:00.0	-0.2039	0.0000	73.818	35.600	0.00	69.471	69.514	0.0797	9.4	4.327
05/01/15 19:20:00.0	-0.2039	0.0000	73.429	36.400	0.00	69.427	69.471	0.0803	6.9	4.327
