"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214685, SEN S/N: 10200840, LBL: Collaboratory)","Current, mA (LGR S/N: 10214685, SEN S/N: 10200840, LBL: Collaboratory)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10213635, LBL: Collaboratory)","RH, % (LGR S/N: 10214685, SEN S/N: 10213635, LBL: Collaboratory)","DewPt, °C (LGR S/N: 10214685, SEN S/N: 10213635)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10365534, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10365547, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10214685, SEN S/N: 10374524)","Wetness, % (LGR S/N: 10214685, SEN S/N: 10374913)","Solar Radiation, W/m² (LGR S/N: 10214685, SEN S/N: 10378948)","Batt, V (LGR S/N: 10214685)"
1,2013-12-18 12:36:44,-0.1988,0.0000,20.365,53.800,10.7,22.920,24.002,0.0646,0.59,268.1,4.031
2,2013-12-18 12:41:44,-0.1988,0.0000,20.507,53.200,10.7,22.705,23.833,0.0646,1.18,276.9,4.019
3,2013-12-18 12:46:44,-0.1988,0.0000,20.507,53.100,10.6,22.561,23.761,0.0646,1.18,616.9,4.001
4,2013-12-18 12:51:44,-0.1988,0.0000,21.485,52.500,11.4,22.441,23.737,0.0646,1.18,160.6,3.995
5,2013-12-18 12:56:44,-0.1988,0.0000,21.867,50.400,11.1,22.345,23.689,0.0646,1.18,170.6,3.995
6,2013-12-18 13:01:44,-0.1988,0.0000,21.318,50.000,10.5,22.274,23.593,0.0646,1.18,390.6,3.995
7,2013-12-18 13:06:44,-0.1988,0.0000,22.034,49.100,10.9,22.202,23.521,0.0646,1.18,245.6,3.995
8,2013-12-18 13:11:44,-0.1988,0.0000,22.250,47.800,10.7,22.154,23.497,0.0646,1.18,553.1,3.995
9,2013-12-18 13:16:44,-0.1988,0.0000,22.369,44.600,9.7,22.106,23.424,0.0646,1.18,530.6,3.995
10,2013-12-18 13:21:44,-0.1988,0.0000,22.250,44.700,9.7,22.058,23.352,0.0646,1.18,115.6,3.989
11,2013-12-18 13:26:44,-0.1988,0.0000,21.557,45.100,9.2,22.011,23.184,0.0646,0.59,161.9,3.989
12,2013-12-18 13:31:44,-0.1988,0.0000,22.034,44.400,9.4,21.963,23.064,0.0646,1.18,200.6,3.995
13,2013-12-18 13:36:44,-0.1988,0.0000,22.154,43.700,9.2,21.915,23.016,0.0646,1.18,229.4,3.995
14,2013-12-18 13:41:44,-0.1988,0.0000,22.106,43.200,9.0,21.867,22.944,0.0639,1.18,174.4,3.995
15,2013-12-18 13:46:44,-0.1988,0.0000,21.795,45.300,9.5,21.819,22.896,0.0639,1.18,109.4,3.989
16,2013-12-18 13:51:44,-0.1988,0.0000,21.509,46.000,9.4,21.795,22.776,0.0639,0.59,483.1,3.995
17,2013-12-18 13:56:44,-0.1988,0.0000,21.915,46.000,9.8,21.748,22.705,0.0639,0.59,145.6,3.995
18,2013-12-18 14:01:44,-0.1988,0.0000,21.461,47.400,9.8,21.700,22.681,0.0639,0.59,481.9,3.995
19,2013-12-18 14:06:44,-0.1988,0.0000,21.867,48.100,10.4,21.652,22.609,0.0639,1.18,175.6,3.995
20,2013-12-18 14:11:44,-0.1988,0.0000,21.366,49.400,10.4,21.628,22.585,0.0639,1.18,186.9,3.995
21,2013-12-18 14:16:44,-0.1988,0.0000,21.223,50.700,10.6,21.604,22.513,0.0639,1.18,151.9,3.995
22,2013-12-18 14:21:44,-0.1988,0.0000,21.270,50.300,10.5,21.557,22.417,0.0639,1.18,191.9,3.995
23,2013-12-18 14:26:44,-0.1988,0.0000,21.032,51.600,10.7,21.533,22.345,0.0632,0.59,158.1,3.995
24,2013-12-18 14:31:44,-0.1988,0.0000,20.770,52.400,10.7,21.485,22.250,0.0639,0.59,120.6,3.995
