"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214685, SEN S/N: 10200840, LBL: Collaboratory)","Current, mA (LGR S/N: 10214685, SEN S/N: 10200840, LBL: Collaboratory)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10213635, LBL: Collaboratory)","RH, % (LGR S/N: 10214685, SEN S/N: 10213635, LBL: Collaboratory)","DewPt, °C (LGR S/N: 10214685, SEN S/N: 10213635)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10365534, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214685, SEN S/N: 10365547, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10214685, SEN S/N: 10374524)","Wetness, % (LGR S/N: 10214685, SEN S/N: 10374913)","Solar Radiation, W/m² (LGR S/N: 10214685, SEN S/N: 10378948)","Batt, V (LGR S/N: 10214685)"
1,2014-04-25 11:06:44,-0.1988,0.0000,21.724,51.500,11.3,24.098,26.965,0.1375,1.18,403.1,4.333
2,2014-04-25 11:11:44,-0.1988,0.0000,21.413,51.000,10.9,24.291,27.136,0.1382,1.18,556.9,4.339
3,2014-04-25 11:16:44,-0.1988,0.0000,21.413,51.300,11.0,24.460,27.284,0.1382,0.59,383.1,4.333
4,2014-04-25 11:21:44,-0.1988,0.0000,21.915,50.100,11.1,24.605,27.382,0.1382,1.18,568.1,4.393
5,2014-04-25 11:26:44,-0.1988,0.0000,21.127,51.500,10.8,24.750,27.481,0.1382,1.18,618.1,4.369
6,2014-04-25 11:31:44,-0.1988,0.0000,21.604,51.100,11.1,24.871,27.554,0.1375,1.18,371.9,4.363
7,2014-04-25 11:36:44,-0.1988,0.0000,21.413,51.100,10.9,24.992,27.628,0.1375,1.18,406.9,4.357
8,2014-04-25 11:41:44,-0.1988,0.0000,22.321,50.000,11.4,25.113,27.702,0.1382,1.76,989.4,4.351
9,2014-04-25 11:46:44,-0.1988,0.0000,22.729,48.900,11.5,25.210,27.776,0.1382,1.18,1008.1,4.345
10,2014-04-25 11:51:44,-0.1988,0.0000,22.800,48.700,11.5,25.283,27.899,0.1382,1.76,908.1,4.381
11,2014-04-25 11:56:44,-0.1988,0.0000,23.208,47.600,11.5,25.404,28.097,0.1382,1.18,431.9,4.369
12,2014-04-25 12:01:44,-0.1988,0.0000,23.352,47.900,11.7,25.501,28.270,0.1382,1.18,449.4,4.363
13,2014-04-25 12:06:44,-0.1988,0.0000,23.184,47.500,11.4,25.623,28.444,0.1382,1.18,380.6,4.357
14,2014-04-25 12:11:44,-0.1988,0.0000,22.465,48.800,11.2,25.744,28.518,0.1382,1.18,286.9,4.351
15,2014-04-25 12:16:44,-0.1988,0.0000,21.628,50.100,10.8,25.841,28.593,0.1382,0.59,318.1,4.369
16,2014-04-25 12:21:44,-0.1988,0.0000,21.413,50.900,10.8,25.939,28.593,0.1382,0.59,284.4,4.357
17,2014-04-25 12:26:44,-0.1988,0.0000,21.987,50.600,11.3,26.012,28.568,0.1382,0.59,336.9,4.369
18,2014-04-25 12:31:44,-0.1988,0.0000,21.604,50.900,11.0,26.085,28.518,0.1382,0.59,660.6,4.357
19,2014-04-25 12:36:44,-0.1988,0.0000,22.944,49.600,11.9,26.134,28.468,0.1375,1.18,1056.9,4.363
20,2014-04-25 12:41:44,-0.1988,0.0000,23.497,48.500,12.0,26.158,28.419,0.1382,1.18,338.1,4.345
21,2014-04-25 12:46:44,-0.1988,0.0000,21.963,50.500,11.2,26.182,28.468,0.1382,1.18,639.4,4.466
22,2014-04-25 12:51:44,-0.1988,0.0000,22.154,50.700,11.5,26.231,28.543,0.1375,0.59,236.9,4.375
23,2014-04-25 12:56:44,-0.1988,0.0000,21.437,51.900,11.2,26.280,28.617,0.1382,0.59,236.9,4.363
24,2014-04-25 13:01:44,-0.1988,0.0000,20.865,53.500,11.1,26.329,28.642,0.1375,0.59,149.4,4.363
25,2014-04-25 13:06:44,-0.1988,0.0000,20.603,55.100,11.3,26.378,28.642,0.1375,0.59,200.6,4.351
26,2014-04-25 13:11:44,-0.1988,0.0000,20.365,57.400,11.7,26.426,28.593,0.1375,0.59,223.1,4.351
27,2014-04-25 13:16:44,-0.1988,0.0000,20.007,58.900,11.7,26.451,28.518,0.1375,0.59,223.1,4.381
28,2014-04-25 13:21:44,-0.1988,0.0000,20.293,58.800,12.0,26.451,28.394,0.1375,0.59,203.1,4.363
29,2014-04-25 13:26:44,-0.1988,0.0000,20.293,58.000,11.8,26.451,28.270,0.1375,0.59,204.4,4.357
30,2014-04-25 13:31:44,-0.1988,0.0000,20.412,57.800,11.8,26.426,28.171,0.1375,0.59,253.1,4.351
31,2014-04-25 13:36:44,-0.1988,0.0000,20.627,58.100,12.1,26.402,28.048,0.1370,0.59,206.9,4.345
32,2014-04-25 13:41:44,-0.1988,0.0000,20.484,56.400,11.5,26.378,27.924,0.1370,0.59,308.1,4.387
33,2014-04-25 13:46:44,-0.1988,0.0000,20.555,56.500,11.6,26.353,27.825,0.1375,0.59,304.4,4.369
34,2014-04-25 13:51:44,-0.1988,0.0000,20.936,55.400,11.7,26.304,27.727,0.1375,0.59,254.4,4.363
35,2014-04-25 13:56:44,-0.1988,0.0000,20.793,55.300,11.5,26.280,27.653,0.1370,0.59,181.9,4.357
36,2014-04-25 14:01:44,-0.1988,0.0000,20.412,55.900,11.3,26.231,27.604,0.1370,0.59,224.4,4.351
37,2014-04-25 14:06:44,-0.1988,0.0000,20.746,57.100,12.0,26.207,27.530,0.1370,0.59,380.6,4.369
38,2014-04-25 14:11:44,-0.1988,0.0000,20.817,56.500,11.9,26.158,27.456,0.1370,0.59,264.4,4.369
39,2014-04-25 14:16:44,-0.1988,0.0000,20.579,55.200,11.3,26.134,27.407,0.1370,0.59,208.1,4.363
40,2014-04-25 14:21:44,-0.1988,0.0000,20.055,56.700,11.2,26.109,27.358,0.1370,0.59,218.1,4.357
41,2014-04-25 14:26:44,-0.1988,0.0000,20.007,56.400,11.1,26.061,27.308,0.1370,0.59,209.4,4.351
42,2014-04-25 14:31:44,-0.1988,0.0000,20.222,56.400,11.3,26.036,27.259,0.1370,0.59,244.4,4.369
