"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10214686, SEN S/N: 10200841)","Current, mA (LGR S/N: 10214686, SEN S/N: 10200841)","Wetness, % (LGR S/N: 10214686, SEN S/N: 10205910)","Solar Radiation, W/m² (LGR S/N: 10214686, SEN S/N: 10208648)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213639)","RH, % (LGR S/N: 10214686, SEN S/N: 10213639)","DewPt, °C (LGR S/N: 10214686, SEN S/N: 10213639)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213734, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213735, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10214686, SEN S/N: 10222877)","Batt, V (LGR S/N: 10214686)"
1,2013-10-10 08:20:00,-0.2039,0.0000,1.76,386.9,14.936,67.100,8.9,14.266,14.768,0.0328,4.400
2,2013-10-10 08:25:00,-0.2039,0.0000,1.18,400.6,15.223,66.900,9.1,14.314,14.792,0.0332,4.393
3,2013-10-10 08:30:00,-0.2039,0.0000,1.18,416.9,15.438,65.900,9.1,14.337,14.816,0.0328,4.381
4,2013-10-10 08:35:00,-0.2039,0.0000,1.18,430.6,15.724,65.000,9.2,14.409,14.840,0.0332,4.375
5,2013-10-10 08:40:00,-0.2039,0.0000,0.59,443.1,15.605,65.400,9.2,14.457,14.888,0.0332,4.430
6,2013-10-10 08:45:00,-0.2039,0.0000,0.59,459.4,15.652,63.400,8.7,14.505,14.912,0.0332,4.400
7,2013-10-10 08:50:00,-0.2039,0.0000,0.59,470.6,16.058,63.600,9.2,14.553,14.936,0.0332,4.393
8,2013-10-10 08:55:00,-0.2039,0.0000,1.18,484.4,16.773,61.900,9.4,14.601,14.984,0.0332,4.387
9,2013-10-10 09:00:00,-0.2039,0.0000,1.18,496.9,17.011,61.100,9.5,14.649,15.031,0.0332,4.381
10,2013-10-10 09:05:00,-0.1988,0.0000,1.18,511.9,17.177,58.900,9.1,14.697,15.055,0.0332,4.400
11,2013-10-10 09:10:00,-0.2039,0.0000,1.18,521.9,16.558,60.300,8.9,14.745,15.103,0.0332,4.400
12,2013-10-10 09:15:00,-0.1988,0.0000,1.18,535.6,16.796,57.800,8.5,14.792,15.127,0.0332,4.393
13,2013-10-10 09:20:00,-0.2039,0.0000,1.18,541.9,17.368,56.800,8.7,14.840,15.175,0.0332,4.381
14,2013-10-10 09:25:00,-0.2039,0.0000,1.18,548.1,17.748,57.100,9.2,14.912,15.223,0.0332,4.375
15,2013-10-10 09:30:00,-0.1988,0.0000,0.59,565.6,17.320,56.000,8.5,14.960,15.270,0.0332,4.369
16,2013-10-10 09:35:00,-0.1988,0.0000,1.18,578.1,18.105,57.200,9.5,15.008,15.294,0.0341,4.412
