"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10221049, SEN S/N: 10200136)","Voltage, V (LGR S/N: 10221049, SEN S/N: 10200856)","Current, mA (LGR S/N: 10221049, SEN S/N: 10200856)","Wetness, % (LGR S/N: 10221049, SEN S/N: 10205909)","Temp, °C (LGR S/N: 10221049, SEN S/N: 10213641)","RH, % (LGR S/N: 10221049, SEN S/N: 10213641)","DewPt, °C (LGR S/N: 10221049, SEN S/N: 10213641)","Temp, °C (LGR S/N: 10221049, SEN S/N: 10213736, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10221049, SEN S/N: 10213737, LBL: 1 cm deep)","Water Content, m³/m³ (LGR S/N: 10221049, SEN S/N: 10222872)","Batt, V (LGR S/N: 10221049)"
1,2014-08-27 18:40:02,9.4,-0.2039,0.0000,1.76,28.196,32.100,10.0,24.944,24.702,0.0955,4.303
2,2014-08-27 18:45:02,8.1,-0.2039,0.0000,1.76,27.998,32.400,10.0,24.895,24.629,0.0955,4.321
3,2014-08-27 18:50:02,6.9,-0.2039,0.0000,2.35,27.727,32.700,9.9,24.847,24.508,0.0955,4.321
4,2014-08-27 18:55:02,5.6,-0.2039,0.0000,1.76,27.456,34.100,10.3,24.798,24.388,0.0955,4.321
5,2014-08-27 19:00:02,5.6,-0.2039,0.0000,1.76,27.333,34.200,10.2,24.750,24.291,0.0955,4.321
6,2014-08-27 19:05:02,4.4,-0.2039,0.0000,1.76,27.210,34.800,10.3,24.702,24.195,0.0949,4.321
7,2014-08-27 19:10:02,3.1,-0.2039,0.0000,1.76,27.014,35.800,10.6,24.653,24.122,0.0955,4.321
8,2014-08-27 19:15:02,3.1,-0.2039,0.0000,1.76,26.867,36.600,10.8,24.605,24.050,0.0955,4.321
9,2014-08-27 19:20:02,0.6,-0.2039,0.0000,1.76,26.695,35.700,10.3,24.557,23.978,0.0955,4.321
10,2014-08-27 19:25:02,0.6,-0.2039,0.0000,1.76,26.329,36.900,10.5,24.508,23.905,0.0949,4.321
11,2014-08-27 19:30:02,0.6,-0.2039,0.0000,1.76,26.085,38.300,10.8,24.460,23.809,0.0955,4.321
12,2014-08-27 19:35:02,0.6,-0.2039,0.0000,1.76,25.866,40.000,11.3,24.412,23.713,0.0949,4.321
13,2014-08-27 19:40:02,0.6,-0.2039,0.0000,1.76,25.671,41.000,11.5,24.363,23.641,0.0949,4.321
14,2014-08-27 19:45:02,0.6,-0.2039,0.0000,1.76,25.550,41.500,11.5,24.315,23.593,0.0949,4.321
15,2014-08-27 19:50:02,0.6,-0.2039,0.0000,1.76,25.453,42.800,11.9,24.267,23.521,0.0949,4.321
16,2014-08-27 19:55:02,0.6,-0.2039,0.0000,1.76,25.404,43.800,12.2,24.243,23.472,0.0949,4.321
17,2014-08-27 20:00:02,0.6,-0.2039,0.0000,1.76,25.283,45.000,12.5,24.195,23.424,0.0949,4.321
18,2014-08-27 20:05:02,0.6,-0.2039,0.0000,1.76,25.186,45.600,12.6,24.146,23.376,0.0949,4.345
19,2014-08-27 20:10:02,0.6,-0.2039,0.0000,1.76,25.089,46.300,12.8,24.122,23.352,0.0943,4.321
20,2014-08-27 20:15:02,0.6,-0.2039,0.0000,1.76,24.968,46.800,12.8,24.074,23.304,0.0949,4.321
21,2014-08-27 20:20:02,0.6,-0.2039,0.0000,1.76,24.871,47.500,13.0,24.026,23.232,0.0949,4.321
22,2014-08-27 20:25:02,0.6,-0.2039,0.0000,1.76,24.871,47.900,13.1,24.002,23.184,0.0943,4.321
23,2014-08-27 20:30:02,0.6,-0.2039,0.0000,1.76,24.895,48.100,13.2,23.954,23.136,0.0949,4.321
24,2014-08-27 20:35:02,0.6,-0.2039,0.0000,1.76,24.823,48.700,13.3,23.930,23.088,0.0943,4.321
25,2014-08-27 20:40:02,0.6,-0.2039,0.0000,1.76,24.653,49.700,13.5,23.905,23.088,0.0943,4.321
26,2014-08-27 20:45:02,0.6,-0.2039,0.0000,1.76,24.557,50.800,13.7,23.857,23.064,0.0943,4.321
27,2014-08-27 20:50:02,0.6,-0.2039,0.0000,1.76,24.436,51.600,13.8,23.833,23.040,0.0943,4.321
28,2014-08-27 20:55:02,0.6,-0.2039,0.0000,1.76,24.291,53.200,14.2,23.809,23.016,0.0943,4.321
29,2014-08-27 21:00:02,0.6,-0.2039,0.0000,2.35,24.171,54.400,14.4,23.785,22.992,0.0943,4.321
30,2014-08-27 21:05:02,0.6,-0.2039,0.0000,1.76,24.098,54.700,14.4,23.761,22.968,0.0943,4.321
31,2014-08-27 21:10:02,0.6,-0.2039,0.0000,1.76,24.050,55.200,14.5,23.737,22.944,0.0943,4.321
32,2014-08-27 21:15:02,0.6,-0.2039,0.0000,2.35,23.954,55.900,14.6,23.713,22.920,0.0943,4.321
33,2014-08-27 21:20:02,0.6,-0.2039,0.0000,2.35,23.833,56.400,14.7,23.689,22.896,0.0943,4.321
34,2014-08-27 21:25:02,0.6,-0.2039,0.0000,2.35,23.713,57.300,14.8,23.665,22.872,0.0943,4.321
35,2014-08-27 21:30:02,0.6,-0.2039,0.0000,2.35,23.617,58.400,15.0,23.641,22.848,0.0937,4.333
36,2014-08-27 21:35:02,0.6,-0.2039,0.0000,2.35,23.521,58.500,14.9,23.617,22.824,0.0943,4.321
37,2014-08-27 21:40:02,0.6,-0.2039,0.0000,2.35,23.424,58.800,14.9,23.593,22.800,0.0937,4.321
38,2014-08-27 21:45:02,0.6,-0.2039,0.0000,2.35,23.472,58.900,15.0,23.569,22.753,0.0937,4.321
39,2014-08-27 21:50:02,0.6,-0.2039,0.0000,2.35,23.472,59.700,15.2,23.545,22.681,0.0937,4.321
40,2014-08-27 21:55:02,0.6,-0.2039,0.0000,2.35,23.376,60.800,15.4,23.521,22.633,0.0943,4.321
41,2014-08-27 22:00:02,0.6,-0.2039,0.0000,2.35,23.256,61.800,15.5,23.497,22.609,0.0937,4.321
42,2014-08-27 22:05:02,0.6,-0.2039,0.0000,2.35,23.184,62.100,15.5,23.472,22.561,0.0937,4.321
43,2014-08-27 22:10:02,0.6,-0.2039,0.0000,2.35,23.112,62.600,15.6,23.448,22.513,0.0937,4.321
