Date Time	Solar Radiation (W/m²)  #10200132	Voltage (V)  #10200844	Current (mA)  #10200844	Wetness (%)  #10205907	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Temp (°F)  #10359305	RH (%)  #10359305	Water Content (m³/m³)  #10465840	Batt (V) c:5
06/02/15 12:25:00.0	938.1	-0.1988	0.0000	1.76	75.376	84.227	75.463	62.400	0.2430	4.381
06/02/15 12:30:00.0	928.1	-0.1988	0.0000	1.76	75.985	85.035	74.727	61.700	0.2434	4.369
06/02/15 12:35:00.0	940.6	-0.1988	0.0000	2.35	76.507	85.849	75.637	61.900	0.2430	4.363
06/02/15 12:40:00.0	943.1	-0.1988	0.0000	1.76	77.072	86.617	76.071	60.000	0.2434	4.357
06/02/15 12:45:00.0	945.6	-0.1988	0.0000	1.76	77.553	87.391	74.770	61.600	0.2437	4.351
06/02/15 12:50:00.0	946.9	-0.1988	0.0000	1.76	78.076	88.122	75.204	60.800	0.2434	4.345
06/02/15 12:55:00.0	940.6	-0.1988	0.0000	1.76	78.602	88.810	75.637	60.200	0.2437	4.345
06/02/15 13:00:00.0	945.6	-0.1988	0.0000	1.76	79.084	89.546	74.986	60.200	0.2434	4.339
06/02/15 13:05:00.0	938.1	-0.1988	0.0000	1.76	79.567	90.194	74.640	61.700	0.2434	4.339
06/02/15 13:10:00.0	940.6	-0.1988	0.0000	1.76	80.008	90.797	75.160	60.300	0.2434	4.333
06/02/15 13:15:00.0	945.6	-0.1988	0.0000	1.76	80.449	91.402	75.420	60.700	0.2434	4.333
06/02/15 13:20:00.0	948.1	-0.1988	0.0000	1.76	80.890	91.917	76.636	58.200	0.2437	4.400
06/02/15 13:25:00.0	941.9	-0.1988	0.0000	1.76	81.244	92.386	75.074	60.400	0.2434	4.393
06/02/15 13:30:00.0	943.1	-0.1988	0.0000	1.76	81.509	92.667	74.640	60.600	0.2437	4.393
06/02/15 13:35:00.0	940.6	-0.1988	0.0000	1.76	81.775	92.667	74.856	60.200	0.2437	4.381
06/02/15 13:40:00.0	944.4	-0.1988	0.0000	1.76	81.864	92.433	75.290	59.900	0.2437	4.369
06/02/15 13:45:00.0	945.6	-0.1988	0.0000	1.76	81.997	92.057	74.295	61.600	0.2437	4.363
06/02/15 13:50:00.0	938.1	-0.1988	0.0000	1.76	81.997	91.495	73.818	61.200	0.2437	4.363
06/02/15 13:55:00.0	936.9	-0.1988	0.0000	1.76	81.952	90.844	75.333	60.600	0.2441	4.351
06/02/15 14:00:00.0	934.4	-0.1988	0.0000	1.76	81.864	90.147	75.117	60.200	0.2441	4.351
06/02/15 14:05:00.0	931.9	-0.1988	0.0000	1.76	81.775	89.499	76.114	60.500	0.2441	4.345
06/02/15 14:10:00.0	928.1	-0.1988	0.0000	1.76	81.597	88.810	76.028	59.200	0.2437	4.339
06/02/15 14:15:00.0	920.6	-0.1988	0.0000	1.76	81.421	88.167	76.811	59.000	0.2441	4.339
06/02/15 14:20:00.0	908.1	-0.1988	0.0000	1.76	81.199	87.528	76.114	59.600	0.2437	4.333
06/02/15 14:25:00.0	898.1	-0.1988	0.0000	1.76	81.023	86.981	76.419	59.200	0.2441	4.333
06/02/15 14:30:00.0	884.4	-0.1988	0.0000	1.76	80.845	86.437	75.247	61.500	0.2437	4.333
06/02/15 14:35:00.0	873.1	-0.1988	0.0000	1.76	80.668	85.984	74.511	61.700	0.2441	4.400
06/02/15 14:40:00.0	858.1	-0.1988	0.0000	1.76	80.537	85.622	74.597	60.800	0.2437	4.418
06/02/15 14:45:00.0	840.6	-0.1988	0.0000	1.76	80.449	85.352	75.724	61.000	0.2437	4.381
06/02/15 14:50:00.0	831.9	-0.1988	0.0000	1.76	80.404	85.262	76.332	59.300	0.2437	4.369
06/02/15 14:55:00.0	820.6	-0.1988	0.0000	1.76	80.404	85.307	75.029	61.100	0.2434	4.363
06/02/15 15:00:00.0	803.1	-0.1988	0.0000	1.76	80.361	85.532	74.295	61.400	0.2437	4.357
06/02/15 15:05:00.0	790.6	-0.1988	0.0000	1.76	80.404	85.802	74.856	60.900	0.2437	4.351
06/02/15 15:10:00.0	774.4	-0.1988	0.0000	1.76	80.404	86.119	75.029	61.200	0.2434	4.345
06/02/15 15:15:00.0	765.6	-0.1988	0.0000	1.18	80.449	86.437	73.472	63.500	0.2434	4.339
06/02/15 15:20:00.0	750.6	-0.1988	0.0000	1.76	80.449	86.664	74.683	63.200	0.2434	4.351
06/02/15 15:25:00.0	740.6	-0.1988	0.0000	1.76	80.492	86.891	74.250	62.200	0.2434	4.339
06/02/15 15:30:00.0	730.6	-0.1988	0.0000	1.18	80.537	87.073	74.295	62.400	0.2434	4.333
06/02/15 15:35:00.0	713.1	-0.1988	0.0000	1.76	80.580	87.163	75.247	60.700	0.2434	4.333
06/02/15 15:40:00.0	703.1	-0.1988	0.0000	1.18	80.625	87.163	74.597	60.900	0.2437	4.442
06/02/15 15:45:00.0	691.9	-0.1988	0.0000	1.18	80.625	87.028	73.386	63.400	0.2434	4.418
06/02/15 15:50:00.0	679.4	-0.1988	0.0000	1.76	80.625	86.844	74.250	62.800	0.2434	4.400
06/02/15 15:55:00.0	671.9	-0.1988	0.0000	1.18	80.580	86.754	74.597	63.100	0.2437	4.393
06/02/15 16:00:00.0	659.4	-0.1988	0.0000	1.18	80.580	86.844	74.077	62.300	0.2434	4.381
06/02/15 16:05:00.0	646.9	-0.1988	0.0000	1.18	80.625	86.981	74.120	62.800	0.2434	4.369
06/02/15 16:10:00.0	631.9	-0.1988	0.0000	1.18	80.625	87.163	73.990	62.700	0.2430	4.363
06/02/15 16:15:00.0	621.9	-0.1988	0.0000	1.18	80.668	87.300	74.163	63.200	0.2434	4.363
06/02/15 16:20:00.0	610.6	-0.1988	0.0000	1.18	80.713	87.346	74.295	61.900	0.2434	4.357
06/02/15 16:25:00.0	594.4	-0.1988	0.0000	1.18	80.757	87.346	73.342	63.200	0.2430	4.351
06/02/15 16:30:00.0	580.6	-0.1988	0.0000	1.18	80.802	87.163	73.990	63.000	0.2434	4.345
06/02/15 16:35:00.0	568.1	-0.1988	0.0000	1.18	80.802	86.754	73.299	63.300	0.2434	4.339
06/02/15 16:40:00.0	553.1	-0.1988	0.0000	1.18	80.757	86.301	72.912	63.800	0.2430	4.339
06/02/15 16:45:00.0	539.4	-0.1988	0.0000	1.18	80.713	85.757	72.869	63.600	0.2430	4.339
06/02/15 16:50:00.0	524.4	-0.1988	0.0000	1.18	80.580	85.217	73.213	63.600	0.2425	4.333
06/02/15 16:55:00.0	513.1	-0.1988	0.0000	1.18	80.449	84.677	72.997	63.300	0.2430	4.333
06/02/15 17:00:00.0	493.1	-0.1988	0.0000	1.18	80.272	84.137	73.602	63.300	0.2430	4.430
06/02/15 17:05:00.0	480.6	-0.1988	0.0000	1.18	80.096	83.646	72.178	64.000	0.2430	4.412
06/02/15 17:10:00.0	461.9	-0.1988	0.0000	1.18	79.920	83.154	72.178	64.600	0.2425	4.400
06/02/15 17:15:00.0	375.6	-0.1988	0.0000	1.18	79.743	82.708	72.178	64.400	0.2430	4.393
06/02/15 17:20:00.0	40.6	-0.1988	0.0000	0.59	79.524	82.263	70.887	66.700	0.2430	4.387
06/02/15 17:25:00.0	36.9	-0.1988	0.0000	0.59	79.347	81.864	70.115	68.100	0.2425	4.375
06/02/15 17:30:00.0	34.4	-0.1988	0.0000	0.59	79.173	81.509	69.386	68.800	0.2425	4.369
06/02/15 17:35:00.0	44.4	-0.1988	0.0000	0.59	78.953	81.111	69.427	68.700	0.2425	4.363
06/02/15 17:40:00.0	65.6	-0.1988	0.0000	0.59	78.777	80.757	69.386	69.400	0.2421	4.363
06/02/15 17:45:00.0	31.9	-0.1988	0.0000	0.59	78.602	80.361	69.042	70.200	0.2425	4.357
06/02/15 17:50:00.0	30.6	-0.1988	0.0000	0.59	78.427	80.051	69.170	70.100	0.2425	4.351
06/02/15 17:55:00.0	29.4	-0.1988	0.0000	1.18	78.251	79.700	69.170	70.400	0.2421	4.351
06/02/15 18:00:00.0	29.4	-0.1988	0.0000	0.59	78.076	79.392	68.785	70.700	0.2421	4.345
06/02/15 18:05:00.0	28.1	-0.1988	0.0000	0.59	77.902	79.128	68.698	71.000	0.2421	4.363
06/02/15 18:10:00.0	26.9	-0.1988	0.0000	0.59	77.727	78.822	68.185	72.700	0.2418	4.339
06/02/15 18:15:00.0	25.6	-0.1988	0.0000	0.59	77.553	78.559	68.270	73.100	0.2421	4.339
06/02/15 18:20:00.0	25.6	-0.1988	0.0000	1.18	77.378	78.296	68.956	72.100	0.2421	4.339
06/02/15 18:25:00.0	24.4	-0.1988	0.0000	0.59	77.247	78.033	67.928	72.700	0.2421	4.333
06/02/15 18:30:00.0	24.4	-0.1988	0.0000	1.18	77.072	77.815	68.013	73.000	0.2421	4.333
06/02/15 18:35:00.0	23.1	-0.1988	0.0000	0.59	76.942	77.596	67.586	73.500	0.2421	4.339
06/02/15 18:40:00.0	23.1	-0.1988	0.0000	0.59	76.768	77.378	68.056	73.100	0.2418	4.339
06/02/15 18:45:00.0	21.9	-0.1988	0.0000	0.59	76.636	77.160	67.285	73.800	0.2421	4.339
06/02/15 18:50:00.0	19.4	-0.1988	0.0000	0.59	76.507	76.986	67.071	74.200	0.2421	4.363
06/02/15 18:55:00.0	19.4	-0.1988	0.0000	0.59	76.419	76.768	67.242	74.600	0.2421	4.333
06/02/15 19:00:00.0	16.9	-0.1988	0.0000	0.59	76.246	76.593	66.857	75.300	0.2421	4.339
