"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10374983, SEN S/N: 10359313)","RH, % (LGR S/N: 10374983, SEN S/N: 10359313)","DewPt, °C (LGR S/N: 10374983, SEN S/N: 10359313)","Voltage, V (LGR S/N: 10374983, SEN S/N: 10363573)","Current, mA (LGR S/N: 10374983, SEN S/N: 10363573)","Temp, °C (LGR S/N: 10374983, SEN S/N: 10365594, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374983, SEN S/N: 10365595, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374983, SEN S/N: 10374518)","Wetness, % (LGR S/N: 10374983, SEN S/N: 10374912)","Solar Radiation, W/m² (LGR S/N: 10374983, SEN S/N: 10378954)","Batt, V (LGR S/N: 10374983)"
1,2013-09-10 18:30:00,19.888,71.000,14.5,-0.2039,0.0000,31.714,31.204,0.0434,0.00,31.9,4.339
2,2013-09-10 18:35:00,19.627,71.800,14.4,-0.2039,0.0000,31.510,31.077,0.0425,0.00,28.1,4.339
3,2013-09-10 18:40:00,19.508,72.600,14.5,-0.2039,0.0000,31.331,30.950,0.0425,0.00,21.9,4.339
4,2013-09-10 18:45:00,19.413,72.900,14.4,-0.2039,0.0000,31.153,30.849,0.0421,0.00,16.9,4.339
5,2013-09-10 18:50:00,19.270,73.500,14.4,-0.2039,0.0000,30.976,30.722,0.0421,0.00,13.1,4.339
6,2013-09-10 18:55:00,19.056,74.300,14.4,-0.2039,0.0000,30.798,30.596,0.0421,0.00,8.1,4.339
7,2013-09-10 19:00:00,18.866,75.300,14.4,-0.2039,0.0000,30.621,30.495,0.0421,0.00,4.4,4.339
8,2013-09-10 19:05:00,18.818,75.300,14.4,-0.2039,0.0000,30.469,30.369,0.0421,0.00,1.9,4.339
9,2013-09-10 19:10:00,18.723,75.600,14.3,-0.2039,0.0000,30.293,30.268,0.0413,0.00,0.6,4.339
10,2013-09-10 19:15:00,18.652,76.100,14.4,-0.2039,0.0000,30.117,30.142,0.0413,0.00,0.6,4.339
11,2013-09-10 19:20:00,18.652,76.100,14.4,-0.2039,0.0000,29.966,30.041,0.0413,0.00,0.6,4.339
12,2013-09-10 19:25:00,18.580,76.300,14.3,-0.2039,0.0000,29.815,29.941,0.0413,0.00,0.6,4.339
13,2013-09-10 19:30:00,18.509,76.600,14.3,-0.2039,0.0000,29.665,29.815,0.0413,0.00,0.6,4.339
14,2013-09-10 19:35:00,18.414,77.100,14.3,-0.2039,0.0000,29.515,29.715,0.0413,0.00,0.6,4.339
15,2013-09-10 19:40:00,18.461,77.200,14.4,-0.2039,0.0000,29.365,29.615,0.0413,0.00,0.6,4.339
16,2013-09-10 19:45:00,18.438,77.100,14.4,-0.2039,0.0000,29.240,29.515,0.0405,0.59,0.6,4.339
17,2013-09-10 19:50:00,18.390,77.800,14.5,-0.2039,0.0000,29.115,29.414,0.0405,0.00,0.6,4.339
18,2013-09-10 19:55:00,18.343,78.000,14.5,-0.2039,0.0000,28.990,29.315,0.0405,0.59,0.6,4.339
19,2013-09-10 20:00:00,18.295,78.400,14.5,-0.2039,0.0000,28.866,29.240,0.0405,0.00,0.6,4.339
20,2013-09-10 20:05:00,18.271,78.900,14.6,-0.2039,0.0000,28.742,29.140,0.0405,0.59,0.6,4.339
21,2013-09-10 20:10:00,18.224,79.500,14.6,-0.2039,0.0000,28.617,29.065,0.0405,0.59,0.6,4.345
22,2013-09-10 20:15:00,18.224,79.700,14.7,-0.2039,0.0000,28.518,28.965,0.0405,0.59,0.6,4.339
23,2013-09-10 20:20:00,18.152,80.300,14.7,-0.2039,0.0000,28.394,28.891,0.0401,0.59,0.6,4.339
24,2013-09-10 20:25:00,18.105,81.000,14.8,-0.2039,0.0000,28.295,28.791,0.0401,0.59,0.6,4.339
25,2013-09-10 20:30:00,18.105,80.600,14.7,-0.2039,0.0000,28.196,28.717,0.0401,0.59,0.6,4.339
26,2013-09-10 20:35:00,18.057,81.200,14.8,-0.2039,0.0000,28.097,28.642,0.0401,0.59,0.6,4.339
27,2013-09-10 20:40:00,18.057,81.600,14.9,-0.2039,0.0000,27.998,28.568,0.0401,1.18,0.6,4.339
28,2013-09-10 20:45:00,18.033,81.900,14.9,-0.2039,0.0000,27.924,28.493,0.0401,1.18,0.6,4.339
29,2013-09-10 20:50:00,17.986,82.300,14.9,-0.2039,0.0000,27.825,28.419,0.0392,1.18,0.6,4.339
30,2013-09-10 20:55:00,17.962,82.700,15.0,-0.2039,0.0000,27.727,28.345,0.0392,1.76,0.6,4.339
31,2013-09-10 21:00:00,17.891,83.200,15.0,-0.2039,0.0000,27.653,28.270,0.0392,1.76,0.6,4.339
32,2013-09-10 21:05:00,17.819,83.800,15.1,-0.2039,0.0000,27.579,28.196,0.0392,2.35,0.6,4.339
33,2013-09-10 21:10:00,17.724,84.100,15.0,-0.2039,0.0000,27.481,28.147,0.0392,2.35,0.6,4.339
34,2013-09-10 21:15:00,17.677,84.400,15.0,-0.2039,0.0000,27.407,28.072,0.0392,2.94,0.6,4.339
35,2013-09-10 21:20:00,17.677,84.600,15.1,-0.2039,0.0000,27.333,28.023,0.0384,3.53,0.6,4.339
36,2013-09-10 21:25:00,17.653,85.000,15.1,-0.2039,0.0000,27.259,27.949,0.0392,3.53,0.6,4.351
37,2013-09-10 21:30:00,17.605,85.200,15.1,-0.2039,0.0000,27.186,27.899,0.0392,3.53,0.6,4.333
38,2013-09-10 21:35:00,17.558,85.100,15.0,-0.2039,0.0000,27.112,27.825,0.0384,4.71,0.6,4.333
39,2013-09-10 21:40:00,17.558,85.500,15.1,-0.2039,0.0000,27.038,27.776,0.0384,4.12,0.6,4.333
40,2013-09-10 21:45:00,17.582,85.500,15.1,-0.2039,0.0000,26.989,27.727,0.0384,5.29,0.6,4.333
41,2013-09-10 21:50:00,17.582,85.700,15.2,-0.2039,0.0000,26.916,27.653,0.0384,5.29,0.6,4.333
42,2013-09-10 21:55:00,17.510,86.200,15.2,-0.2039,0.0000,26.842,27.604,0.0375,8.82,0.6,4.333
43,2013-09-10 22:00:00,17.510,86.400,15.2,-0.2039,0.0000,26.793,27.554,0.0375,4.71,0.6,4.333
44,2013-09-10 22:05:00,17.582,86.000,15.2,-0.2039,0.0000,26.720,27.505,0.0375,4.71,0.6,4.333
45,2013-09-10 22:10:00,17.486,86.100,15.2,-0.2039,0.0000,26.671,27.456,0.0384,6.47,0.6,4.333
46,2013-09-10 22:15:00,17.368,86.300,15.1,-0.2039,0.0000,26.598,27.407,0.0375,10.00,0.6,4.333
47,2013-09-10 22:20:00,17.320,86.400,15.0,-0.2039,0.0000,26.549,27.358,0.0375,9.41,0.6,4.333
48,2013-09-10 22:25:00,17.296,86.900,15.1,-0.2039,0.0000,26.475,27.308,0.0375,15.29,0.6,4.333
49,2013-09-10 22:30:00,17.201,87.100,15.1,-0.2039,0.0000,26.426,27.259,0.0375,16.47,0.6,4.333
50,2013-09-10 22:35:00,17.225,87.000,15.1,-0.2039,0.0000,26.353,27.210,0.0375,17.65,0.6,4.339
51,2013-09-10 22:40:00,17.201,87.300,15.1,-0.2039,0.0000,26.304,27.161,0.0375,17.06,0.6,4.333
52,2013-09-10 22:45:00,17.106,87.200,15.0,-0.2039,0.0000,26.256,27.112,0.0375,23.53,0.6,4.333
53,2013-09-10 22:50:00,17.058,87.500,15.0,-0.2039,0.0000,26.182,27.063,0.0371,18.82,0.6,4.333
54,2013-09-10 22:55:00,17.153,87.400,15.1,-0.2039,0.0000,26.134,27.014,0.0371,15.88,0.6,4.333
55,2013-09-10 23:00:00,17.153,87.400,15.1,-0.2039,0.0000,26.085,26.965,0.0375,17.65,0.6,4.333
56,2013-09-10 23:05:00,17.106,87.800,15.1,-0.2039,0.0000,26.012,26.916,0.0371,13.53,0.6,4.333
57,2013-09-10 23:10:00,17.153,87.500,15.1,-0.2039,0.0000,25.963,26.891,0.0371,13.53,0.6,4.333
58,2013-09-10 23:15:00,17.106,87.400,15.0,-0.2039,0.0000,25.914,26.842,0.0375,19.41,0.6,4.333
59,2013-09-10 23:20:00,17.034,87.400,14.9,-0.2039,0.0000,25.866,26.793,0.0371,22.35,0.6,4.333
60,2013-09-10 23:25:00,17.011,87.500,14.9,-0.2039,0.0000,25.817,26.744,0.0371,17.65,0.6,4.333
61,2013-09-10 23:30:00,16.939,87.500,14.9,-0.2039,0.0000,25.768,26.720,0.0371,20.59,0.6,4.333
62,2013-09-10 23:35:00,16.796,88.100,14.8,-0.2039,0.0000,25.720,26.671,0.0371,41.18,0.6,4.333
63,2013-09-10 23:40:00,16.677,88.000,14.7,-0.2039,0.0000,25.671,26.622,0.0371,30.00,0.6,4.333
64,2013-09-10 23:45:00,16.606,88.400,14.7,-0.2039,0.0000,25.623,26.598,0.0363,32.35,0.6,4.333
65,2013-09-10 23:50:00,16.582,88.700,14.7,-0.2039,0.0000,25.574,26.549,0.0363,44.71,0.6,4.333
66,2013-09-10 23:55:00,16.534,88.600,14.7,-0.2039,0.0000,25.525,26.524,0.0371,48.24,0.6,4.333
67,2013-09-11 00:00:00,16.511,89.200,14.7,-0.2039,0.0000,25.477,26.475,0.0363,55.29,0.6,4.333
68,2013-09-11 00:05:00,16.558,89.000,14.8,-0.2039,0.0000,25.428,26.426,0.0363,32.35,0.6,4.333
69,2013-09-11 00:10:00,16.463,89.200,14.7,-0.2039,0.0000,25.404,26.402,0.0363,48.82,0.6,4.333
70,2013-09-11 00:15:00,16.344,89.100,14.6,-0.2039,0.0000,25.355,26.353,0.0363,54.71,0.6,4.333
71,2013-09-11 00:20:00,16.415,89.500,14.7,-0.2039,0.0000,25.307,26.329,0.0363,55.29,0.6,4.333
72,2013-09-11 00:25:00,16.344,89.600,14.7,-0.2039,0.0000,25.258,26.280,0.0363,58.82,0.6,4.333
73,2013-09-11 00:30:00,16.296,89.700,14.6,-0.2039,0.0000,25.210,26.231,0.0363,60.00,0.6,4.333
74,2013-09-11 00:35:00,16.225,90.000,14.6,-0.2039,0.0000,25.162,26.207,0.0363,68.24,0.6,4.333
75,2013-09-11 00:40:00,16.129,90.100,14.5,-0.2039,0.0000,25.113,26.182,0.0354,63.53,0.6,4.333
76,2013-09-11 00:45:00,16.129,90.600,14.6,-0.2039,0.0000,25.089,26.134,0.0354,68.82,0.6,4.333
77,2013-09-11 00:50:00,16.177,90.500,14.6,-0.2039,0.0000,25.040,26.109,0.0363,73.53,0.6,4.333
78,2013-09-11 00:55:00,16.153,90.500,14.6,-0.2039,0.0000,24.992,26.061,0.0354,77.65,0.6,4.333
79,2013-09-11 01:00:00,16.201,90.300,14.6,-0.2039,0.0000,24.944,26.036,0.0354,69.41,0.6,4.333
80,2013-09-11 01:05:00,16.153,90.400,14.6,-0.2039,0.0000,24.919,25.987,0.0354,71.18,0.6,4.333
81,2013-09-11 01:10:00,16.082,90.400,14.5,-0.2039,0.0000,24.871,25.963,0.0354,71.76,0.6,4.333
82,2013-09-11 01:15:00,16.058,90.800,14.6,-0.2039,0.0000,24.847,25.939,0.0354,77.65,0.6,4.333
83,2013-09-11 01:20:00,16.034,90.400,14.5,-0.2039,0.0000,24.798,25.890,0.0354,75.88,0.6,4.333
84,2013-09-11 01:25:00,15.963,90.500,14.4,-0.2039,0.0000,24.750,25.866,0.0354,77.65,0.6,4.333
85,2013-09-11 01:30:00,15.891,91.100,14.5,-0.2039,0.0000,24.726,25.817,0.0354,78.82,0.6,4.333
86,2013-09-11 01:35:00,15.939,90.800,14.5,-0.2039,0.0000,24.677,25.793,0.0354,72.35,0.6,4.333
87,2013-09-11 01:40:00,15.963,91.200,14.5,-0.2039,0.0000,24.653,25.768,0.0354,78.82,0.6,4.333
88,2013-09-11 01:45:00,15.963,91.100,14.5,-0.2039,0.0000,24.605,25.720,0.0354,78.24,0.6,4.333
89,2013-09-11 01:50:00,15.867,91.400,14.5,-0.2039,0.0000,24.581,25.695,0.0354,80.00,0.6,4.333
90,2013-09-11 01:55:00,15.796,91.500,14.4,-0.2039,0.0000,24.557,25.671,0.0354,82.94,0.6,4.333
91,2013-09-11 02:00:00,15.748,91.600,14.4,-0.2039,0.0000,24.508,25.647,0.0350,84.71,0.6,4.333
92,2013-09-11 02:05:00,15.724,91.800,14.4,-0.2039,0.0000,24.484,25.598,0.0354,85.29,0.6,4.333
93,2013-09-11 02:10:00,15.676,91.800,14.4,-0.2039,0.0000,24.436,25.574,0.0354,87.65,0.6,4.333
94,2013-09-11 02:15:00,15.605,92.300,14.4,-0.2039,0.0000,24.412,25.550,0.0350,88.82,0.6,4.333
95,2013-09-11 02:20:00,15.557,92.200,14.3,-0.2039,0.0000,24.363,25.501,0.0350,90.00,0.6,4.333
96,2013-09-11 02:25:00,15.581,92.500,14.4,-0.2039,0.0000,24.339,25.477,0.0350,90.00,0.6,4.333
97,2013-09-11 02:30:00,15.581,92.500,14.4,-0.2039,0.0000,24.291,25.453,0.0350,90.59,0.6,4.333
98,2013-09-11 02:35:00,15.629,93.100,14.5,-0.2039,0.0000,24.267,25.428,0.0350,92.94,0.6,4.333
99,2013-09-11 02:40:00,15.700,93.100,14.6,-0.2039,0.0000,24.243,25.404,0.0350,94.71,0.6,4.333
100,2013-09-11 02:45:00,15.652,92.800,14.5,-0.2039,0.0000,24.219,25.355,0.0350,94.71,0.6,4.333
101,2013-09-11 02:50:00,15.533,92.700,14.4,-0.2039,0.0000,24.171,25.331,0.0350,97.06,0.6,4.333
102,2013-09-11 02:55:00,15.414,92.700,14.3,-0.2039,0.0000,24.146,25.307,0.0350,97.65,0.6,4.333
103,2013-09-11 03:00:00,15.390,93.100,14.3,-0.2039,0.0000,24.122,25.283,0.0341,98.24,0.6,4.333
104,2013-09-11 03:05:00,15.366,93.100,14.3,-0.2039,0.0000,24.074,25.258,0.0341,99.41,0.6,4.333
105,2013-09-11 03:10:00,15.342,93.300,14.3,-0.2039,0.0000,24.050,25.234,0.0350,100.00,0.6,4.333
106,2013-09-11 03:15:00,15.342,93.100,14.3,-0.2039,0.0000,24.026,25.210,0.0341,100.00,0.6,4.327
107,2013-09-11 03:20:00,15.318,93.200,14.2,-0.2039,0.0000,23.978,25.162,0.0341,100.00,0.6,4.333
108,2013-09-11 03:25:00,15.390,93.300,14.3,-0.2039,0.0000,23.954,25.137,0.0341,100.00,0.6,4.333
109,2013-09-11 03:30:00,15.318,93.300,14.3,-0.2039,0.0000,23.930,25.113,0.0341,100.00,0.6,4.327
110,2013-09-11 03:35:00,15.270,93.500,14.2,-0.2039,0.0000,23.881,25.089,0.0350,100.00,0.6,4.327
111,2013-09-11 03:40:00,15.223,93.600,14.2,-0.2039,0.0000,23.857,25.065,0.0341,100.00,0.6,4.333
112,2013-09-11 03:45:00,15.151,93.800,14.2,-0.2039,0.0000,23.833,25.040,0.0341,100.00,0.6,4.327
113,2013-09-11 03:50:00,15.151,94.100,14.2,-0.2039,0.0000,23.809,25.016,0.0341,100.00,0.6,4.327
114,2013-09-11 03:55:00,15.151,94.200,14.2,-0.2039,0.0000,23.785,24.968,0.0341,100.00,0.6,4.327
115,2013-09-11 04:00:00,15.127,94.500,14.3,-0.2039,0.0000,23.761,24.968,0.0341,100.00,0.6,4.327
116,2013-09-11 04:05:00,15.031,93.800,14.1,-0.2039,0.0000,23.737,24.944,0.0341,100.00,0.6,4.327
117,2013-09-11 04:10:00,15.008,94.000,14.1,-0.2039,0.0000,23.689,24.919,0.0341,100.00,0.6,4.327
118,2013-09-11 04:15:00,14.960,93.900,14.0,-0.2039,0.0000,23.665,24.895,0.0341,100.00,0.6,4.327
119,2013-09-11 04:20:00,14.840,94.000,13.9,-0.2039,0.0000,23.641,24.871,0.0341,100.00,0.6,4.327
120,2013-09-11 04:25:00,14.864,94.300,14.0,-0.2039,0.0000,23.617,24.847,0.0341,100.00,0.6,4.327
121,2013-09-11 04:30:00,14.888,94.700,14.1,-0.2039,0.0000,23.593,24.823,0.0341,100.00,0.6,4.327
