Date Time	Voltage (V)  #10348609	Current (mA)  #10348609	Temp (°F)  #10359314	RH (%)  #10359314	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10374506	Wetness (%)  #10374911	Solar Radiation (W/m²)  #10375648	Batt (V) c:5
06/02/15 16:50:03.0	-0.1988	0.0000	77.247	54.600	79.876	75.853	0.1813	2.35	113.1	4.321
06/02/15 16:55:03.0	-0.1988	0.0000	77.378	54.100	79.700	75.810	0.1813	2.35	60.6	4.339
06/02/15 17:00:03.0	-0.1988	0.0000	76.419	54.900	79.480	75.767	0.1813	2.35	86.9	4.375
06/02/15 17:05:03.0	-0.1988	0.0000	75.898	55.900	79.216	75.681	0.1813	2.35	74.4	4.345
06/02/15 17:10:03.0	-0.1988	0.0000	75.551	56.400	78.953	75.637	0.1813	1.76	79.4	4.339
06/02/15 17:15:03.0	-0.1988	0.0000	75.463	56.400	78.733	75.551	0.1816	1.76	171.9	4.339
06/02/15 17:20:03.0	-0.1988	0.0000	75.767	56.400	78.471	75.463	0.1813	2.35	135.6	4.333
06/02/15 17:25:03.0	-0.1988	0.0000	75.290	57.300	78.251	75.376	0.1813	1.76	58.1	4.345
06/02/15 17:30:03.0	-0.1988	0.0000	75.637	57.000	78.033	75.290	0.1816	1.76	59.4	4.339
06/02/15 17:35:03.0	-0.1988	0.0000	75.810	56.800	77.859	75.247	0.1813	1.76	59.4	4.333
06/02/15 17:40:03.0	-0.1988	0.0000	75.637	57.000	77.684	75.160	0.1813	1.76	69.4	4.339
06/02/15 17:45:03.0	-0.1988	0.0000	74.597	58.100	77.509	75.074	0.1816	1.76	59.4	4.333
06/02/15 17:50:03.0	-0.1988	0.0000	74.727	58.200	77.378	74.986	0.1813	1.76	55.6	4.339
06/02/15 17:55:03.0	-0.1988	0.0000	74.597	58.600	77.247	74.899	0.1813	1.76	58.1	4.339
06/02/15 18:00:03.0	-0.1988	0.0000	74.338	59.100	77.117	74.856	0.1813	1.76	69.4	4.333
06/02/15 18:05:03.0	-0.1988	0.0000	73.861	60.100	76.986	74.770	0.1813	1.76	65.6	4.339
06/02/15 18:10:03.0	-0.1988	0.0000	73.472	60.100	76.811	74.727	0.1807	1.76	66.9	4.351
06/02/15 18:15:03.0	-0.1988	0.0000	73.386	60.600	76.681	74.640	0.1813	1.76	56.9	4.339
06/02/15 18:20:03.0	-0.1988	0.0000	73.472	60.500	76.507	74.597	0.1807	1.76	55.6	4.339
06/02/15 18:25:03.0	-0.1988	0.0000	73.299	60.900	76.375	74.511	0.1807	1.76	55.6	4.333
06/02/15 18:30:03.0	-0.1988	0.0000	72.997	61.600	76.203	74.467	0.1813	1.76	56.9	4.351
06/02/15 18:35:03.0	-0.1988	0.0000	72.394	62.500	76.071	74.381	0.1813	1.76	53.1	4.345
06/02/15 18:40:03.0	-0.1988	0.0000	71.748	63.600	75.942	74.295	0.1807	1.76	50.6	4.339
06/02/15 18:45:03.0	-0.1988	0.0000	71.704	63.900	75.810	74.250	0.1813	1.76	49.4	4.363
06/02/15 18:50:03.0	-0.1988	0.0000	71.577	64.500	75.681	74.206	0.1807	1.76	48.1	4.333
06/02/15 18:55:03.0	-0.1988	0.0000	71.964	64.100	75.551	74.120	0.1807	1.76	45.6	4.351
06/02/15 19:00:03.0	-0.1988	0.0000	71.834	64.100	75.420	74.034	0.1807	1.76	43.1	4.339
06/02/15 19:05:03.0	-0.1988	0.0000	71.231	64.400	75.290	73.990	0.1807	1.76	40.6	4.339
06/02/15 19:10:03.0	-0.1988	0.0000	70.502	65.700	75.160	73.904	0.1803	1.76	36.9	4.333
