Date Time	Wetness (%)  #10314902	Temp (°F)  #10359310	RH (%)  #10359310	Voltage (V)  #10363571	Current (mA)  #10363571	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10374520	Solar Radiation (W/m²)  #10378949	Batt (V) c:5
06/12/15 19:30:00.0	6.47	66.729	78.700	-0.1835	0.0000	68.400	69.042	0.1179	8.1	4.339
06/12/15 19:35:00.0	6.47	66.558	78.800	-0.1835	0.0000	68.356	68.999	0.1164	6.9	4.339
06/12/15 19:40:00.0	7.06	66.385	79.200	-0.1835	0.0000	68.356	68.956	0.1159	4.4	4.339
06/12/15 19:45:00.0	7.06	66.130	79.900	-0.1835	0.0000	68.313	68.913	0.1164	4.4	4.339
06/12/15 19:50:00.0	8.24	65.916	80.200	-0.1835	0.0000	68.313	68.871	0.1164	1.9	4.357
06/12/15 19:55:00.0	10.00	65.530	80.900	-0.1835	0.0000	68.313	68.785	0.1159	0.6	4.339
06/12/15 20:00:00.0	12.35	65.188	81.600	-0.1835	0.0000	68.270	68.742	0.1153	0.6	4.339
06/12/15 20:05:00.0	14.12	65.017	81.800	-0.1835	0.0000	68.270	68.698	0.1159	0.6	4.339
06/12/15 20:10:00.0	15.88	64.760	82.500	-0.1835	0.0000	68.270	68.657	0.1159	0.6	4.339
06/12/15 20:15:00.0	17.06	64.632	83.000	-0.1835	0.0000	68.227	68.614	0.1159	0.6	4.339
06/12/15 20:20:00.0	19.41	64.459	83.200	-0.1835	0.0000	68.227	68.527	0.1153	0.6	4.339
06/12/15 20:25:00.0	18.82	64.459	83.300	-0.1835	0.0000	68.185	68.484	0.1159	0.6	4.339
06/12/15 20:30:00.0	20.59	64.288	83.500	-0.1835	0.0000	68.142	68.443	0.1159	0.6	4.339
06/12/15 20:35:00.0	22.94	64.161	84.000	-0.1835	0.0000	68.142	68.356	0.1159	0.6	4.339
06/12/15 20:40:00.0	24.12	64.074	84.100	-0.1835	0.0000	68.099	68.313	0.1153	0.6	4.339
06/12/15 20:45:00.0	27.06	63.946	84.600	-0.1835	0.0000	68.099	68.270	0.1159	0.6	4.339
