"#","Date Time, GMT-07:00","Wetness, % (LGR S/N: 10374971, SEN S/N: 10205904)","Solar Radiation, W/m² (LGR S/N: 10374971, SEN S/N: 10208649)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10213738, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10222767, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374971, SEN S/N: 10222870)","Voltage, V (LGR S/N: 10374971, SEN S/N: 10348616)","Current, mA (LGR S/N: 10374971, SEN S/N: 10348616)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10359304)","RH, % (LGR S/N: 10374971, SEN S/N: 10359304)","DewPt, °C (LGR S/N: 10374971, SEN S/N: 10359304)","Batt, V (LGR S/N: 10374971)"
1,2014-10-10 15:00:00,2.94,34.4,22.848,22.369,0.1421,-0.1988,0.0000,26.353,59.400,17.8,4.297
2,2014-10-10 15:05:00,2.35,25.6,22.848,22.369,0.1425,-0.1988,0.0000,25.963,59.100,17.4,4.321
3,2014-10-10 15:10:00,2.35,25.6,22.848,22.393,0.1421,-0.1988,0.0000,25.939,59.400,17.4,4.327
4,2014-10-10 15:15:00,2.35,24.4,22.848,22.417,0.1421,-0.1988,0.0000,25.720,59.800,17.3,4.333
5,2014-10-10 15:20:00,2.35,41.9,22.824,22.417,0.1421,-0.1988,0.0000,25.550,59.800,17.2,4.327
6,2014-10-10 15:25:00,2.35,33.1,22.824,22.417,0.1421,-0.1988,0.0000,25.428,60.600,17.3,4.321
7,2014-10-10 15:30:00,2.35,33.1,22.824,22.417,0.1421,-0.1988,0.0000,25.695,59.700,17.3,4.315
8,2014-10-10 15:35:00,2.35,23.1,22.824,22.441,0.1425,-0.1988,0.0000,25.331,60.600,17.2,4.309
9,2014-10-10 15:40:00,2.35,23.1,22.800,22.441,0.1421,-0.1988,0.0000,25.331,60.600,17.2,4.327
10,2014-10-10 15:45:00,2.35,23.1,22.800,22.441,0.1421,-0.1988,0.0000,25.283,61.000,17.2,4.333
