"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10214684, SEN S/N: 10200132)","Voltage, V (LGR S/N: 10214684, SEN S/N: 10200844)","Current, mA (LGR S/N: 10214684, SEN S/N: 10200844)","Wetness, % (LGR S/N: 10214684, SEN S/N: 10205907)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10213739, LBL: 5 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10222768, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214684, SEN S/N: 10359305)","RH, % (LGR S/N: 10214684, SEN S/N: 10359305)","DewPt, °C (LGR S/N: 10214684, SEN S/N: 10359305)","Water Content, m³/m³ (LGR S/N: 10214684, SEN S/N: 10465840)","Batt, V (LGR S/N: 10214684)"
1,2014-08-08 12:20:00,875.6,-0.2039,0.0000,2.94,28.196,33.914,27.875,59.200,19.2,0.2064,4.321
2,2014-08-08 12:25:00,878.1,-0.1988,0.0000,2.94,28.493,34.202,27.677,58.600,18.9,0.2083,4.400
3,2014-08-08 12:30:00,878.1,-0.1988,0.0000,2.94,28.742,34.545,28.369,58.300,19.4,0.2083,4.381
4,2014-08-08 12:35:00,889.4,-0.1988,0.0000,2.94,28.965,34.889,27.554,58.200,18.6,0.2083,4.369
5,2014-08-08 12:40:00,884.4,-0.1988,0.0000,2.35,29.190,35.208,26.916,59.800,18.5,0.2087,4.363
6,2014-08-08 12:45:00,894.4,-0.1988,0.0000,2.94,29.365,35.475,28.097,58.700,19.3,0.2087,4.357
7,2014-08-08 12:50:00,450.6,-0.1988,0.0000,2.94,29.540,35.823,28.270,57.100,19.0,0.2087,4.351
8,2014-08-08 12:55:00,894.4,-0.1988,0.0000,2.35,29.690,36.119,27.801,59.100,19.1,0.2087,4.345
9,2014-08-08 13:00:00,890.6,-0.1988,0.0000,2.35,29.840,36.335,27.530,58.100,18.6,0.2087,4.339
10,2014-08-08 13:05:00,893.1,-0.1988,0.0000,2.35,29.966,36.552,27.235,58.900,18.5,0.2092,4.339
11,2014-08-08 13:10:00,896.9,-0.1988,0.0000,2.35,30.066,36.661,27.776,57.800,18.7,0.2092,4.339
12,2014-08-08 13:15:00,900.6,-0.1988,0.0000,2.94,30.091,36.362,28.345,56.500,18.9,0.2092,4.333
13,2014-08-08 13:20:00,894.4,-0.1988,0.0000,2.35,30.041,35.662,27.875,56.900,18.6,0.2095,4.333
14,2014-08-08 13:25:00,898.1,-0.1988,0.0000,2.35,29.966,35.049,27.702,57.700,18.6,0.2092,4.424
15,2014-08-08 13:30:00,898.1,-0.1988,0.0000,2.35,29.865,34.810,27.038,59.100,18.4,0.2095,4.393
16,2014-08-08 13:35:00,894.4,-0.1988,0.0000,2.35,29.790,34.704,27.825,57.000,18.5,0.2095,4.381
17,2014-08-08 13:40:00,888.1,-0.1988,0.0000,2.35,29.690,34.624,27.751,58.100,18.8,0.2095,4.369
18,2014-08-08 13:45:00,894.4,-0.1988,0.0000,2.35,29.665,34.598,27.284,58.400,18.4,0.2092,4.363
19,2014-08-08 13:50:00,878.1,-0.1988,0.0000,2.35,29.640,34.624,27.579,57.000,18.3,0.2095,4.357
20,2014-08-08 13:55:00,875.6,-0.1988,0.0000,2.35,29.590,34.440,26.378,61.400,18.4,0.2095,4.351
21,2014-08-08 14:00:00,873.1,-0.1988,0.0000,2.35,29.540,33.966,27.333,59.300,18.7,0.2095,4.345
22,2014-08-08 14:05:00,866.9,-0.1988,0.0000,2.35,29.439,33.443,27.801,57.600,18.7,0.2095,4.339
23,2014-08-08 14:10:00,849.4,-0.1988,0.0000,2.35,29.340,32.924,28.369,57.700,19.2,0.2092,4.357
24,2014-08-08 14:15:00,848.1,-0.1988,0.0000,2.35,29.215,32.484,27.456,59.100,18.8,0.2095,4.339
25,2014-08-08 14:20:00,844.4,-0.1988,0.0000,2.35,29.090,32.073,27.505,58.200,18.6,0.2092,4.333
26,2014-08-08 14:25:00,831.9,-0.1988,0.0000,2.35,28.990,31.714,28.295,58.000,19.3,0.2092,4.333
27,2014-08-08 14:30:00,821.9,-0.1988,0.0000,2.35,28.891,31.433,27.382,57.800,18.4,0.2092,4.333
28,2014-08-08 14:35:00,814.4,-0.1988,0.0000,2.35,28.791,31.179,27.579,58.600,18.8,0.2092,4.393
29,2014-08-08 14:40:00,803.1,-0.1988,0.0000,2.35,28.742,31.077,28.122,58.100,19.1,0.2087,4.375
30,2014-08-08 14:45:00,794.4,-0.1988,0.0000,2.35,28.692,31.204,27.382,58.200,18.5,0.2087,4.363
31,2014-08-08 14:50:00,786.9,-0.1988,0.0000,2.35,28.667,31.484,27.308,58.900,18.6,0.2083,4.357
32,2014-08-08 14:55:00,769.4,-0.1988,0.0000,2.35,28.642,31.868,27.038,59.000,18.4,0.2083,4.351
33,2014-08-08 15:00:00,760.6,-0.1988,0.0000,2.35,28.642,32.175,26.989,59.200,18.4,0.2083,4.345
34,2014-08-08 15:05:00,745.6,-0.1988,0.0000,2.35,28.617,32.407,27.161,59.000,18.5,0.2083,4.339
35,2014-08-08 15:10:00,734.4,-0.1988,0.0000,1.76,28.593,32.381,26.061,62.400,18.3,0.2083,4.339
36,2014-08-08 15:15:00,729.4,-0.1988,0.0000,1.76,28.568,32.175,27.579,58.900,18.8,0.2083,4.339
37,2014-08-08 15:20:00,718.1,-0.1988,0.0000,1.76,28.543,31.970,26.329,62.200,18.5,0.2083,4.333
38,2014-08-08 15:25:00,708.1,-0.1988,0.0000,2.35,28.493,31.765,27.481,60.900,19.3,0.2083,4.333
39,2014-08-08 15:30:00,699.4,-0.1988,0.0000,2.35,28.493,31.637,27.727,59.000,19.0,0.2087,4.327
40,2014-08-08 15:35:00,689.4,-0.1988,0.0000,1.76,28.468,31.510,27.850,58.400,19.0,0.2087,4.418
41,2014-08-08 15:40:00,678.1,-0.1988,0.0000,2.35,28.444,31.306,27.259,57.900,18.3,0.2087,4.393
42,2014-08-08 15:45:00,669.4,-0.1988,0.0000,2.35,28.444,31.179,27.579,57.800,18.5,0.2083,4.381
43,2014-08-08 15:50:00,654.4,-0.1988,0.0000,1.76,28.419,31.357,26.134,60.700,18.0,0.2087,4.369
44,2014-08-08 15:55:00,638.1,-0.1988,0.0000,1.76,28.444,31.663,27.702,58.200,18.8,0.2083,4.363
45,2014-08-08 16:00:00,623.1,-0.1988,0.0000,1.76,28.468,32.021,26.916,58.300,18.1,0.2083,4.351
46,2014-08-08 16:05:00,610.6,-0.1988,0.0000,1.76,28.518,32.278,26.671,59.800,18.2,0.2083,4.351
47,2014-08-08 16:10:00,594.4,-0.1988,0.0000,1.76,28.593,32.510,26.842,58.900,18.2,0.2083,4.345
48,2014-08-08 16:15:00,588.1,-0.1988,0.0000,1.76,28.692,32.691,26.500,61.300,18.5,0.2083,4.339
49,2014-08-08 16:20:00,576.9,-0.1988,0.0000,1.76,28.766,32.794,26.598,60.800,18.4,0.2083,4.339
50,2014-08-08 16:25:00,561.9,-0.1988,0.0000,1.76,28.841,32.872,26.622,59.400,18.1,0.2083,4.339
51,2014-08-08 16:30:00,549.4,-0.1988,0.0000,1.18,28.916,32.794,25.428,62.300,17.7,0.2083,4.333
52,2014-08-08 16:35:00,535.6,-0.1988,0.0000,1.76,28.965,32.433,26.256,60.800,18.1,0.2083,4.333
53,2014-08-08 16:40:00,524.4,-0.1988,0.0000,1.76,28.965,31.970,24.653,64.400,17.5,0.2083,4.333
