Date Time	Temp (°F)  #10213640	RH (%)  #10213640	Wetness (%)  #10314899	Voltage (V)  #10348607	Current (mA)  #10348607	5 cm deep Temp (°F)	1 cm deep Temp (°F)	Water Content (m³/m³)  #10374522	Solar Radiation (W/m²)  #10378946	Batt (V) c:5
06/05/15 11:45:01.0	72.783	51.600	1.76	-0.2039	0.0000	70.930	71.661	0.1948	403.1	4.345
06/05/15 11:50:01.0	72.653	50.100	1.18	-0.2039	0.0000	71.017	71.791	0.1945	355.6	4.375
06/05/15 11:55:01.0	71.447	51.300	1.18	-0.2039	0.0000	71.103	71.877	0.1945	824.4	4.339
06/05/15 12:00:01.0	73.904	49.800	1.76	-0.2039	0.0000	71.190	72.007	0.1945	575.6	4.369
06/05/15 12:05:01.0	73.602	47.300	2.35	-0.2039	0.0000	71.274	72.136	0.1945	1,130.6	4.339
06/05/15 12:10:01.0	75.767	46.800	2.35	-0.2039	0.0000	71.361	72.307	0.1945	1,108.1	4.381
06/05/15 12:15:01.0	76.507	45.800	2.35	-0.2039	0.0000	71.447	72.480	0.1948	1,073.1	4.345
06/05/15 12:20:01.0	77.029	44.800	2.94	-0.2039	0.0000	71.577	72.739	0.1948	1,098.1	4.315
06/05/15 12:25:01.0	77.378	42.800	2.94	-0.2039	0.0000	71.704	72.997	0.1945	1,106.9	4.357
06/05/15 12:30:01.0	77.553	44.500	2.35	-0.2039	0.0000	71.877	73.299	0.1948	264.4	4.339
06/05/15 12:35:01.0	75.985	45.700	2.35	-0.2039	0.0000	72.093	73.688	0.1948	1,159.4	4.357
06/05/15 12:40:01.0	76.942	43.700	2.35	-0.2039	0.0000	72.307	74.034	0.1948	1,131.9	4.315
06/05/15 12:45:01.0	79.392	43.800	2.94	-0.2039	0.0000	72.523	74.424	0.1948	1,121.9	4.369
06/05/15 12:50:01.0	79.655	41.600	2.94	-0.2039	0.0000	72.826	74.813	0.1948	1,096.9	4.321
06/05/15 12:55:01.0	77.029	43.600	2.94	-0.2039	0.0000	73.083	75.204	0.1954	1,109.4	4.363
06/05/15 13:00:01.0	76.593	44.000	2.35	-0.2039	0.0000	73.342	75.594	0.1954	1,080.6	4.333
06/05/15 13:05:01.0	78.471	42.200	2.35	-0.2039	0.0000	73.645	76.028	0.1954	1,105.6	4.375
06/05/15 13:10:01.0	77.509	44.200	2.35	-0.2039	0.0000	73.947	76.419	0.1954	1,089.4	4.333
06/05/15 13:15:01.0	78.822	42.900	2.35	-0.2039	0.0000	74.250	76.854	0.1958	1,104.4	4.430
06/05/15 13:20:01.0	78.777	42.100	2.35	-0.2039	0.0000	74.554	77.247	0.1958	1,083.1	4.339
06/05/15 13:25:01.0	79.876	42.100	2.94	-0.2039	0.0000	74.856	77.639	0.1958	1,104.4	4.309
06/05/15 13:30:01.0	78.208	41.900	2.35	-0.2039	0.0000	75.160	77.990	0.1958	1,129.4	4.339
06/05/15 13:35:01.0	79.084	41.900	2.35	-0.2039	0.0000	75.463	78.382	0.1963	1,113.1	4.351
06/05/15 13:40:01.0	80.580	41.900	2.35	-0.2039	0.0000	75.767	78.777	0.1963	1,110.6	4.339
06/05/15 13:45:01.0	79.216	42.400	2.35	-0.2039	0.0000	76.071	79.173	0.1963	1,098.1	4.309
06/05/15 13:50:01.0	79.041	43.400	2.35	-0.2039	0.0000	76.375	79.524	0.1967	1,089.4	4.381
06/05/15 13:55:01.0	79.435	43.200	2.35	-0.2039	0.0000	76.636	79.920	0.1967	1,060.6	4.321
06/05/15 14:00:01.0	80.316	41.700	2.35	-0.2039	0.0000	76.986	80.316	0.1967	1,041.9	4.381
06/05/15 14:05:01.0	82.486	40.400	2.35	-0.2039	0.0000	77.247	80.668	0.1967	1,049.4	4.315
06/05/15 14:10:01.0	80.625	42.300	2.35	-0.2039	0.0000	77.509	81.023	0.1972	1,063.1	4.369
06/05/15 14:15:01.0	80.845	41.300	2.35	-0.2039	0.0000	77.770	81.376	0.1976	1,043.1	4.321
06/05/15 14:20:01.0	77.727	46.100	1.76	-0.2039	0.0000	78.076	81.730	0.1976	225.6	4.351
06/05/15 14:25:01.0	77.072	48.500	1.76	-0.2039	0.0000	78.339	82.042	0.1976	1,055.6	4.321
06/05/15 14:30:01.0	77.378	47.200	1.76	-0.2039	0.0000	78.602	82.353	0.1981	360.6	4.351
06/05/15 14:35:01.0	75.290	49.000	1.18	-0.2039	0.0000	78.822	82.620	0.1981	316.9	4.363
06/05/15 14:40:01.0	75.290	50.500	1.18	-0.2039	0.0000	79.084	82.798	0.1981	401.9	4.363
06/05/15 14:45:01.0	76.854	50.100	1.76	-0.2039	0.0000	79.304	82.976	0.1985	1,023.1	4.333
06/05/15 14:50:01.0	78.033	47.900	1.76	-0.2039	0.0000	79.480	83.109	0.1985	533.1	4.321
06/05/15 14:55:01.0	73.213	53.200	1.18	-0.2039	0.0000	79.700	83.199	0.1990	349.4	4.339
06/05/15 15:00:01.0	74.338	53.400	1.18	-0.2039	0.0000	79.831	83.287	0.1990	1,048.1	4.375
06/05/15 15:05:01.0	78.382	49.000	1.76	-0.2039	0.0000	80.008	83.332	0.1990	703.1	4.381
06/05/15 15:10:01.0	75.204	52.200	1.76	-0.2039	0.0000	80.096	83.332	0.1994	925.6	4.315
06/05/15 15:15:01.0	77.553	50.300	1.76	-0.2039	0.0000	80.227	83.332	0.1994	870.6	4.333
06/05/15 15:20:01.0	76.028	50.400	1.76	-0.2039	0.0000	80.316	83.377	0.1994	219.4	4.339
06/05/15 15:25:01.0	74.727	52.200	1.18	-0.2039	0.0000	80.404	83.377	0.1999	444.4	4.339
06/05/15 15:30:01.0	73.774	52.900	1.18	-0.2039	0.0000	80.492	83.422	0.1999	934.4	4.345
06/05/15 15:35:01.0	73.083	53.300	1.18	-0.2039	0.0000	80.537	83.422	0.1999	244.4	4.339
06/05/15 15:40:01.0	72.739	55.000	1.18	-0.2039	0.0000	80.625	83.422	0.1999	606.9	4.339
06/05/15 15:45:01.0	71.620	55.500	0.59	-0.2039	0.0000	80.668	83.422	0.1999	323.1	4.327
06/05/15 15:50:01.0	74.727	53.700	1.18	-0.2039	0.0000	80.713	83.377	0.2003	815.6	4.351
06/05/15 15:55:01.0	74.034	54.400	1.18	-0.2039	0.0000	80.713	83.377	0.2003	801.9	4.339
06/05/15 16:00:01.0	73.558	53.700	1.18	-0.2039	0.0000	80.757	83.332	0.2003	459.4	4.339
06/05/15 16:05:01.0	73.472	54.300	1.18	-0.2039	0.0000	80.757	83.332	0.2008	716.9	4.345
06/05/15 16:10:01.0	75.463	54.000	1.76	-0.2039	0.0000	80.757	83.332	0.2008	758.1	4.357
06/05/15 16:15:01.0	73.558	53.600	1.18	-0.2039	0.0000	80.802	83.332	0.2008	723.1	4.363
06/05/15 16:20:01.0	72.826	56.100	1.18	-0.2039	0.0000	80.802	83.377	0.2008	713.1	4.363
06/05/15 16:25:01.0	75.767	51.700	1.76	-0.2039	0.0000	80.802	83.422	0.2008	756.9	4.333
06/05/15 16:30:01.0	75.074	51.600	1.18	-0.2039	0.0000	80.845	83.422	0.2008	439.4	4.351
06/05/15 16:35:01.0	73.429	54.500	1.18	-0.2039	0.0000	80.845	83.511	0.2008	710.6	4.363
06/05/15 16:40:01.0	73.170	54.900	1.18	-0.2039	0.0000	80.890	83.556	0.2008	659.4	4.357
06/05/15 16:45:01.0	71.533	56.600	1.18	-0.2039	0.0000	80.890	83.646	0.2008	541.9	4.357
06/05/15 16:50:01.0	72.997	56.200	1.18	-0.2039	0.0000	80.935	83.691	0.2012	606.9	4.357
06/05/15 16:55:01.0	73.126	55.800	1.18	-0.2039	0.0000	80.978	83.736	0.2012	569.4	4.345
06/05/15 17:00:01.0	72.093	56.400	1.18	-0.2039	0.0000	80.978	83.736	0.2012	520.6	4.339
06/05/15 17:05:01.0	72.653	56.500	1.18	-0.2039	0.0000	81.023	83.779	0.2008	540.6	4.339
06/05/15 17:10:01.0	72.783	56.700	1.18	-0.2039	0.0000	81.023	83.824	0.2008	529.4	4.339
06/05/15 17:15:01.0	71.920	56.400	1.18	-0.2039	0.0000	81.066	83.824	0.2008	485.6	4.333
06/05/15 17:20:01.0	72.437	55.300	1.18	-0.2039	0.0000	81.066	83.869	0.2012	476.9	4.333
06/05/15 17:25:01.0	71.190	57.200	0.59	-0.2039	0.0000	81.111	83.869	0.2012	449.4	4.321
06/05/15 17:30:01.0	69.901	59.700	0.59	-0.2039	0.0000	81.111	83.869	0.2012	158.1	4.321
06/05/15 17:35:01.0	69.600	60.800	0.59	-0.2039	0.0000	81.111	83.824	0.2008	133.1	4.315
06/05/15 17:40:01.0	70.502	60.400	0.59	-0.2039	0.0000	81.111	83.779	0.2012	115.6	4.309
06/05/15 17:45:01.0	69.042	61.100	0.59	-0.2039	0.0000	81.111	83.691	0.2012	111.9	4.303
06/05/15 17:50:01.0	68.099	62.000	0.59	-0.2039	0.0000	81.111	83.556	0.2012	111.9	4.303
06/05/15 17:55:01.0	67.885	62.500	0.59	-0.2039	0.0000	81.066	83.377	0.2012	109.4	4.303
06/05/15 18:00:01.0	67.671	62.600	0.59	-0.2039	0.0000	81.023	83.199	0.2012	100.6	4.297
06/05/15 18:05:01.0	67.586	61.900	0.59	-0.2039	0.0000	80.935	82.976	0.2008	93.1	4.297
06/05/15 18:10:01.0	67.071	62.000	0.59	-0.2039	0.0000	80.845	82.753	0.2008	85.6	4.291
06/05/15 18:15:01.0	67.798	60.900	0.59	-0.2039	0.0000	80.757	82.530	0.2008	88.1	4.291
06/05/15 18:20:01.0	67.242	61.500	0.59	-0.2039	0.0000	80.668	82.263	0.2008	78.1	4.291
06/05/15 18:25:01.0	66.729	61.400	0.59	-0.2039	0.0000	80.537	81.997	0.2008	98.1	4.291
06/05/15 18:30:01.0	67.071	61.700	0.59	-0.2039	0.0000	80.404	81.775	0.2008	70.6	4.285
06/05/15 18:35:01.0	66.301	61.900	0.00	-0.2039	0.0000	80.272	81.554	0.2008	75.6	4.285
06/05/15 18:40:01.0	65.872	62.600	0.59	-0.2039	0.0000	80.139	81.288	0.2003	66.9	4.291
