"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10374983, SEN S/N: 10359313)","RH, % (LGR S/N: 10374983, SEN S/N: 10359313)","DewPt, °C (LGR S/N: 10374983, SEN S/N: 10359313)","Voltage, V (LGR S/N: 10374983, SEN S/N: 10363573)","Current, mA (LGR S/N: 10374983, SEN S/N: 10363573)","Temp, °C (LGR S/N: 10374983, SEN S/N: 10365594, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374983, SEN S/N: 10365595, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374983, SEN S/N: 10374518)","Wetness, % (LGR S/N: 10374983, SEN S/N: 10374912)","Solar Radiation, W/m² (LGR S/N: 10374983, SEN S/N: 10378954)","Batt, V (LGR S/N: 10374983)"
1,2014-10-24 11:45:00,33.809,26.400,11.9,-0.2039,0.0000,25.623,24.339,0.0628,2.35,690.6,4.357
2,2014-10-24 11:50:00,33.940,27.200,12.4,-0.2039,0.0000,25.720,24.412,0.0628,2.35,696.9,4.357
3,2014-10-24 11:55:00,33.443,25.700,11.2,-0.2039,0.0000,25.817,24.508,0.0632,2.35,704.4,4.345
4,2014-10-24 12:00:00,32.949,25.800,10.8,-0.2039,0.0000,25.890,24.605,0.0632,2.35,701.9,4.339
5,2014-10-24 12:05:00,32.691,25.900,10.6,-0.2039,0.0000,25.963,24.653,0.0632,2.35,711.9,4.339
6,2014-10-24 12:10:00,33.521,25.600,11.2,-0.2039,0.0000,26.012,24.726,0.0632,2.35,706.9,4.351
7,2014-10-24 12:15:00,33.261,23.800,9.8,-0.2039,0.0000,26.085,24.798,0.0632,2.35,706.9,4.357
8,2014-10-24 12:20:00,33.131,24.600,10.2,-0.2039,0.0000,26.134,24.847,0.0632,2.35,706.9,4.339
9,2014-10-24 12:25:00,34.916,23.100,10.8,-0.2039,0.0000,26.182,24.919,0.0639,2.94,711.9,4.339
10,2014-10-24 12:30:00,35.022,22.300,10.3,-0.2039,0.0000,26.231,24.992,0.0639,2.94,713.1,4.339
11,2014-10-24 12:35:00,34.598,22.400,10.1,-0.2039,0.0000,26.280,25.016,0.0639,2.94,723.1,4.351
12,2014-10-24 12:40:00,34.176,20.100,8.1,-0.2039,0.0000,26.353,25.089,0.0639,2.94,714.4,4.351
