"#","Date Time, GMT-08:00","Voltage, V (LGR S/N: 10375446, SEN S/N: 10348608)","Current, mA (LGR S/N: 10375446, SEN S/N: 10348608)","Temp, °C (LGR S/N: 10375446, SEN S/N: 10359309)","RH, % (LGR S/N: 10375446, SEN S/N: 10359309)","DewPt, °C (LGR S/N: 10375446, SEN S/N: 10359309)","Temp, °C (LGR S/N: 10375446, SEN S/N: 10365537, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10375446, SEN S/N: 10365538, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10375446, SEN S/N: 10374514)","Wetness, % (LGR S/N: 10375446, SEN S/N: 10374910)","Solar Radiation, W/m² (LGR S/N: 10375446, SEN S/N: 10375651)","Batt, V (LGR S/N: 10375446)"
1,2014-05-09 13:50:00,-0.1937,0.0000,24.050,46.600,11.9,36.362,31.765,0.1189,0.00,793.1,4.339
2,2014-05-09 13:55:00,-0.1937,0.0000,23.857,47.600,12.1,36.119,31.791,0.1169,0.00,791.9,4.345
3,2014-05-09 14:00:00,-0.1937,0.0000,23.833,47.300,12.0,35.931,31.791,0.1174,0.00,781.9,4.339
4,2014-05-09 14:05:00,-0.1937,0.0000,23.376,48.900,12.0,35.877,31.791,0.1174,0.00,769.4,4.339
5,2014-05-09 14:10:00,-0.1937,0.0000,23.569,48.500,12.1,35.958,31.816,0.1174,0.00,756.9,4.339
6,2014-05-09 14:15:00,-0.1937,0.0000,23.641,47.500,11.8,36.173,31.842,0.1174,0.00,745.6,4.351
7,2014-05-09 14:20:00,-0.1937,0.0000,23.136,49.300,11.9,36.389,31.893,0.1179,0.00,736.9,4.339
8,2014-05-09 14:25:00,-0.1937,0.0000,23.785,47.300,11.9,36.579,31.944,0.1169,0.00,726.9,4.339
9,2014-05-09 14:30:00,-0.1937,0.0000,22.800,50.000,11.9,36.742,32.021,0.1169,0.00,720.6,4.339
10,2014-05-09 14:35:00,-0.1937,0.0000,23.857,49.700,12.7,36.878,32.098,0.1164,0.00,703.1,4.400
11,2014-05-09 14:40:00,-0.1937,0.0000,23.472,48.600,12.0,37.042,32.150,0.1169,0.00,695.6,4.345
12,2014-05-09 14:45:00,-0.1937,0.0000,23.136,50.200,12.2,37.151,32.227,0.1174,0.00,679.4,4.339
13,2014-05-09 14:50:00,-0.1937,0.0000,23.521,49.600,12.4,37.206,32.304,0.1169,0.00,665.6,4.339
14,2014-05-09 14:55:00,-0.1937,0.0000,23.713,48.100,12.1,37.233,32.355,0.1169,0.00,650.6,4.339
15,2014-05-09 15:00:00,-0.1937,0.0000,23.112,49.000,11.8,37.261,32.407,0.1174,0.00,638.1,4.357
16,2014-05-09 15:05:00,-0.1937,0.0000,23.641,48.400,12.1,37.233,32.458,0.1174,0.00,625.6,4.339
17,2014-05-09 15:10:00,-0.1937,0.0000,23.978,47.500,12.2,37.206,32.510,0.1174,0.00,614.4,4.339
18,2014-05-09 15:15:00,-0.1937,0.0000,23.088,49.600,12.0,37.151,32.536,0.1169,0.00,598.1,4.339
19,2014-05-09 15:20:00,-0.1937,0.0000,22.776,50.400,12.0,37.042,32.562,0.1164,0.00,584.4,4.339
20,2014-05-09 15:25:00,-0.1937,0.0000,23.136,50.300,12.3,36.905,32.587,0.1169,0.00,574.4,4.363
21,2014-05-09 15:30:00,-0.1937,0.0000,22.753,50.900,12.1,36.824,32.587,0.1169,0.00,560.6,4.339
22,2014-05-09 15:35:00,-0.1937,0.0000,23.424,49.400,12.2,36.715,32.562,0.1153,0.00,546.9,4.339
23,2014-05-09 15:40:00,-0.1937,0.0000,23.593,48.600,12.1,36.579,32.562,0.1164,0.00,529.4,4.339
24,2014-05-09 15:45:00,-0.1937,0.0000,23.232,49.600,12.1,36.417,32.536,0.1159,0.00,515.6,4.393
25,2014-05-09 15:50:00,-0.1937,0.0000,23.208,50.700,12.4,36.146,32.510,0.1159,0.00,500.6,4.339
26,2014-05-09 15:55:00,-0.1937,0.0000,22.106,51.500,11.7,35.904,32.484,0.1153,0.00,483.1,4.339
27,2014-05-09 16:00:00,-0.1937,0.0000,22.274,52.100,12.0,35.689,32.433,0.1148,0.00,468.1,4.339
28,2014-05-09 16:05:00,-0.1937,0.0000,22.369,52.900,12.3,35.395,32.355,0.1133,0.00,450.6,4.339
29,2014-05-09 16:10:00,-0.1937,0.0000,22.681,51.900,12.3,35.049,32.278,0.1143,0.00,434.4,4.351
30,2014-05-09 16:15:00,-0.1937,0.0000,21.772,54.900,12.3,34.651,32.175,0.1128,0.00,411.9,4.345
31,2014-05-09 16:20:00,-0.1937,0.0000,21.223,56.900,12.4,34.202,32.047,0.1122,0.00,394.4,4.339
32,2014-05-09 16:25:00,-0.1937,0.0000,21.270,57.600,12.6,33.783,31.893,0.1122,0.00,174.4,4.339
33,2014-05-09 16:30:00,-0.1937,0.0000,21.390,57.900,12.8,33.391,31.714,0.1117,0.00,303.1,4.339
34,2014-05-09 16:35:00,-0.1937,0.0000,20.579,60.100,12.6,33.001,31.535,0.1112,0.00,71.9,4.345
35,2014-05-09 16:40:00,-0.1937,0.0000,20.269,61.600,12.7,32.665,31.357,0.1107,0.00,89.4,4.351
36,2014-05-09 16:45:00,-0.1937,0.0000,20.222,62.100,12.8,32.330,31.179,0.1112,0.00,109.4,4.345
37,2014-05-09 16:50:00,-0.1937,0.0000,20.341,62.100,12.9,31.996,31.001,0.1101,0.00,108.1,4.339
38,2014-05-09 16:55:00,-0.1937,0.0000,20.031,62.300,12.6,31.714,30.824,0.1085,0.00,73.1,4.339
39,2014-05-09 17:00:00,-0.1937,0.0000,19.746,63.300,12.6,31.433,30.646,0.1091,0.00,83.1,4.345
40,2014-05-09 17:05:00,-0.1937,0.0000,19.651,63.500,12.6,31.153,30.469,0.1080,0.00,73.1,4.351
41,2014-05-09 17:10:00,-0.1937,0.0000,19.436,64.600,12.6,30.900,30.293,0.1075,0.00,61.9,4.345
42,2014-05-09 17:15:00,-0.1937,0.0000,19.555,64.500,12.7,30.646,30.142,0.1080,0.00,46.9,4.351
43,2014-05-09 17:20:00,-0.1937,0.0000,19.318,65.200,12.6,30.419,29.966,0.1075,0.00,40.6,4.339
44,2014-05-09 17:25:00,-0.1937,0.0000,19.318,65.900,12.8,30.192,29.815,0.1064,0.00,43.1,4.339
45,2014-05-09 17:30:00,-0.1937,0.0000,19.270,65.600,12.7,29.966,29.665,0.1064,0.00,36.9,4.339
46,2014-05-09 17:35:00,-0.1937,0.0000,19.032,66.100,12.6,29.765,29.515,0.1064,0.00,35.6,4.339
47,2014-05-09 17:40:00,-0.1937,0.0000,18.747,66.700,12.4,29.565,29.365,0.1064,0.00,34.4,4.339
48,2014-05-09 17:45:00,-0.1937,0.0000,19.032,66.800,12.7,29.365,29.240,0.1064,0.00,31.9,4.339
49,2014-05-09 17:50:00,-0.1937,0.0000,19.127,67.200,12.9,29.190,29.090,0.1058,0.00,29.4,4.339
50,2014-05-09 17:55:00,-0.1937,0.0000,18.794,67.200,12.6,29.015,28.965,0.1047,0.00,26.9,4.339
51,2014-05-09 18:00:00,-0.1937,0.0000,18.604,67.400,12.5,28.841,28.841,0.1042,0.00,25.6,4.339
