Date Time	Solar Radiation (W/m²)  #10200134	Wetness (%)  #10205908	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10222875	Voltage (V)  #10348617	Current (mA)  #10348617	Temp (°F)  #10359302	RH (%)  #10359302	Batt (V) c:5
05/01/15 15:40:00.0	655.6	0.00	107.125	95.760	0.1107	-0.2039	0.0000	91.495	23.400	4.333
05/01/15 15:45:00.0	659.4	0.00	108.295	96.337	0.1101	-0.2039	0.0000	91.263	23.700	4.339
05/01/15 15:50:00.0	620.6	0.00	109.261	97.014	0.1107	-0.2039	0.0000	91.263	24.400	4.339
05/01/15 15:55:00.0	621.9	0.00	109.801	97.648	0.1107	-0.2039	0.0000	90.333	24.700	4.339
05/01/15 16:00:00.0	539.4	0.00	109.801	98.184	0.1107	-0.2039	0.0000	89.638	25.100	4.339
05/01/15 16:05:00.0	406.9	0.00	109.531	98.627	0.1107	-0.2039	0.0000	86.936	27.600	4.339
05/01/15 16:10:00.0	359.4	0.00	108.777	98.920	0.1107	-0.2039	0.0000	86.256	27.800	4.339
05/01/15 16:15:00.0	263.1	0.00	107.550	99.019	0.1101	-0.2039	0.0000	84.632	26.700	4.339
05/01/15 16:20:00.0	266.9	0.00	105.499	98.920	0.1101	-0.2039	0.0000	81.819	28.600	4.339
05/01/15 16:25:00.0	300.6	0.00	103.948	98.627	0.1101	-0.2039	0.0000	82.085	26.600	4.339
05/01/15 16:30:00.0	395.6	0.00	103.435	98.184	0.1096	-0.2039	0.0000	81.288	28.100	4.345
05/01/15 16:35:00.0	493.1	0.00	104.000	97.842	0.1091	-0.2039	0.0000	82.530	27.100	4.339
05/01/15 16:40:00.0	359.4	0.00	104.670	97.696	0.1091	-0.2039	0.0000	82.620	27.700	4.339
05/01/15 16:45:00.0	214.4	0.00	104.000	97.648	0.1091	-0.2039	0.0000	80.978	29.400	4.339
05/01/15 16:50:00.0	370.6	0.00	102.772	97.500	0.1091	-0.2039	0.0000	79.920	30.500	4.339
05/01/15 16:55:00.0	469.4	0.00	103.334	97.257	0.1091	-0.2039	0.0000	81.775	30.100	4.339
05/01/15 17:00:00.0	479.4	0.00	104.463	97.160	0.1085	-0.2039	0.0000	82.396	28.500	4.339
05/01/15 17:05:00.0	488.1	0.00	105.343	97.257	0.1085	-0.2039	0.0000	82.798	27.100	4.339
05/01/15 17:10:00.0	453.1	0.00	105.917	97.403	0.1085	-0.2039	0.0000	82.130	26.500	4.345
05/01/15 17:15:00.0	438.1	0.00	106.074	97.599	0.1085	-0.2039	0.0000	82.753	27.600	4.339
05/01/15 17:20:00.0	414.4	0.00	106.230	97.794	0.1085	-0.2039	0.0000	82.798	28.500	4.333
05/01/15 17:25:00.0	393.1	0.00	106.126	97.939	0.1085	-0.2039	0.0000	82.085	27.600	4.339
05/01/15 17:30:00.0	370.6	0.00	105.917	97.990	0.1085	-0.2039	0.0000	82.042	28.100	4.339
05/01/15 17:35:00.0	349.4	0.00	104.772	98.038	0.1085	-0.2039	0.0000	82.130	27.100	4.339
05/01/15 17:40:00.0	328.1	0.00	102.621	97.939	0.1080	-0.2039	0.0000	81.775	27.800	4.339
05/01/15 17:45:00.0	310.6	0.00	100.308	97.551	0.1080	-0.2039	0.0000	81.154	28.500	4.339
05/01/15 17:50:00.0	88.1	0.00	98.429	96.966	0.1075	-0.2039	0.0000	80.890	28.800	4.339
05/01/15 17:55:00.0	91.9	0.00	96.870	96.337	0.1075	-0.2039	0.0000	79.788	29.900	4.339
05/01/15 18:00:00.0	99.4	0.00	96.240	95.616	0.1069	-0.2039	0.0000	78.910	31.300	4.339
05/01/15 18:05:00.0	213.1	0.00	95.088	94.991	0.1064	-0.2039	0.0000	78.690	31.200	4.339
05/01/15 18:10:00.0	200.6	0.00	93.801	94.372	0.1058	-0.2039	0.0000	78.645	31.100	4.339
05/01/15 18:15:00.0	60.6	0.00	92.714	93.754	0.1058	-0.2039	0.0000	78.251	31.200	4.339
05/01/15 18:20:00.0	94.4	0.00	91.683	93.092	0.1053	-0.2039	0.0000	77.335	32.100	4.339
05/01/15 18:25:00.0	44.4	0.00	90.936	92.480	0.1047	-0.2039	0.0000	77.247	32.900	4.339
05/01/15 18:30:00.0	46.9	0.00	90.147	91.870	0.1047	-0.2039	0.0000	76.986	33.700	4.339
05/01/15 18:35:00.0	123.1	0.00	89.362	91.308	0.1042	-0.2039	0.0000	76.986	33.700	4.333
05/01/15 18:40:00.0	131.9	0.00	88.671	90.750	0.1036	-0.2039	0.0000	77.029	33.800	4.333
05/01/15 18:45:00.0	118.1	0.00	88.122	90.194	0.1036	-0.2039	0.0000	77.553	33.600	4.333
05/01/15 18:50:00.0	103.1	0.00	87.528	89.731	0.1036	-0.2039	0.0000	77.160	34.200	4.333
05/01/15 18:55:00.0	88.1	0.00	86.891	89.224	0.1031	-0.2039	0.0000	76.854	34.300	4.333
05/01/15 19:00:00.0	70.6	0.00	86.256	88.763	0.1025	-0.2039	0.0000	76.899	34.400	4.333
05/01/15 19:05:00.0	55.6	0.00	85.712	88.306	0.1025	-0.2039	0.0000	76.375	35.400	4.333
05/01/15 19:10:00.0	41.9	0.00	85.127	87.847	0.1020	-0.2039	0.0000	75.551	35.800	4.327
05/01/15 19:15:00.0	29.4	0.00	84.542	87.391	0.1014	-0.2039	0.0000	74.770	36.800	4.327
05/01/15 19:20:00.0	20.6	0.00	83.959	86.981	0.1014	-0.2039	0.0000	74.034	37.400	4.327
05/01/15 19:25:00.0	10.6	0.00	83.332	86.527	0.1014	-0.2039	0.0000	72.653	38.600	4.321
05/01/15 19:30:00.0	6.9	0.00	82.708	86.074	0.1009	-0.2039	0.0000	71.834	39.800	4.321
05/01/15 19:35:00.0	4.4	0.00	82.130	85.622	0.1009	-0.2039	0.0000	71.317	40.500	4.321
05/01/15 19:40:00.0	3.1	0.00	81.554	85.217	0.1003	-0.2039	0.0000	70.759	41.500	4.321
05/01/15 19:45:00.0	0.6	0.00	81.023	84.767	0.0998	-0.2039	0.0000	70.286	41.900	4.321
05/01/15 19:50:00.0	0.6	0.00	80.449	84.362	0.0998	-0.2039	0.0000	69.685	42.700	4.321
05/01/15 19:55:00.0	0.6	0.00	79.963	83.914	0.0998	-0.2039	0.0000	69.557	43.700	4.339
05/01/15 20:00:00.0	0.6	0.00	79.524	83.511	0.0992	-0.2039	0.0000	69.386	44.000	4.321
05/01/15 20:05:00.0	0.6	0.00	79.084	83.109	0.0992	-0.2039	0.0000	69.213	44.600	4.321
05/01/15 20:10:00.0	0.6	0.00	78.690	82.753	0.0986	-0.2039	0.0000	68.999	44.700	4.321
05/01/15 20:15:00.0	0.6	0.00	78.296	82.396	0.0981	-0.2039	0.0000	68.657	45.300	4.321
05/01/15 20:20:00.0	0.6	0.00	77.902	81.997	0.0981	-0.2039	0.0000	68.443	45.800	4.321
05/01/15 20:25:00.0	0.6	0.00	77.509	81.687	0.0981	-0.2039	0.0000	68.356	45.800	4.321
05/01/15 20:30:00.0	0.6	0.00	77.203	81.333	0.0975	-0.2039	0.0000	68.270	46.400	4.321
05/01/15 20:35:00.0	0.6	0.00	76.811	80.978	0.0975	-0.2039	0.0000	67.714	47.300	4.321
05/01/15 20:40:00.0	0.6	0.00	76.507	80.668	0.0975	-0.2039	0.0000	67.543	47.800	4.321
05/01/15 20:45:00.0	0.6	0.00	76.158	80.361	0.0969	-0.2039	0.0000	67.329	48.300	4.321
05/01/15 20:50:00.0	0.6	0.00	75.810	80.051	0.0969	-0.2039	0.0000	66.772	49.400	4.321
05/01/15 20:55:00.0	0.6	0.00	75.508	79.743	0.0963	-0.2039	0.0000	66.686	49.700	4.321
05/01/15 21:00:00.0	0.6	0.00	75.204	79.435	0.0963	-0.2039	0.0000	66.558	50.100	4.321
05/01/15 21:05:00.0	0.6	0.00	74.943	79.173	0.0963	-0.2039	0.0000	66.385	50.600	4.321
05/01/15 21:10:00.0	0.6	0.00	74.683	78.865	0.0961	-0.2039	0.0000	66.600	50.700	4.321
05/01/15 21:15:00.0	0.6	0.00	74.381	78.602	0.0961	-0.2039	0.0000	66.772	50.500	4.321
05/01/15 21:20:00.0	0.6	0.00	74.163	78.339	0.0961	-0.2039	0.0000	66.943	50.400	4.321
05/01/15 21:25:00.0	0.6	0.00	73.990	78.121	0.0955	-0.2039	0.0000	66.857	50.800	4.321
05/01/15 21:30:00.0	0.6	0.00	73.861	77.859	0.0955	-0.2039	0.0000	66.900	51.100	4.321
05/01/15 21:35:00.0	0.6	0.00	73.731	77.639	0.0955	-0.2039	0.0000	66.814	51.300	4.321
05/01/15 21:40:00.0	0.6	0.00	73.515	77.464	0.0955	-0.2039	0.0000	66.772	51.600	4.321
05/01/15 21:45:00.0	0.6	0.00	73.299	77.247	0.0955	-0.2039	0.0000	66.643	52.100	4.321
05/01/15 21:50:00.0	0.6	0.00	73.083	77.029	0.0949	-0.2039	0.0000	66.385	52.500	4.321
05/01/15 21:55:00.0	0.6	0.00	72.826	76.811	0.0949	-0.2039	0.0000	66.344	52.600	4.321
05/01/15 22:00:00.0	0.6	0.00	72.610	76.593	0.0943	-0.2039	0.0000	66.472	52.200	4.321
05/01/15 22:05:00.0	0.6	0.00	72.437	76.419	0.0943	-0.2039	0.0000	66.258	52.700	4.321
