"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 10214686, SEN S/N: 10200841)","Current, mA (LGR S/N: 10214686, SEN S/N: 10200841)","Wetness, % (LGR S/N: 10214686, SEN S/N: 10205910)","Solar Radiation, W/m² (LGR S/N: 10214686, SEN S/N: 10208648)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213639)","RH, % (LGR S/N: 10214686, SEN S/N: 10213639)","DewPt, °C (LGR S/N: 10214686, SEN S/N: 10213639)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213734, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214686, SEN S/N: 10213735, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10214686, SEN S/N: 10222877)","Batt, V (LGR S/N: 10214686)"
1,2014-09-12 15:35:00,-0.2039,0.0000,0.59,608.1,31.689,42.100,17.3,29.515,29.015,0.0517,4.387
2,2014-09-12 15:40:00,-0.2039,0.0000,0.59,595.6,32.175,41.800,17.6,29.540,29.040,0.0517,4.339
3,2014-09-12 15:45:00,-0.2039,0.0000,0.59,581.9,30.976,42.800,16.9,29.540,29.065,0.0517,4.418
4,2014-09-12 15:50:00,-0.2039,0.0000,0.00,498.1,30.874,42.400,16.6,29.540,29.090,0.0517,4.393
5,2014-09-12 15:55:00,-0.2039,0.0000,0.00,203.1,31.001,40.900,16.2,29.565,29.115,0.0517,4.406
6,2014-09-12 16:00:00,-0.2039,0.0000,0.00,308.1,30.874,41.800,16.4,29.565,29.115,0.0517,4.369
7,2014-09-12 16:05:00,-0.2039,0.0000,0.00,180.6,31.103,41.800,16.6,29.565,29.140,0.0521,4.363
8,2014-09-12 16:10:00,-0.2039,0.0000,0.00,425.6,30.217,42.500,16.1,29.540,29.140,0.0521,4.357
9,2014-09-12 16:15:00,-0.2039,0.0000,0.00,174.4,30.469,41.600,16.0,29.540,29.140,0.0521,4.375
10,2014-09-12 16:20:00,-0.2039,0.0000,0.00,225.6,30.192,41.000,15.5,29.540,29.140,0.0521,4.393
11,2014-09-12 16:25:00,-0.2039,0.0000,0.00,200.6,30.016,42.100,15.8,29.515,29.140,0.0521,4.381
12,2014-09-12 16:30:00,-0.2039,0.0000,0.00,218.1,29.290,43.800,15.7,29.490,29.140,0.0521,4.369
13,2014-09-12 16:35:00,-0.2039,0.0000,0.00,189.4,29.240,45.300,16.2,29.490,29.140,0.0521,4.363
14,2014-09-12 16:40:00,-0.2039,0.0000,0.00,230.6,29.015,47.600,16.8,29.464,29.140,0.0521,4.357
15,2014-09-12 16:45:00,-0.2039,0.0000,0.00,136.9,28.543,48.700,16.7,29.439,29.115,0.0521,4.369
16,2014-09-12 16:50:00,-0.2039,0.0000,0.00,204.4,28.023,50.600,16.8,29.414,29.090,0.0521,4.381
17,2014-09-12 16:55:00,-0.2039,0.0000,0.00,126.9,28.072,50.400,16.8,29.389,29.090,0.0521,4.381
18,2014-09-12 17:00:00,-0.2039,0.0000,0.00,66.9,27.801,51.600,16.9,29.365,29.065,0.0521,4.369
19,2014-09-12 17:05:00,-0.2039,0.0000,0.00,69.4,27.407,53.300,17.1,29.315,29.040,0.0521,4.363
20,2014-09-12 17:10:00,-0.2039,0.0000,0.00,63.1,27.653,52.400,17.0,29.290,29.040,0.0521,4.363
21,2014-09-12 17:15:00,-0.2039,0.0000,0.00,55.6,27.481,53.100,17.1,29.265,29.015,0.0521,4.369
22,2014-09-12 17:20:00,-0.2039,0.0000,0.00,88.1,27.751,53.000,17.3,29.215,28.990,0.0521,4.387
23,2014-09-12 17:25:00,-0.2039,0.0000,0.00,54.4,27.481,52.800,17.0,29.190,28.941,0.0521,4.375
24,2014-09-12 17:30:00,-0.2039,0.0000,0.00,45.6,27.333,53.200,17.0,29.140,28.916,0.0521,4.375
25,2014-09-12 17:35:00,-0.2039,0.0000,0.00,43.1,27.038,53.300,16.7,29.090,28.891,0.0521,4.369
26,2014-09-12 17:40:00,-0.2039,0.0000,0.00,40.6,27.014,53.600,16.8,29.065,28.866,0.0521,4.363
27,2014-09-12 17:45:00,-0.2039,0.0000,0.00,38.1,26.891,54.400,16.9,29.015,28.841,0.0521,4.363
28,2014-09-12 17:50:00,-0.2039,0.0000,0.00,35.6,26.842,54.500,16.9,28.990,28.816,0.0521,4.369
29,2014-09-12 17:55:00,-0.1988,0.0000,0.00,33.1,26.818,55.100,17.1,28.941,28.766,0.0521,4.363
30,2014-09-12 18:00:00,-0.2039,0.0000,0.00,39.4,26.622,56.200,17.2,28.891,28.742,0.0521,4.363
31,2014-09-12 18:05:00,-0.2039,0.0000,0.00,26.9,26.646,56.700,17.4,28.866,28.717,0.0521,4.363
32,2014-09-12 18:10:00,-0.2039,0.0000,0.00,23.1,26.158,58.400,17.4,28.816,28.667,0.0521,4.363
33,2014-09-12 18:15:00,-0.2039,0.0000,0.00,21.9,25.793,59.700,17.4,28.766,28.642,0.0521,4.357
34,2014-09-12 18:20:00,-0.1988,0.0000,0.00,19.4,25.623,60.900,17.5,28.742,28.593,0.0521,4.351
35,2014-09-12 18:25:00,-0.1988,0.0000,0.00,16.9,25.404,61.700,17.5,28.692,28.568,0.0521,4.351
36,2014-09-12 18:30:00,-0.1988,0.0000,0.00,15.6,25.331,62.800,17.8,28.642,28.543,0.0521,4.351
37,2014-09-12 18:35:00,-0.1988,0.0000,0.00,13.1,25.162,63.600,17.8,28.593,28.493,0.0521,4.345
38,2014-09-12 18:40:00,-0.1988,0.0000,0.00,11.9,24.992,64.400,17.8,28.543,28.468,0.0521,4.345
39,2014-09-12 18:45:00,-0.1988,0.0000,0.00,9.4,24.944,64.800,17.9,28.518,28.444,0.0521,4.345
40,2014-09-12 18:50:00,-0.1988,0.0000,0.00,6.9,24.823,65.200,17.9,28.468,28.394,0.0521,4.339
41,2014-09-12 18:55:00,-0.1988,0.0000,0.00,5.6,24.750,65.600,17.9,28.419,28.345,0.0517,4.339
42,2014-09-12 19:00:00,-0.1988,0.0000,0.00,3.1,24.629,66.200,17.9,28.369,28.320,0.0517,4.339
43,2014-09-12 19:05:00,-0.1988,0.0000,0.00,1.9,24.532,66.700,18.0,28.345,28.270,0.0517,4.339
44,2014-09-12 19:10:00,-0.1988,0.0000,0.00,0.6,24.460,67.100,18.0,28.295,28.245,0.0517,4.339
45,2014-09-12 19:15:00,-0.1988,0.0000,0.00,0.6,24.412,67.500,18.0,28.245,28.196,0.0517,4.339
46,2014-09-12 19:20:00,-0.1988,0.0000,0.00,0.6,24.267,68.300,18.1,28.196,28.171,0.0517,4.339
47,2014-09-12 19:25:00,-0.1988,0.0000,0.00,0.6,24.267,68.300,18.1,28.147,28.122,0.0517,4.339
48,2014-09-12 19:30:00,-0.1988,0.0000,0.00,0.6,24.122,68.600,18.0,28.097,28.097,0.0517,4.339
49,2014-09-12 19:35:00,-0.1988,0.0000,0.59,0.6,24.074,69.300,18.1,28.072,28.048,0.0517,4.339
50,2014-09-12 19:40:00,-0.1988,0.0000,0.59,0.6,24.074,69.300,18.1,28.023,27.998,0.0517,4.339
51,2014-09-12 19:45:00,-0.1988,0.0000,0.59,0.6,24.050,69.700,18.2,27.974,27.974,0.0517,4.333
52,2014-09-12 19:50:00,-0.1988,0.0000,0.59,0.6,23.881,70.200,18.1,27.949,27.949,0.0517,4.333
53,2014-09-12 19:55:00,-0.1988,0.0000,1.18,0.6,23.665,70.500,18.0,27.899,27.899,0.0517,4.333
54,2014-09-12 20:00:00,-0.1988,0.0000,0.59,0.6,23.593,71.300,18.1,27.850,27.850,0.0517,4.333
55,2014-09-12 20:05:00,-0.1988,0.0000,1.18,0.6,23.545,71.700,18.2,27.801,27.825,0.0517,4.333
56,2014-09-12 20:10:00,-0.1988,0.0000,1.18,0.6,23.448,72.000,18.1,27.751,27.776,0.0517,4.333
57,2014-09-12 20:15:00,-0.1988,0.0000,1.18,0.6,23.376,72.600,18.2,27.702,27.751,0.0517,4.333
58,2014-09-12 20:20:00,-0.1988,0.0000,1.18,0.6,23.352,72.700,18.2,27.677,27.702,0.0517,4.333
59,2014-09-12 20:25:00,-0.1988,0.0000,1.76,0.6,23.208,72.700,18.1,27.628,27.677,0.0509,4.333
60,2014-09-12 20:30:00,-0.1988,0.0000,1.76,0.6,23.136,73.700,18.2,27.604,27.628,0.0509,4.333
61,2014-09-12 20:35:00,-0.1988,0.0000,2.35,0.6,23.064,74.100,18.2,27.554,27.604,0.0509,4.339
62,2014-09-12 20:40:00,-0.1988,0.0000,2.35,0.6,23.016,74.300,18.2,27.505,27.554,0.0509,4.333
63,2014-09-12 20:45:00,-0.1988,0.0000,2.94,0.6,22.824,74.700,18.1,27.456,27.505,0.0509,4.333
64,2014-09-12 20:50:00,-0.1988,0.0000,2.94,0.6,22.729,75.400,18.2,27.407,27.481,0.0509,4.327
65,2014-09-12 20:55:00,-0.1988,0.0000,4.12,0.6,22.657,75.500,18.1,27.382,27.456,0.0509,4.333
66,2014-09-12 21:00:00,-0.1988,0.0000,4.71,0.6,22.561,76.100,18.2,27.333,27.407,0.0509,4.327
67,2014-09-12 21:05:00,-0.1988,0.0000,5.88,0.6,22.465,76.600,18.2,27.308,27.358,0.0509,4.327
68,2014-09-12 21:10:00,-0.1988,0.0000,7.65,0.6,22.321,76.800,18.1,27.259,27.333,0.0509,4.327
69,2014-09-12 21:15:00,-0.1988,0.0000,10.59,0.6,22.202,77.700,18.1,27.210,27.308,0.0509,4.327
70,2014-09-12 21:20:00,-0.1988,0.0000,20.59,0.6,22.058,78.000,18.1,27.161,27.259,0.0509,4.327
71,2014-09-12 21:25:00,-0.1988,0.0000,23.53,0.6,21.963,78.700,18.1,27.136,27.210,0.0509,4.327
72,2014-09-12 21:30:00,-0.1988,0.0000,19.41,0.6,21.987,79.200,18.2,27.087,27.186,0.0501,4.327
73,2014-09-12 21:35:00,-0.1988,0.0000,30.00,0.6,21.843,79.500,18.2,27.063,27.161,0.0509,4.327
74,2014-09-12 21:40:00,-0.1988,0.0000,25.29,0.6,21.724,80.200,18.2,27.014,27.112,0.0501,4.327
75,2014-09-12 21:45:00,-0.1988,0.0000,27.06,0.6,21.724,80.300,18.2,26.965,27.063,0.0501,4.321
76,2014-09-12 21:50:00,-0.1988,0.0000,35.29,0.6,21.628,80.300,18.1,26.916,27.038,0.0509,4.321
77,2014-09-12 21:55:00,-0.1988,0.0000,28.24,0.6,21.628,80.600,18.2,26.891,27.014,0.0501,4.321
78,2014-09-12 22:00:00,-0.1988,0.0000,21.76,0.6,21.700,80.400,18.2,26.842,26.965,0.0501,4.321
79,2014-09-12 22:05:00,-0.1988,0.0000,25.29,0.6,21.604,80.000,18.0,26.818,26.916,0.0501,4.321
80,2014-09-12 22:10:00,-0.1988,0.0000,18.24,0.6,21.748,80.100,18.2,26.769,26.891,0.0501,4.321
81,2014-09-12 22:15:00,-0.1988,0.0000,19.41,0.6,21.819,79.800,18.2,26.720,26.842,0.0501,4.333
82,2014-09-12 22:20:00,-0.1988,0.0000,20.00,0.6,21.819,80.000,18.2,26.671,26.818,0.0501,4.321
83,2014-09-12 22:25:00,-0.1988,0.0000,17.06,0.6,21.915,79.700,18.3,26.646,26.769,0.0501,4.321
84,2014-09-12 22:30:00,-0.1988,0.0000,12.35,0.6,22.034,79.400,18.3,26.622,26.744,0.0501,4.321
85,2014-09-12 22:35:00,-0.1988,0.0000,13.53,0.6,22.106,78.600,18.2,26.573,26.720,0.0501,4.321
86,2014-09-12 22:40:00,-0.1988,0.0000,12.35,0.6,22.130,78.500,18.2,26.524,26.671,0.0501,4.321
87,2014-09-12 22:45:00,-0.1988,0.0000,13.53,0.6,22.058,78.700,18.2,26.500,26.646,0.0501,4.321
88,2014-09-12 22:50:00,-0.1988,0.0000,12.94,0.6,21.939,78.600,18.1,26.451,26.598,0.0501,4.321
89,2014-09-12 22:55:00,-0.1988,0.0000,10.59,0.6,21.963,78.700,18.1,26.426,26.573,0.0501,4.321
90,2014-09-12 23:00:00,-0.1988,0.0000,10.59,0.6,22.011,78.300,18.1,26.378,26.524,0.0501,4.321
91,2014-09-12 23:05:00,-0.1988,0.0000,10.00,0.6,22.011,78.000,18.0,26.353,26.500,0.0494,4.321
92,2014-09-12 23:10:00,-0.1988,0.0000,9.41,0.6,21.963,78.000,18.0,26.329,26.475,0.0494,4.321
93,2014-09-12 23:15:00,-0.1988,0.0000,8.82,0.6,21.987,77.800,18.0,26.280,26.426,0.0494,4.321
94,2014-09-12 23:20:00,-0.1988,0.0000,10.00,0.6,21.891,77.700,17.8,26.256,26.402,0.0494,4.321
95,2014-09-12 23:25:00,-0.1988,0.0000,10.00,0.6,21.795,78.100,17.8,26.207,26.378,0.0494,4.321
96,2014-09-12 23:30:00,-0.1988,0.0000,9.41,0.6,21.772,78.400,17.9,26.182,26.329,0.0494,4.321
97,2014-09-12 23:35:00,-0.1988,0.0000,10.00,0.6,21.676,78.500,17.8,26.134,26.304,0.0494,4.321
98,2014-09-12 23:40:00,-0.1988,0.0000,8.24,0.6,21.604,78.600,17.7,26.109,26.280,0.0494,4.321
99,2014-09-12 23:45:00,-0.1988,0.0000,8.82,0.6,21.557,78.200,17.6,26.085,26.256,0.0494,4.321
100,2014-09-12 23:50:00,-0.1988,0.0000,8.82,0.6,21.413,78.400,17.5,26.061,26.231,0.0494,4.321
101,2014-09-12 23:55:00,-0.1988,0.0000,10.00,0.6,21.318,78.500,17.4,26.012,26.182,0.0494,4.321
102,2014-09-13 00:00:00,-0.1988,0.0000,6.47,0.6,21.437,78.200,17.5,25.987,26.158,0.0494,4.321
103,2014-09-13 00:05:00,-0.1988,0.0000,5.88,0.6,21.533,76.500,17.2,25.939,26.134,0.0494,4.321
104,2014-09-13 00:10:00,-0.1988,0.0000,5.88,0.6,21.437,76.800,17.2,25.914,26.085,0.0494,4.321
105,2014-09-13 00:15:00,-0.1988,0.0000,5.29,0.6,21.628,76.800,17.4,25.890,26.061,0.0494,4.321
106,2014-09-13 00:20:00,-0.1988,0.0000,5.29,0.6,21.748,76.300,17.4,25.866,26.036,0.0494,4.321
