"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 10214688, SEN S/N: 10200842)","Current, mA (LGR S/N: 10214688, SEN S/N: 10200842)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10213638)","RH, % (LGR S/N: 10214688, SEN S/N: 10213638)","DewPt, °C (LGR S/N: 10214688, SEN S/N: 10213638)","Wetness, % (LGR S/N: 10214688, SEN S/N: 10314897)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365543, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10214688, SEN S/N: 10365578, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10214688, SEN S/N: 10374519)","Solar Radiation, W/m² (LGR S/N: 10214688, SEN S/N: 10375646)","Batt, V (LGR S/N: 10214688)"
1,2015-02-04 11:55:00,-0.2039,0.0000,23.472,55.000,13.9,3.53,14.122,14.960,0.2691,640.6,4.351
2,2015-02-04 12:00:00,-0.2039,0.0000,22.345,52.900,12.3,3.53,14.218,15.055,0.2694,648.1,4.351
3,2015-02-04 12:05:00,-0.2039,0.0000,23.208,51.700,12.7,3.53,14.290,15.127,0.2694,653.1,4.345
4,2015-02-04 12:10:00,-0.2039,0.0000,24.195,50.400,13.3,3.53,14.361,15.175,0.2694,654.4,4.448
5,2015-02-04 12:15:00,-0.2039,0.0000,24.919,49.900,13.8,3.53,14.433,15.270,0.2694,659.4,4.412
6,2015-02-04 12:20:00,-0.2039,0.0000,24.484,47.500,12.6,3.53,14.481,15.390,0.2691,658.1,4.393
7,2015-02-04 12:25:00,-0.2039,0.0000,24.798,47.600,12.9,3.53,14.553,15.557,0.2691,663.1,4.381
8,2015-02-04 12:30:00,-0.2039,0.0000,24.484,49.200,13.2,3.53,14.649,15.748,0.2694,669.4,4.369
9,2015-02-04 12:35:00,-0.2039,0.0000,25.355,48.200,13.6,3.53,14.721,15.963,0.2691,669.4,4.363
10,2015-02-04 12:40:00,-0.2039,0.0000,25.477,47.600,13.6,3.53,14.816,16.129,0.2691,674.4,4.357
11,2015-02-04 12:45:00,-0.2039,0.0000,25.307,46.800,13.1,3.53,14.912,16.272,0.2691,674.4,4.400
12,2015-02-04 12:50:00,-0.2039,0.0000,26.207,47.400,14.2,4.12,15.031,16.344,0.2691,663.1,4.381
13,2015-02-04 12:55:00,-0.2039,0.0000,25.914,46.700,13.7,4.12,15.103,16.392,0.2691,673.1,4.369
14,2015-02-04 13:00:00,-0.2039,0.0000,26.012,46.300,13.6,3.53,15.175,16.439,0.2687,676.9,4.363
15,2015-02-04 13:05:00,-0.2039,0.0000,26.256,46.100,13.8,3.53,15.247,16.487,0.2691,658.1,4.351
16,2015-02-04 13:10:00,-0.2039,0.0000,26.158,46.500,13.8,4.12,15.318,16.534,0.2691,669.4,4.400
17,2015-02-04 13:15:00,-0.2039,0.0000,26.158,45.100,13.3,4.12,15.390,16.606,0.2687,668.1,4.381
18,2015-02-04 13:20:00,-0.2039,0.0000,26.231,45.800,13.6,4.12,15.461,16.654,0.2687,661.9,4.363
19,2015-02-04 13:25:00,-0.2039,0.0000,25.914,46.000,13.4,4.12,15.533,16.677,0.2687,656.9,4.363
20,2015-02-04 13:30:00,-0.2039,0.0000,26.500,46.200,14.0,4.12,15.629,16.701,0.2691,658.1,4.351
21,2015-02-04 13:35:00,-0.2039,0.0000,26.622,45.200,13.8,4.12,15.676,16.725,0.2687,654.4,4.393
22,2015-02-04 13:40:00,-0.2039,0.0000,27.063,44.900,14.1,3.53,15.748,16.749,0.2687,649.4,4.369
23,2015-02-04 13:45:00,-0.2039,0.0000,27.210,43.700,13.8,4.12,15.819,16.773,0.2687,591.9,4.363
24,2015-02-04 13:50:00,-0.2039,0.0000,27.186,44.300,14.0,4.12,15.867,16.796,0.2687,640.6,4.357
25,2015-02-04 13:55:00,-0.2039,0.0000,26.867,43.200,13.3,3.53,15.891,16.796,0.2691,604.4,4.363
26,2015-02-04 14:00:00,-0.2039,0.0000,26.500,43.600,13.1,3.53,15.939,16.820,0.2691,584.4,4.381
27,2015-02-04 14:05:00,-0.2039,0.0000,26.036,44.300,13.0,3.53,15.963,16.844,0.2691,598.1,4.363
28,2015-02-04 14:10:00,-0.2039,0.0000,27.235,43.100,13.6,4.12,16.010,16.868,0.2687,616.9,4.357
29,2015-02-04 14:15:00,-0.2039,0.0000,27.136,43.000,13.5,4.12,16.010,16.892,0.2687,619.4,4.351
30,2015-02-04 14:20:00,-0.2039,0.0000,27.087,42.800,13.4,3.53,16.034,16.892,0.2687,614.4,4.387
31,2015-02-04 14:25:00,-0.2039,0.0000,26.891,43.700,13.5,4.12,16.058,16.892,0.2687,600.6,4.369
32,2015-02-04 14:30:00,-0.2039,0.0000,26.867,44.200,13.7,3.53,16.082,16.915,0.2687,593.1,4.363
33,2015-02-04 14:35:00,-0.2039,0.0000,26.695,45.600,14.0,4.12,16.106,16.915,0.2687,578.1,4.351
34,2015-02-04 14:40:00,-0.2039,0.0000,26.402,45.800,13.8,3.53,16.106,16.915,0.2687,575.6,4.442
35,2015-02-04 14:45:00,-0.2039,0.0000,26.329,45.700,13.7,3.53,16.129,16.915,0.2687,559.4,4.393
36,2015-02-04 14:50:00,-0.2039,0.0000,26.304,46.600,14.0,3.53,16.153,16.915,0.2687,549.4,4.375
37,2015-02-04 14:55:00,-0.2039,0.0000,26.695,46.200,14.2,3.53,16.153,16.892,0.2687,534.4,4.363
38,2015-02-04 15:00:00,-0.2039,0.0000,25.963,46.200,13.5,3.53,16.153,16.892,0.2687,423.1,4.363
39,2015-02-04 15:05:00,-0.2039,0.0000,25.866,46.400,13.5,3.53,16.177,16.892,0.2687,313.1,4.351
40,2015-02-04 15:10:00,-0.2039,0.0000,26.134,47.000,14.0,3.53,16.177,16.868,0.2687,313.1,4.381
41,2015-02-04 15:15:00,-0.2039,0.0000,25.841,47.400,13.8,3.53,16.201,16.868,0.2684,311.9,4.363
42,2015-02-04 15:20:00,-0.2039,0.0000,25.623,47.900,13.8,3.53,16.201,16.844,0.2684,464.4,4.357
43,2015-02-04 15:25:00,-0.2039,0.0000,25.671,48.500,14.0,3.53,16.201,16.844,0.2684,456.9,4.351
44,2015-02-04 15:30:00,-0.2039,0.0000,25.258,48.500,13.6,3.53,16.201,16.820,0.2684,448.1,4.412
45,2015-02-04 15:35:00,-0.2039,0.0000,25.355,49.600,14.1,3.53,16.201,16.820,0.2680,430.6,4.381
46,2015-02-04 15:40:00,-0.2039,0.0000,25.501,48.900,14.0,3.53,16.201,16.796,0.2680,428.1,4.369
47,2015-02-04 15:45:00,-0.2039,0.0000,24.532,49.600,13.3,2.94,16.201,16.796,0.2684,406.9,4.363
48,2015-02-04 15:50:00,-0.2039,0.0000,24.508,50.100,13.5,2.94,16.201,16.773,0.2684,395.6,4.357
49,2015-02-04 15:55:00,-0.2039,0.0000,24.243,50.700,13.4,2.94,16.201,16.749,0.2684,381.9,4.412
50,2015-02-04 16:00:00,-0.2039,0.0000,24.243,51.000,13.5,2.94,16.201,16.725,0.2684,374.4,4.381
51,2015-02-04 16:05:00,-0.2039,0.0000,23.785,51.600,13.2,2.94,16.201,16.701,0.2684,354.4,4.369
52,2015-02-04 16:10:00,-0.2039,0.0000,23.689,52.500,13.4,2.94,16.201,16.701,0.2684,335.6,4.363
