Date Time	Voltage (V)  #10348614	Current (mA)  #10348614	Temp (°F)  #10359311	RH (%)  #10359311	5 cm Temp (°F)	1 cm Temp (°F)	Water Content (m³/m³)  #10374509	Wetness (%)  #10374907	Solar Radiation (W/m²)  #10375654	Batt (V) c:5
06/12/15 12:20:00.0	-0.2039	0.0000	72.610	71.700	80.757	80.890	0.0319	0.59	499.4	4.345
06/12/15 12:25:00.0	-0.2039	0.0000	72.783	73.300	81.023	81.154	0.0319	0.59	488.1	4.339
06/12/15 12:30:00.0	-0.2039	0.0000	72.696	72.300	81.333	81.509	0.0328	0.59	561.9	4.339
06/12/15 12:35:00.0	-0.2039	0.0000	72.955	72.400	81.819	82.130	0.0328	0.59	603.1	4.333
06/12/15 12:40:00.0	-0.2039	0.0000	73.213	71.800	82.486	82.841	0.0332	0.59	471.9	4.351
06/12/15 12:45:00.0	-0.2039	0.0000	72.307	73.100	83.064	83.332	0.0332	0.59	354.4	4.339
06/12/15 12:50:00.0	-0.2039	0.0000	72.523	73.300	83.109	83.287	0.0332	0.59	503.1	4.339
06/12/15 12:55:00.0	-0.2039	0.0000	72.351	73.100	83.109	83.332	0.0332	0.59	373.1	4.339
06/12/15 13:00:00.0	-0.2039	0.0000	72.221	72.900	83.242	83.511	0.0341	0.59	618.1	4.363
06/12/15 13:05:00.0	-0.2039	0.0000	72.610	72.500	83.556	83.869	0.0341	0.59	468.1	4.339
06/12/15 13:10:00.0	-0.2039	0.0000	72.178	73.400	83.869	84.137	0.0341	0.59	671.9	4.339
06/12/15 13:15:00.0	-0.2039	0.0000	73.170	72.700	84.182	84.587	0.0341	0.59	269.4	4.339
06/12/15 13:20:00.0	-0.2039	0.0000	72.739	72.900	84.542	84.857	0.0350	0.59	470.6	4.333
06/12/15 13:25:00.0	-0.2039	0.0000	72.610	72.400	84.587	84.900	0.0350	0.59	403.1	4.351
06/12/15 13:30:00.0	-0.2039	0.0000	72.739	73.200	84.677	85.035	0.0341	0.59	559.4	4.339
06/12/15 13:35:00.0	-0.2039	0.0000	72.610	72.700	85.035	85.442	0.0350	0.59	230.6	4.339
06/12/15 13:40:00.0	-0.2039	0.0000	71.834	73.100	84.990	85.262	0.0350	0.59	218.1	4.339
