,TOTAL:,Site number,SampleDateStart,SamplingDurationDays,textdate,Aenigmatias,Anevrina,Apocephalus aquilonius,Apocephalus grandipalpis group,Beckerina brown (sp2),Beckerina yellow (sp1),Chonocephalus bentacaisei,Conicera aldrichi,Conicera similis,Conicera tibialis,Diplonevra,Dohrniphora cornuta,Gymnophora,M. agarici,M. albicaudata,M. arizonensis,M. armstrongorum,M. atrox,M. barberi,M. basispinata,M. berndseni,big yellow bernd,M. bradyi,M. brejchaorum,M. carthayensis,M. cavifemur,M. ciancii,M. creasoni,M. cup,M. dark volcano,M. defibaughorum,M. donahuei,M. francoae,M. fujiokai,M. fuzzball2,M. dark/light,M. glabrifrons,M. globipyga,M. halterata,M. hansonix,M. hardingorum,M. heini,M. hentschkeae,M. hirticaudata,M. hoffmanorum,M. hoggorum,M. hoguei,M. ilca,M. isaacmajorum,M. kelleri,M. large cleft,M. largifrontalis,M. lombardorum,M. marquezi,M. mikejohnsoni,M. modesta?,M. nigra,M. nose,M. not-a-nota,M. oxboroughae,M. pisanoi,M. pleuralis,M. renwickorum,M. rodriguezorum,M. ruficornis,M. rufipes,M. sacatelensis,M. scalaris,M. scutellaris,M. seaverorum,M. sidneyae,M. sordida,M. steptoeae,M. stoakesi,M. sulphurizona,M. tecticauda,M. trouble 2,M. trouble 3,M. truncate (none),M. truncate (short),M wiegmanae,Metopina sp.,Metopina group,Microselia sp.,Myriophora alexandiae,Phalacrotophora halictorum,Phora coangustata,Phora cristipes,Phora sp1,Phora sp2,Pseudacteon amuletum,Pseudacteon californiensis,Pseudacteon crawfordi,Pseudacteon long setae,Puliciphora occidentalis,Spiniphora bergenstammi,Triphleba,Trophodeinus arizonensis,Trophodeinus furcatus,Veruanus boreotis,Total
16172,Higgins Site 23,23,4/30/2014,7,"April 30- May 7, 2014",0,0,0,0,0,0,0,0,2,0,0,0,0,297,0,0,5,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,21,6,0,0,26,0,0,8,0,1,0,0,0,3,0,1,0,0,2,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,410
16068,Hentschke Site 3,3,4/30/2014,7,"April 30- May 7, 2014",0,0,0,0,0,0,10,0,1,1,0,3,0,66,0,0,17,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,15,1,0,0,1,0,0,0,0,0,0,0,0,0,26,4,0,0,23,0,0,0,0,33,0,0,0,0,0,2,0,0,2,0,0,0,52,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,292
16056,Ralph Site 11,11,4/5/2014,7,"April 5-12, 2014",0,0,0,0,0,0,1,0,6,9,0,4,0,27,1,0,10,1,0,4,1,0,0,0,0,0,0,32,0,0,0,0,2,4,0,0,0,0,24,0,0,0,1,0,0,0,0,1,0,1,0,1,27,11,1,0,29,0,0,0,0,35,0,0,0,6,2,4,0,0,0,0,10,0,112,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,377
15897,Hentschke Site 3,3,4/2/2014,7,"April2-9, 2014",0,0,0,0,0,0,0,0,2,0,0,0,0,45,0,0,27,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,17,1,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145
16321,Ralph Site 11,11,8/1/2014,7,"Aug 1-8, 2014",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
16439,Louie Site 20,20,8/1/2014,7,"Aug 1-8, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
16303,Nature Garden Site1,1,8/1/2014,7,"Aug 1-8, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
16418,Keller Site 28,28,8/2/2014,17,"Aug 2-19, 2014",0,0,0,0,0,1,1,0,8,0,0,4,0,112,3,0,1,0,0,0,10,0,0,0,34,0,0,0,1,0,0,4,1,0,0,1,0,0,8,5,0,1,0,0,0,0,0,0,0,7,0,0,9,10,0,0,1,0,0,130,0,0,0,0,0,0,4,2,0,0,7,0,37,0,7,2,0,0,0,0,99,2,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,530
16457,Steptoe Site 10,10,8/2/2014,7,"Aug 2-9, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
16485,Oxborough Site 12,12,8/2/2014,7,"Aug 2-9, 2014",0,0,0,0,0,1,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37
